,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,P667591,Aspen Pumps Mini Blanc condensate pump White,Aspen Pumps,98.83,"Easy to install and maintain, the Aspen Pumps Mini Blanc condensate removal pump with ultra-quick fit is intended for fitting underneath a high wall indoor unit, offering almost silent 12L/h operation.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Mini Condensate Pumps/Mini Condensate Pumps.csv -> Aspen Pumps Mini Blanc condensate pump White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/91/NW-667591_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Mini_Blanc_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_667591_Technical.pdf,
1,P667593,Aspen Pumps Silent+ Mini Lime FP3312 condensate pump kit,Aspen Pumps,143.88,"Ideal for commercial use, the Aspen Pumps Silent+ Mini Lime condensate removal pump includes an anti-vibration damper and built-in sound absorbing materials for silent operation. Easy to use thanks to a quick-release reservoir, this pump can be commissioned on-site and operation easily checked using the clever LED system in the reservoir.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Mini Condensate Pumps/Mini Condensate Pumps.csv -> Aspen Pumps Silent+ Mini Lime FP3312 condensate pump kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/94/NW-667593_667594_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Silent+_Mini_Lime_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_S+_MiniLime_Installation.pdf,
2,P667852,Aspen Pumps Mini Tank FP1056/2 mini tank pump,Aspen Pumps,92.56,"Adaptable to suit your needs, the Aspen Pumps mini tank pump can be wall-mounted, floor-mounted, installed in-pan or suspended on M8/M10 rod and offers powerful 35L/h flow rates. Harnessing piston technology, this compact mini tank pump is powerful and discreet at once.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Mini Condensate Pumps/Mini Condensate Pumps.csv -> Aspen Pumps Mini Tank FP1056/2 mini tank pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/52/NW-667852_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Mini_Tank_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_667852_Technical.pdf,
3,P667607,Aspen Pumps Silent+ Mini Lime FP3316 condensate pump with BBJ trunking,Aspen Pumps,145.33,"Ideal for commercial use, the Aspen Pumps Silent+ Mini Lime SpeediDuct (BBJ) condensate removal pump includes an anti-vibration damper and built-in sound absorbing materials for silent operation. Easy to use thanks to a quick-release reservoir, this pump can be commissioned on-site and operation easily checked using the clever LED system in the reservoir.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Mini Condensate Pumps/Mini Condensate Pumps.csv -> Aspen Pumps Silent+ Mini Lime FP3316 condensate pump with BBJ trunking,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/07/NW-667607_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Silent+_Mini_Lime_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_S+_MiniLime_Installation.pdf,
4,P667534,Aspen Pumps Maxi Lime condensate pump kit Lime,Aspen Pumps,170.13,"Ideal for large commercial high-wall split units, the Aspen Pumps Maxi Lime BBJ (Airco) condensate removal pump is designed for use with larger units and in humid environments, offering a flow rate of 35L/h. The all-in-one system Maxi Lime elbow pump provides additional power when required.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Mini Condensate Pumps/Mini Condensate Pumps.csv -> Aspen Pumps Maxi Lime condensate pump kit Lime,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/34/NW-667534_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_Pumps_Maxi_Lime_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Maxi_Lime_Installation.pdf,
5,P667536,Aspen Pumps Mini Orange condensate pump,Aspen Pumps,97.6,"Highly reliable, this Aspen Pumps Mini Orange 12L/h condensate removal pump is ideal for smaller sized domestic and commercial units.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Mini Condensate Pumps/Mini Condensate Pumps.csv -> Aspen Pumps Mini Orange condensate pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/36/NW-667536_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Aspen_Pumps_Mini_Maxi_Orange_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_667536_Technical.pdf,
6,P667598,Aspen Pumps Silent+ Mini Aqua X87-702 condensate pump,Aspen Pumps,110.48,"The innovative Aspen Pumps Silent+ Mini Aqua condensate removal pump combines Silent+ technology and a slimline design, ideal for discreet use in a range of units. Offering 12L/h maximum flow rate, this quiet pump includes an anti-siphon device.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Mini Condensate Pumps/Mini Condensate Pumps.csv -> Aspen Pumps Silent+ Mini Aqua X87-702 condensate pump,,Silent+ Mini Aqua pump;Reservoir;Filter;Float;Lid;1.5m Plug ;play power cable;16mm inline filter;Acoustic damper;1m aqua discharge tube;Connector;Anti vibration bracket;150mm Vinyl breather tube 6mm ID;Anti siphon device;1.5m suction tube 6mm ID,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/98/NW-667598_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Silent+_Mini_Aqua_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Aspen_Pumps_Silent+_Mini_Aqua_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,
7,P667572,Aspen Pumps Mini Aqua condensate pump,Aspen Pumps,97.6,"Slimmer than other pumps, the Aspen Pumps Mini Aqua condensate removal pump with 12L/h flow rate is designed to fit directly inside the unit for a discreet finish.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Mini Condensate Pumps/Mini Condensate Pumps.csv -> Aspen Pumps Mini Aqua condensate pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/72/NW-667572_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Mini_Aqua_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_Pumps_Mini_Aqua_Technical.pdf,
8,P622596,Sauermann Si-10 Univers'L SI10CE03UN23 universal replacement pump,Sauermann,90.87,"With its distinctive shape, the Sauermann Si-10 Univers'L mini condensate removal pump is suitable for both new installations and refurbishments. Thanks to an improved design, this 20L/h pump offers reduced noise during operation and almost effortless maintenance.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Mini Condensate Pumps/Mini Condensate Pumps.csv -> Sauermann Si-10 Univers'L SI10CE03UN23 universal replacement pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/96/NW-622596_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sauermann_Si_10_UniversL_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Sauermann_Si_10_UniversL_User_Manual.pdf,,
9,P625695,Charles Austen Pumps Mini Blue X87-504 pump temperature sensor,Charles Austen Pumps,129.52,"The whisper-quiet Charles Austen Pumps MiniBlue condensate removal pump with temperature sensor offers 8L/h flow rates for the reliable removal of condensate and debris. This self-priming pump provides peristaltic performance at the price of a piston pump and is small enough for fast installation or retrofit into any existing installation. Using BlueDiamond patented rotary diaphragm technology, the MiniBlue draws in condensate using vacuum and mechanically driven technology in a reinforced elastomer diaphragm, directing it to the outlet under pressure. Able to run dry, this system tolerates suspended solids and light slurries for reliable use in tough conditions.",Air Conditioning/Air Conditioning Installation/Condensate Air Conditioner Pumps/Mini Condensate Pumps/Mini Condensate Pumps.csv -> Charles Austen Pumps Mini Blue X87-504 pump temperature sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/95/NW-625694_625695_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Charles_Austen_MiniBlue_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/CharlesAusten_MinMaxiMegaBlue_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Charles_Austen_MiniBlue_Pump_Tech.pdf,
