,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Depth (mm),Max Sound Pressure,Max Airflow (m/min),Min Air Flow (m/min),Max External Static Pressure,Duct Connection Diameter,Min Sound Pressure,Temp Exchange Efficiency,Min External Static Pressure,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Range,Warranty,Feature 6,Feature 7,Feature 8,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8
0,P685073,Fujitsu UTZBD035C Evr Heat Exchanger Unit,Fujitsu,1037.52,"The Fujitsu EVR heat exchanger unit aids efficiency by recovering energy used in a property and using it to pre-condition incoming air. Thanks to its compact design, this EVR offers flexibility of installation and an unobtrusive finish.",Air Conditioning/Air Conditioning Installation/Heat Recovery Systems/Heat Recovery Systems.csv -> Fujitsu UTZBD035C Evr Heat Exchanger Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/73/685073_wm.jpg,N,804,33,350,240,140,144,25.5,75,45,UTZBD035C,Energy recovery ventilator,N,Energy efficient design,Operates quietly,Extended range of external pressure,Slimline for easier installation,Reverse mountable direct air supply and exhaust system,,,,,,,,,,,,,
1,P685072,Fujitsu REV UTZBD025C Evr Heat Exchanger Unit,Fujitsu,866.57,"Using the exhausted energy from room cooling or heating processes, the Fujitsu REV UTZBD025C energy recovery ventilation heat exchanger provides a comfortable environment with impressive levels of efficiency. Keeping airflow in contact with the unit's element for longer, the REV employs a counter-flow element for better heat exchange when compared to a traditional cross-flow element. Slimline and compact, with a reverse mountable air supply system, this energy recovery ventilation unit offers easy installation in any setting.",Air Conditioning/Air Conditioning Installation/Heat Recovery Systems/Heat Recovery Systems.csv -> Fujitsu REV UTZBD025C Evr Heat Exchanger Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/72/NW-685072_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Venti_Pro_Lineup_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Ventilation_Lineup_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fujitsu_Energy_Recov_Vent_Tech.pdf,,,,,,,,,,
2,PG76317,Silavent HRX MVHR condensate drain kit,Silavent,75.85,"Designed for use with MVHR, the Silavent Domus 297 condensate drainage kit includes a waterless trap and elbow. This kit offers flexibility of installation for use in a variety of homes.",Air Conditioning/Air Conditioning Installation/Heat Recovery Systems/Heat Recovery Systems.csv -> Silavent HRX MVHR condensate drain kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/17/G76317_wm.jpg,N,,,,,,,,,,297,Condensate Drainage Kit,N,Fixed using solvent weld suitable for ABS pipe fittings (not supplied),Once threaded socket is secure elbow can be hand-tightened,Elbow has rubber seal washer,With waterless trap,Directional arrows on trap indicate direction of flow,,,,HRX,No moving parts so doesn’t require a warranty,Adaptable kit to suit dwelling layout,Drain should incorporate continuous fall of no less than 5º (87.5mm in every 1000mm) to nearest waste water network,System should be adequately supported and suitably insulated when passing through unheated spaces and voids,,,,,
3,P605958,Daikin VAM-J VAM1500J Heat Exchanger,Daikin,2967.26,"Fully ErP compliant, this Daikin VAM-J heat recovery ventilation system recovers waste energy from internal spaces to help reduce the load on your air conditioning or heating system. Designed to deliver fresh air into occupied spaces, this highly efficienct system can reduce the load on heating and cooling systems by up to 73% and can be used in most commercial applications with fresh air requirements up to 2000M³/h. The VAM-J range uses DC fan motors and incorporates specially developed heat exchange elements with no requirement for condensate drainage.",Air Conditioning/Air Conditioning Installation/Heat Recovery Systems/Heat Recovery Systems.csv -> Daikin VAM-J VAM1500J Heat Exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/58/NW-605958_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/DKN_2P333093-3C_Safety_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/DKN_VAM-J_Heat_Recovery_Vent_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/DKN_VAM-J_4PEN487293-1B_Install.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/DKN_2P373363-7D_RoHS_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/DKN_VAM-J_4PEN487292-1B_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/DKN_3D099917-5D_Eco_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/DKN_VAM-J_2P373363-7F_RoHS_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/DKN_3D099917-4C_Eco_DoC.pdf
4,P685076,Fujitsu Heat Recovery Systems UTZBD100C Evr Heat Exchanger Unit,Fujitsu,1972.86,"Employing exhausted energy from cooling or heating, the Fujitsu UTZBD100C EVR energy recovery ventilation unit helps to minimise waste for more efficient operation. This heat exchanger unit has a counter-flow element, meaning that airflow stays in contact with the element for longer for better heat exchange compared to a cross-flow element. Slimline, compact and quiet, this unit offers easy and flexible installation.",Air Conditioning/Air Conditioning Installation/Heat Recovery Systems/Heat Recovery Systems.csv -> Fujitsu Heat Recovery Systems UTZBD100C Evr Heat Exchanger Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/76/NW-685076_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Venti_Pro_Lineup_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Ventilation_Lineup_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fujitsu_Energy_Recov_Vent_Tech.pdf,,,,,,,,,,
5,P605954,Daikin VAM-J VAM500J8 Heat Exchanger,Daikin,1260.24,"Highly efficient, Daikin VAM-J series heat recovery ventilation systems deliver fresh air into a room while reducing the load on heating and cooling systems by up to 73%. Suitable for use in the majority of commercial applications with fresh air requirements up to 2000M³/h, systems in the VAM-J series feature DC fan motors and a specially designed heat exchange element with no requirement for condensate drainage.",Air Conditioning/Air Conditioning Installation/Heat Recovery Systems/Heat Recovery Systems.csv -> Daikin VAM-J VAM500J8 Heat Exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/56/NW-605953_605956_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Daikin_VRV_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ro/hs/Daikin_VAM_RoHS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_VAM-J_Technical.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_Heat_Reclaim_Venti_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Daikin_VAM_J_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/de/cl/Daikin_650_800_1000_2000_EU_Decl.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_Heat_Reclaim_Venti_Install.pdf,
6,P605957,Daikin VAM-J VAM1000J8 Heat Exchanger,Daikin,2080.82,"Highly efficient, Daikin VAM-J series heat recovery ventilation systems deliver fresh air into a room while reducing the load on heating and cooling systems by up to 73%. Suitable for use in the majority of commercial applications with fresh air requirements up to 2000M³/h, systems in the VAM-J series feature DC fan motors and a specially designed heat exchange element with no requirement for condensate drainage.",Air Conditioning/Air Conditioning Installation/Heat Recovery Systems/Heat Recovery Systems.csv -> Daikin VAM-J VAM1000J8 Heat Exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/57/NW-605957_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ro/hs/Daikin_VAM_RoHS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Daikin_VRV_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_VAM-J_Technical.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_Heat_Reclaim_Venti_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/de/cl/Daikin_650_800_1000_2000_EU_Decl.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Daikin_VAM_J_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_Heat_Reclaim_Venti_Install.pdf,
7,P605956,Daikin VAM-J VAM800J8 Heat Exchanger,Daikin,1815.6,"Highly efficient, Daikin VAM-J series heat recovery ventilation systems deliver fresh air into a room while reducing the load on heating and cooling systems by up to 73%. Suitable for use in the majority of commercial applications with fresh air requirements up to 2000M³/h, systems in the VAM-J series feature DC fan motors and a specially designed heat exchange element with no requirement for condensate drainage.",Air Conditioning/Air Conditioning Installation/Heat Recovery Systems/Heat Recovery Systems.csv -> Daikin VAM-J VAM800J8 Heat Exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/56/NW-605953_605956_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Daikin_VRV_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ro/hs/Daikin_VAM_RoHS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_Heat_Reclaim_Venti_User_Guide.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_VAM-J_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Daikin_VAM_J_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/de/cl/Daikin_650_800_1000_2000_EU_Decl.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_Heat_Reclaim_Venti_Install.pdf,
8,P605955,Daikin VAM-J VAM650J8 Heat Exchanger,Daikin,1541.48,"Highly efficient, Daikin VAM-J series heat recovery ventilation systems deliver fresh air into a room while reducing the load on heating and cooling systems by up to 73%. Suitable for use in the majority of commercial applications with fresh air requirements up to 2000M³/h, systems in the VAM-J series feature DC fan motors and a specially designed heat exchange element with no requirement for condensate drainage.",Air Conditioning/Air Conditioning Installation/Heat Recovery Systems/Heat Recovery Systems.csv -> Daikin VAM-J VAM650J8 Heat Exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/56/NW-605953_605956_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Daikin_VRV_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ro/hs/Daikin_VAM_RoHS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_Heat_Reclaim_Venti_User_Guide.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_VAM-J_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Daikin_VAM_J_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/de/cl/Daikin_650_800_1000_2000_EU_Decl.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_Heat_Reclaim_Venti_Install.pdf,
9,PG76865,Domus CMX-MULTI mechanical extract ventilation unit Black,Domus,367.39,"Offering simple installation in new build or retrofit applications, the Domus CMX-Multi mechanical extraction ventilation unit has a 125mm depth for flexibility in tighter spaces.",Air Conditioning/Air Conditioning Installation/Heat Recovery Systems/Heat Recovery Systems.csv -> Domus CMX-MULTI mechanical extract ventilation unit Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/65/G76865_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/CMX_MULTI_Sheet.pdf,,,,,,,,,,,,
