,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,Warranty,Feature 5,UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Feature 6,Feature 7
0,P610081,Fujitsu ASEG24KMTE 7KW Standard Wall Indoor,Fujitsu,556.58,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 7kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEG24KMTE 7KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/81/610081_wm.jpg,12.5,1,R-32,N,240,1/2,1/4,ASEG24KMTE,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
1,P610086,Fujitsu ASEH12KLTA 3.6KW Eco Wall Indoor,Fujitsu,158.67,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 3.6kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH12KLTA 3.6KW Eco Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/86/610086_wm.jpg,7.5,1,R-32,N,218,.3/8,1/4,ASEH12KLTA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
2,P610084,Fujitsu ASEH09KMCG 2.6KW Standard Wall Indoor,Fujitsu,217.1,"Allowing for the connection of up to eight indoor units, the Fujitsu Standard Multi-Split 2.5kW outdoor air conditioning unit is ideal for both commercial and domestic premises, delivering cooling to multiple rooms. This smart Wi-Fi compatible unit is easy to install and offers compatibility with R32 refrigerant for more economical, eco-friendly use.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH09KMCG 2.6KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/84/610084_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH09KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
3,P610087,Fujitsu ASEH12KMCG 3.6KW Standard Wall Indoor,Fujitsu,234.32,"Neatly designed and extremely quiet, the Fujitsu ASEH-KMCG 3.6kW indoor air conditioning unit minimises its impact on the senses with clever design while also ensuring you feel the climate comfort it's capable of delivering. Suited to any location, from server rooms to living rooms, and from offices to kids' bedrooms, this unit offers a host of helpful features, including air-cleaning filters and automatic operation functions. This air con unit uses heat pump inverter technology for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH12KMCG 3.6KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/87/610087_wm.jpg,10,1,R-32,N,222,.3/8,1/4,ASEH12KMCG,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
4,P678897,Fujitsu Standard ASYG18KMTE R32 Wall Mounted Indoor Unit 5.2KW,Fujitsu,378.84,"Ideal for larger living rooms, offices or bedrooms, this stylishly designed Fujitsu 5.2kW R32 indoor wall-mounted air conditioning unit has a slimline profile to suit a range of settings. This air con unit is suitable for smartphone control and uses heat pump inverter technology to reduce energy consumption for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu Standard ASYG18KMTE R32 Wall Mounted Indoor Unit 5.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/97/678897_wm.jpg,1.25 Kg,1 Phase,R-32,N,240,12.70 mm,6.35 mm,ASYG18KMTE,Air Conditioner,N,"Slimline, stylish square design",Energy saving,Smartphone control option,,Standard,3 Years (Standard),,,,,,,,,,,,
5,P700066,Fujitsu ASEH09KNCA 2.6KW Eco Plus Wall Mounted Id,Fujitsu,171.59,"Sleekly designed to fit into any space, the Fujitsu Eco+ 2.6kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH09KNCA 2.6KW Eco Plus Wall Mounted Id,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/66/700066_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH09KNCA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
6,P700061,Fujitsu ASEG22KMTE 5KW S Wall Indoor Multi,Fujitsu,474.78,"Neatly designed and extremely quiet, the Fujitsu 5kW ASEG-KMTE indoor air conditioning unit minimises its impact on the senses with clever design while also ensuring you feel the climate comfort it's capable of delivering. Suited to any location, from server rooms to living rooms, and from offices to kids' bedrooms, this unit offers a host of helpful features, including air-cleaning filters and automatic operation functions. This air con unit uses heat pump inverter technology for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEG22KMTE 5KW S Wall Indoor Multi,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/61/700061_wm.jpg,12.5,1,R-32,N,240,1/2,1/4,ASEG22KMTE,Split Wall Mount Indoor unit,N,Compatible with outdoor multi-splits only,Quiet operation,Highly efficient,For wall mounting,,,Includes air cleaning filters,,,,,,,,,,,
7,P700067,Fujitsu ASEH12KNCA 3.6KW Eco Plus Wall Mounted Id,Fujitsu,185.73,"Sleekly designed to fit into any space, the Fujitsu Eco+ 3.6kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH12KNCA 3.6KW Eco Plus Wall Mounted Id,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/67/700067_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH12KNCA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,
8,P700062,Fujitsu ASEH05KNCA 1.5KW Ep Id Multi Only,Fujitsu,137.15,"Sleekly designed to fit into any space, the Fujitsu Eco+ 1.5kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASEH05KNCA 1.5KW Ep Id Multi Only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/62/700062_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH05KNCA,Split Wall Mount Indoor unit,N,Inbuilt Wi-Fi capability,Wall-mounted,Heat pump inverter technology for efficiency,For multi-split outdoor units only,,,,,,,,,,,,,,
9,P700034,Fujitsu ASYG12KETFB R32 Silver Wall Mounted Indoor Unit 3.4KW -,Fujitsu,267.53,"Offering a clean, modern design ideal for contemporary interiors, the Fujitsu Designer Series ASYG12KETFB 3.4kW wall mounted indoor air conditioning unit has a silver finish and a lightweight, compact look. Operating efficiently with R32 refrigerant, this indoor unit is remotely controlled for convenient ease of use.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Fujitsu ASYG12KETFB R32 Silver Wall Mounted Indoor Unit 3.4KW -,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/20/602320_wm.jpg,11 kg,1,R-32,N,230,3/8 in,1/4 in,ASYG12KETFB,Wall mount,N,Wi-Fi enabled,Silver finish,Compatible with R32 refrigerant,Suitable for wall mounted installation,ASYG12KETFB,3 Years,3 year warranty,,,,,,,,,,,
