,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,PN42408,Multipanel high grab adhesive 290ml,Multipanel,7.92,Multipanel high grab panel adhesive provides secure fixing of Multipanel bathroom wall and ceiling panels.,Bathrooms and Kitchens/Bathroom Cladding and Panels/Bathroom Cladding and Panels.csv -> Multipanel high grab adhesive 290ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/08/UP-N42408_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/GrantWestfield_Grab_Pnl_Adhesiv_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Multipanel_NeutralsCllctn_Brcr_2020.pdf,,
1,PN36724,Multipanel Classic internal corner profile type A Polished Silver,Multipanel,28.9,"Finish edges or join corner panels neatly with this Multipanel Classic type A 2450mm internal corner profile in polished silver. Concealing and protecting the exposed edge of a tile panel, this profile also prevents water ingress. Using the appropriate profile and silicone sealant is recommended for a reliably watertight finish.",Bathrooms and Kitchens/Bathroom Cladding and Panels/Bathroom Cladding and Panels.csv -> Multipanel Classic internal corner profile type A Polished Silver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/24/NW-N36724_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/MPanel_AluminiumExtru_MSDS_V2.pdf
2,PN36714,Multipanel Classic internal corner profile type A White,Multipanel,15.53,"Finish edges or join corner panels neatly with this Multipanel Classic type A 2450mm internal corner profile in powder-coated white. Concealing and protecting the exposed edge of a tile panel, this profile also prevents water ingress. Using the appropriate profile and silicone sealant is recommended for a reliably watertight finish.",Bathrooms and Kitchens/Bathroom Cladding and Panels/Bathroom Cladding and Panels.csv -> Multipanel Classic internal corner profile type A White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/14/NW-N36714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/MPanel_AluminiumExtru_MSDS_V2.pdf
3,PN36715,Multipanel Classic external corner profile type B White,Multipanel,17.7,"Finish edges or join corner panels neatly with this Multipanel Classic type B 2450mm external corner profile in powder-coated white. Concealing and protecting the exposed edge of a tile panel, this profile also prevents water ingress. Using the appropriate profile and silicone sealant is recommended for a reliably watertight finish.",Bathrooms and Kitchens/Bathroom Cladding and Panels/Bathroom Cladding and Panels.csv -> Multipanel Classic external corner profile type B White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/15/NW-N36715_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/MPanel_AluminiumExtru_MSDS_V2.pdf
4,PN36709,Multipanel Classic internal corner profile type A Satin Silver,Multipanel,14.08,"Finish edges or join corner panels neatly with this Multipanel Classic type A 2450mm internal corner profile in satin anodised silver. Concealing and protecting the exposed edge of a tile panel, this profile also prevents water ingress. Using the appropriate profile and silicone sealant is recommended for a reliably watertight finish.",Bathrooms and Kitchens/Bathroom Cladding and Panels/Bathroom Cladding and Panels.csv -> Multipanel Classic internal corner profile type A Satin Silver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/09/N36709_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/MPanel_AluminiumExtru_MSDS_V2.pdf
5,PN42397,Multipanel Click vinyl flooring 1.84m2 Rimini,Multipanel,76.39,"Multipanel Click's Rimini glue-free vinyl flooring fits together with an interlocking tongue and groove system for easy, fast installation. Ideal for bathrooms and kitchens, this robust, contemporary flooring is warmer and quieter than ceramic tiles, real wood or laminates, simple to maintain and incorporates a commercial grade 0.5mm wear layer for long lasting use. Requiring no glue, Click flooring simply clicks together for effortless fitting.",Bathrooms and Kitchens/Bathroom Cladding and Panels/Bathroom Cladding and Panels.csv -> Multipanel Click vinyl flooring 1.84m2 Rimini,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/97/NW-N42397_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Multipanel_Click_Floors_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Multipanel_Floor_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Multipanel_Floors_Technical.pdf,
6,PN42401,Multipanel Click vinyl flooring 1.84m2 Aspen Oak,Multipanel,73.14,"Multipanel Click's Scandinavian style Aspen Oak glue-free vinyl flooring fits together with an interlocking tongue and groove system for easy, fast installation. Ideal for bathrooms and kitchens, this robust, contemporary flooring is warmer and quieter than ceramic tiles, real wood or laminates, simple to maintain and incorporates a commercial grade 0.5mm wear layer for long lasting use. Requiring no glue, Click flooring simply clicks together for effortless fitting.",Bathrooms and Kitchens/Bathroom Cladding and Panels/Bathroom Cladding and Panels.csv -> Multipanel Click vinyl flooring 1.84m2 Aspen Oak,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/01/NW-N42401_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Multipanel_Click_Floors_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Multipanel_Floor_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Multipanel_Floors_Technical.pdf,
7,PN45378,Multipanel Click vinyl flooring 1.84m2 Piemonte,Multipanel,76.39,"Multipanel Click's neutral Piemonte tile effect glue-free vinyl flooring fits together with an interlocking tongue and groove system for easy, fast installation. Ideal for bathrooms and kitchens, this robust, contemporary flooring is warmer and quieter than ceramic tiles, real wood or laminates, simple to maintain and incorporates a commercial grade 0.5mm wear layer for long lasting use. Requiring no glue, Click flooring simply clicks together for effortless fitting.",Bathrooms and Kitchens/Bathroom Cladding and Panels/Bathroom Cladding and Panels.csv -> Multipanel Click vinyl flooring 1.84m2 Piemonte,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/78/NW-N45378_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Multipanel_Click_Floors_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Multipanel_Floor_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Multipanel_Floors_Technical.pdf,
8,PN36710,Multipanel Classic external corner profile type B Satin Silver,Multipanel,16.25,"Finish edges or join corner panels neatly with this Multipanel Classic type B 2450mm external corner profile in satin anodised silver. Concealing and protecting the exposed edge of a tile panel, this profile also prevents water ingress. Using the appropriate profile and silicone sealant is recommended for a reliably watertight finish.",Bathrooms and Kitchens/Bathroom Cladding and Panels/Bathroom Cladding and Panels.csv -> Multipanel Classic external corner profile type B Satin Silver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/10/N36710_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/MPanel_AluminiumExtru_MSDS_V2.pdf
9,PN36727,Multipanel Classic mid joint profile type D Polished Silver,Multipanel,23.58,"Finish edges or join corner panels neatly with this Multipanel Classic type D 2450mm mid-joint profile in polished silver. Concealing and protecting the exposed edge of a tile panel, this profile also prevents water ingress. Using the appropriate profile and silicone sealant is recommended for a reliably watertight finish.",Bathrooms and Kitchens/Bathroom Cladding and Panels/Bathroom Cladding and Panels.csv -> Multipanel Classic mid joint profile type D Polished Silver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/27/NW-N36727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/MPanel_AluminiumExtru_MSDS_V2.pdf
