,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Hazardous,Depth (mm),Demisting,Material,Shape,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Feature 6,Feature 7,Style,Warranty,Dimensions (L x W x D),Door Opening Orientation
0,PE12087,Hib Drilled  drilled mirror 4mm float glass 60 x 45cm,Hib,22.29,"Ready-drilled for ease of hanging, this rectangular HiB mirror measures 600 x 450mm. Made using 4mm float glass, this simple, elegant bathroom mirror provides a clean and clear reflection.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Hib Drilled  drilled mirror 4mm float glass 60 x 45cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/87/NW-E12086_E12087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/HiB_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
1,PC22704,* NAB DEC 500MM FRAMELSS MIRROR ALU,Nabis,88.95,"With a neat aluminium finish, the Nabis Deco frameless mirror is designed to complement the Deco bathroom furniture range. Compliant with EN and FIRA guidance, the Deco is suitable for both commercial and domestic use.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> * NAB DEC 500MM FRAMELSS MIRROR ALU,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/04/NW-C22704_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22703-C22707_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22703-C22707_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
2,PC24201,Nabis open mirror unit 600mm Grey Gloss,Nabis,163.72,Nabis open mirror unit is available in grey gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Nabis open mirror unit 600mm Grey Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/01/NW-C24201_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Open_Mirror_Unit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,PC24211,Nabis open mirror unit 700mm White Gloss,Nabis,175.63,Nabis open mirror unit is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Nabis open mirror unit 700mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/11/NW-C24211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Open_Mirror_Unit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
4,PE51407,Hib Sphere mirror 60cm,Hib,311.55,"The clever HiB Sphere 60 illuminated bathroom mirror includes a light adjusting touch switch for easy, intuitive changing of the LED colour temperature, letting you choose the ambience that suits your mood and remembering the settings for your next visit. The Sphere has a heated pad section which clears condensation for immediate use after a bath or shower.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Hib Sphere mirror 60cm,,Illuminated mirror;Heated pad;Light adjusting touch switch,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/07/NW-E51407_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/HiB_Sphere_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HiB_Sphere_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/94/HiB_Bathroom_Brochure_94.pdf,,,,,,,,,,,,,,,,,,,,,,,
5,PC24206,Nabis open mirror unit 700mm Charcoal Grey Gloss,Nabis,204.8,Nabis open mirror unit is available in charcoal grey gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Nabis open mirror unit 700mm Charcoal Grey Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/06/NW-C24206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Open_Mirror_Unit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
6,PC22675,* NAB DEC 600MM MIRROR CABINET WH GL,Nabis,376.2,"As practical as it is stylish, this white gloss finish Nabis Deco 660 x 600mm bathroom mirror cabinet unit provides useful storage alongside a single socket for your shaver or toothbrush and an overhead light. Elegantly designed, this mirrored cabinet is designed to blend seamlessly with the rest of the Deco range.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> * NAB DEC 600MM MIRROR CABINET WH GL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/75/NW-C22675_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22671-C22682_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22671-C22682_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
7,PE11646,HIB 787310000 AIR 50 MIRROR,Hib,346.44,"Measuring 800 x 500 x 25mm, the HIB Air LED framed mirror combines functional height with an ultra-slim frame and precision LED lighting, making it a statement choice for a contemporary bathroom. Wave-switch activated, the lighting in this mirror is designed to be intuitive while bringing a luxurious ambience to the bathroom. A central demisting pad provides convenience. All necessary electrical components are built into the frame, making installation simple.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> HIB 787310000 AIR 50 MIRROR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/46/NW-E11645_E11646_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HIB_Air_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/HIB_Air_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,
8,PE51337,Hib Vega mirror (LED illuminated) with charging socket 70 x 50 x 5.5cm,Hib,342.55,"With a charging socket hidden discreetly behind its front, the HIB Vega 800 x 500 x 55mm mirror is a practical choice for a streamlined bathroom, providing easy charging of toothbrushes and shavers. With the addition of LED colour temperature changing lighting and a built-in heated demister pad, the Vega helps to streamline your morning routine and create the perfect in-bathroom atmosphere.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Hib Vega mirror (LED illuminated) with charging socket 70 x 50 x 5.5cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/39/NW-E51337_E51339_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/HIB_Arena_Vega_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HIB_Vega_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
9,PE51263,Hib Globe mirror 800 x 600 x 45mm,Hib,350.3,"The HiB Globe 60 illuminated mirror features a colour temperature changeable LED light, allowing you to adapt the ambience of your bathroom to suit your needs. Suitable for portrait or landscape installation, the Globe includes a heat pad to keep a generous space clear of condensation for use after your bath or shower.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Mirrors/Bathroom Mirrors.csv -> Hib Globe mirror 800 x 600 x 45mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/63/NW-E51263_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/HiB_Globe_Vega_Fitting_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HiB_VentilationLighting_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/94/HiB_Bathroom_Brochure_94.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HiB_Globe_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/E51263_ErP.pdf,,,,,,,,,,,,,,,,,,,,,
