,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Projection Depth,Number of Tap Holes,Feature 4,Feature 5,Feature 6,Finish,Material Type,Range,Warranty,Tap Holes,Projection,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Feature 7
0,PB61019,Center CB Centresuite basin with two tap holes 550mm White,Center CB,34.76,This Center CB two tap hole 550mm wall-mounted basin is made of tough vitreous china with a high gloss white finish.,Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Center CB Centresuite basin with two tap holes 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/19/NW-B61019_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/B61019 - Center 2012.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Center_B61019_Line Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8_/18/Care_Instructions_22_08_18.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ic/Installation_Ins_Basins_Generic.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PT41934,Tradefix complete basin and pedestal 1th,Tradefix,52.51,"A sensible economy buy, the Tradefix 440mm complete basin and pedestal is a ready-to-install pairing designed for ease of specification. Wall-mounted, this sink is supplied with a single taphole for one mixer tap and a pedestal for a neat finish.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Tradefix complete basin and pedestal 1th,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/34/T41934_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T41934_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PB61020,Center CB Centresuite B61020 full pedestal in gloss white,Center CB,28.0,"Helping to conceal unsightly pipework, this Center CB Centresuite 215 x 215mm full pedestal is made of vitreous china finished in a high gloss white. It has a simple design that's perfect for a modern bathroom.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Center CB Centresuite B61020 full pedestal in gloss white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/20/NW-B61020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/B61020 Center 2012.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ic/Installation_Ins_Basins_Generic.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Basin_and_pedestal_fitting_instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PB61018,Center CB Centresuite basin with one tap hole 550mm White,Center CB,34.5,This Center CB single tap hole 550mm basin is made of tough vitreous china with a high gloss white finish.,Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Center CB Centresuite basin with one tap hole 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/18/NW-B61018_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/B61018LineDrawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8_/18/Care_Instructions_22_08_18.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ic/Installation_Ins_Basins_Generic.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/ld/B61018_Center_2012_550mm_1TH_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD00721,Roca Laura semi-pedestal for basin 450mm White,Roca,82.41,"This Roca Laura semi pedestal is designed to conceal unsightly pipework for easier cleaning and a neat, elegant bathroom finish.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Roca Laura semi-pedestal for basin 450mm White,,semi pedestal;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/21/NW-D00721_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00721_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PP07563,Geberit Selnova Square washbasin 1 tap 550 x 440mm,Geberit,98.66,"With its geometric shape, the Geberit Selnova Square 550mm washbasin is the perfect choice for a contemporary bathroom. Made of vitreous china with a high gloss white coating, the Selnova Square is designed for pedestal installation. A single pre-drilled tap hole allows the owner to select their ideal mixer tap.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Geberit Selnova Square washbasin 1 tap 550 x 440mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/63/NW-P07563_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_The_Select_Series_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_SelnovaSquare_Washbasin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PP65669,Geberit Selnova Compact round corner washbasin 1 tap 320mm,Geberit,91.21,"Ideal for a cloakroom or en-suite bathroom, this smaller size Geberit Selnova Compact 450 x 395mm corner handrinse basin is made of vitreous china with a white finish. Suitable for countertop installation, this corner basin is a real space-saver.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Geberit Selnova Compact round corner washbasin 1 tap 320mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/70/NW-P65669_P65670_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Selnova_Compact_C_Basin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD10571,Roca Maxi 1-taphole basin 450mm,Roca,72.29,"Designed with small bathrooms in mind, the Roca Maxi 450mm cloakroom wall hung basin has a compact design with a single right hand tap hole.",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Roca Maxi 1-taphole basin 450mm,,Cloakroom wall hung basin;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/71/NW-D10571_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D10571_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PC22616,Nabis Deco ceramic basin 500mm,Nabis,163.08,Nabis Deco ceramic basin is designed specifically to complement the washbasin furniture. Stylish range of ceramic basin designed to complement the beautiful Deco range of bathroom furniture.,Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Nabis Deco ceramic basin 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/16/NW-C22616_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Deco_Ceramic_Basins_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22615-C22618_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PP71209,Geberit Selnova Square 501.476.00.6 square full pedestal,Geberit,66.18,"A modern design that will breathe new life into an old bathroom, the Geberit Selnova Square 165 x 150mm full pedestal has a smart square profile.  Made of hardwearing vitreous china, this pedestal is finished in bright, clean white to complement almost every bathroom suite. Combine with Geberit Selnova Square & Smyle Square Handrinse and Washbasins 360mm-1200mm",Bathrooms and Kitchens/Bathroom Sinks/Bathroom Sinks.csv -> Geberit Selnova Square 501.476.00.6 square full pedestal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/P71209_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_SelnovaSquare_FPedestal_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/P71209_Dimensions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
