,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Finish,Material Type,Projection Depth,Range,Warranty,Tap Holes,Number of Tap Holes,Feature 4,Feature 5,Feature 6,Feature 7,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles
0,PB61020,Center CB Centresuite B61020 full pedestal in gloss white,Center CB,28.0,"Helping to conceal unsightly pipework, this Center CB Centresuite 215 x 215mm full pedestal is made of vitreous china finished in a high gloss white. It has a simple design that's perfect for a modern bathroom.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Center CB Centresuite B61020 full pedestal in gloss white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/20/NW-B61020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/B61020 Center 2012.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ic/Installation_Ins_Basins_Generic.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Basin_and_pedestal_fitting_instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PT41934,Tradefix complete basin and pedestal 1th,Tradefix,52.51,"A sensible economy buy, the Tradefix 440mm complete basin and pedestal is a ready-to-install pairing designed for ease of specification. Wall-mounted, this sink is supplied with a single taphole for one mixer tap and a pedestal for a neat finish.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Tradefix complete basin and pedestal 1th,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/34/T41934_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T41934_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD10571,Roca Maxi 1-taphole basin 450mm,Roca,72.29,"Designed with small bathrooms in mind, the Roca Maxi 450mm cloakroom wall hung basin has a compact design with a single right hand tap hole.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Roca Maxi 1-taphole basin 450mm,,Cloakroom wall hung basin;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/71/NW-D10571_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D10571_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PN66482,Ideal Standard iLife E245901 basin 1 tap hole 50cm,Ideal Standard,76.06,"An elegant modern design to suit any bathroom, the Ideal Standard i.Life 500mm single taphole basin is part of a broad range of contemporary bathroom fittings that can help to create a sense of space and light in a room. Suitable for wall-mounting, this basin can be paired with a pedestal for a neat finish.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard iLife E245901 basin 1 tap hole 50cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/82/NW-N66482_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_iLife_50cm_Washbasin_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PN66483,Ideal Standard iLife E246801 full pedestal,Ideal Standard,49.09,"Simply designed with clean, modern lines, the Ideal Standard i.life full pedestal is intended to be installed underneath a basin for support and to conceal unsightly pipework for a neater finish and easier cleaning.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard iLife E246801 full pedestal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/84/NW-N66483_N66484_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_iLife_50cm_Washbasin_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PC08083,Twyford Alcona AR4920WH Round full pedestal,Twyford,43.57,"An ideal complement to contemporary basins, the Twyford Alcona 155 x 160mm full pedestal has a gently rounded silhouette. Made of vitreous china, this smart pedestal is finished in classic, clean white. Combine with Twyford Basins 350-600mm",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Twyford Alcona AR4920WH Round full pedestal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/C08083_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/C08083_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Twyford_Specification_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PB61633,Nabis Lamone One tap hole basin 500mm,Nabis,55.17,"Made of a tough china, this smart Nabis Lamone 500mm washbasin with single tap hole is part of a bathroom range designed to blend effortless style with improved water economy.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Nabis Lamone One tap hole basin 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/33/B61633_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD00721,Roca Laura semi-pedestal for basin 450mm White,Roca,82.41,"This Roca Laura semi pedestal is designed to conceal unsightly pipework for easier cleaning and a neat, elegant bathroom finish.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Roca Laura semi-pedestal for basin 450mm White,,semi pedestal;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/21/NW-D00721_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00721_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PP07563,Geberit Selnova Square washbasin 1 tap 550 x 440mm,Geberit,98.66,"With its geometric shape, the Geberit Selnova Square 550mm washbasin is the perfect choice for a contemporary bathroom. Made of vitreous china with a high gloss white coating, the Selnova Square is designed for pedestal installation. A single pre-drilled tap hole allows the owner to select their ideal mixer tap.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Geberit Selnova Square washbasin 1 tap 550 x 440mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/63/NW-P07563_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_The_Select_Series_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_SelnovaSquare_Washbasin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PN68976,Ideal Standard i. Life S pedestal,Ideal Standard,58.96,"A robust, simple design, this Ideal Standard i.Life S 700mm basin pedestal is suitable for use with basins in the brand's space saving i.Life S range.",Bathrooms and Kitchens/Bathroom Sinks/Wall and Pedestal Basins/Wall and Pedestal Basins.csv -> Ideal Standard i. Life S pedestal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/76/N68976_wm.jpg,,,,,White,N,700,No,Floor,Fine Fireclay,E337201,Full-Pedestal,N,For use with i.Life basins,Fine fireclay construction,White colour,,,,,,,,,,,,,,,
