,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Feature 11,Feature 12,Feature 13,Finish
0,PA05403,Nabis Alia deck mounted 3/4-turn bath filler mixer tap,Nabis,122.8,"Manufactured in robust brass, the Nabis Alia bath/shower mixer is finished in bright, shiny chrome. This smart fixed spout tap, suitable for installation in both low and high pressure systems, has a neat modern design to suit most contemporary bathrooms.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Nabis Alia deck mounted 3/4-turn bath filler mixer tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/03/NW-A05403_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Alia_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05403_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PC58102,* @ SWAN STANDARD 2TH DECK BSM & KIT CP,Swan,41.25,"Swan bath shower mixer is manufactured to the highest possible standards and designed with a focus on functionality. Provides the user with a high quality, hard-wearing features backed up with a 5 year guarantee for extra peace of mind.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> * @ SWAN STANDARD 2TH DECK BSM & KIT CP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/02/NW-C58102_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C58102_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Swan_C58102-C58117_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD10029,"Bristan 1901 basin pillar taps 1/2"" ceramic disc valves Chrome Plated pack",Bristan,73.99,"Finished in bright, glossy chrome, these Bristan 1901 basin taps, supplied with pop-up waste, are made of durable brass. Suitable for all plumbing systems, this pair of deck-mounted, Edwardian-inspired taps is an ideal choice for bathrooms in period homes.","Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan 1901 basin pillar taps 1/2"" ceramic disc valves Chrome Plated pack",,"2 x Taps, 2 x Metal Washers, 2 x Black Rubber Washers, 1 x Fitting Instructions",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/78/NW-D77378_wm.jpg,,,,,Chrome/Metallic,8.2 L/min at 0.2 bar45.4 L/min at 5 bar,0.2,65,85,1901,Traditional,5 Years,N,121,Low,No,No,Yes,Fixed,Deck,Cross,Brass,2,D10029 PK,Basin tap,N,Precise glide,Chrome finish,Matching taps and showers available,Secure fix,Long life 1/4 turn ceramic disc valves,Metal handles,Metal back nuts for durability,Chrome-plated to BS EN 248,"Flow rate 15.9LPM at 0.2 bar, 79.6LPM at 5 bar",5 year warranty,,,,,
3,PD10033,Bristan Orta basin mixer tap and clicker waste Chrome Plated pack,Bristan,48.0,"Uniquely designed for a modern bathroom, the Bristan Orta basin mixer with clicker waste offers a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this contemporary deck-mounted tap is constructed in long lasting brass.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Orta basin mixer tap and clicker waste Chrome Plated pack,,Basin mixer;Clicker waste,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/33/NW-D10033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Collection_2011_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D10033_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Range_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PA05492,Nabis Galene lever 2-tap hole bath shower mixer tap and kit Chrome,Nabis,80.69,"Fitted with a 3/4"" ceramic cartridge, the Nabis Galene two tap hole bath/shower mixer tap provides users with smooth operation via a simple and robust zinc handle. Finished in an attractive chrome plating, this simply styled bathroom tap is delivered with a shower kit for ease of installation.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Nabis Galene lever 2-tap hole bath shower mixer tap and kit Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/92/NW-A05492_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Galene_Tap_Range_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD77390,Bristan 1901 pillar bath shower mixer tap Chrome Plated,Bristan,386.14,"A classic choice in shiny, traditional chrome, the brass built Bristan 1901 pillar bath/shower mixer tap is an ideal Edwardian touch for a luxury period bathroom. Fitted with ceramic discs for smoother operation, this deck-mounted tap is suitable for installation in any plumbing system.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan 1901 pillar bath shower mixer tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/90/NW-D77390_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_547294_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77390_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_1901_BSM_CD_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PC34295,Ideal Standard clearplan single lever bath shower mixer with shower set,Ideal Standard,198.47,"Re-worked for modern bathrooms, the Ideal Standard Clearplan single lever bath/shower mixer has a slimline, contemporary design with a smooth chrome finish. Supplied complete with a shower set, this deck-mounted mixer offers ease of installation using the EasyFix system.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Ideal Standard clearplan single lever bath shower mixer with shower set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/95/C34295_wm.jpg,,,,,Chrome,15,50 kPs,N/A,153,,Lever bath shower mixer,5 Years,N,196,Med,N/A,Yes,Yes,Fixed,Deck,Lever,Brass,0,BD267AA,Deck mounted bath shower mixer,N,With shower set,"FirmaFlow ceramic cartridges for 500,000 cycle lifespan",Easyfix fixation system for ease of fitting,With flexible tails,Lever-operated,Brass construction,Chrome finish,5 year warranty,,,,,,,
7,PD10027,Bristan Cobalt bath filler tap pack,Bristan,129.99,"The bold, geometric lines of the Bristan Cobalt bath filler are an ideal addition to a contemporary bathroom. Made of long lasting brass and finished in chrome, this deck-mounted filler is compatible with all plumbing systems.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Cobalt bath filler tap pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/76/NW-D77276_wm.jpg,,,,,Chrome/Gloss,5.7 l/min,0.3,65,104,Cobalt,Modern,5 Years,N,165,Low,No,No,Yes,Fixed,Deck,Lever,Brass,2,D10027 PK,Bath Filler,N,Precise glide,Chrome finish,Matching taps and showers available,Secure fix,Long life 1/4 turn ceramic disc valves,Metal back nuts for durability,Easy to use lever handles,Chrome-plated to BS EN 248,Flow rate 5.7LPM,5 year warranty,,,,,
8,PC69083,Bristan Orta bath shower mixer tap Chrome Plated,Bristan,168.09,"Uniquely designed for a modern bathroom, the Bristan Orta bath/shower mixer, supplied with hose, handheld showerhead and bracket, offers a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this contemporary deck-mounted filler is constructed in long lasting brass.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Orta bath shower mixer tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/83/NW-C69083_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_OR_BSM_C_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_OR_BSM_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PC69026,Bristan Club luxury bath shower mixer tap with metal-heads Chrome Plated,Bristan,119.65,"The classic Bristan Club bath/shower mixer with easy-clean shower, hose and bracket is compatible with all plumbing systems, preferring balanced for best performance. This simply smart deck-mounted bath filler is made of durable brass with a glossy chrome finish.",Bathrooms and Kitchens/Bathroom Taps/Bath Shower Mixer Taps/Bath Shower Mixer Taps.csv -> Bristan Club luxury bath shower mixer tap with metal-heads Chrome Plated,,Bath shower mixer;1.5m hose;Handset;Wall bracket,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/26/NW-C69026_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C69026_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C69026_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_541210_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
