,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Finish
0,PA05404,Nabis Alia hot and cold basin taps,Nabis,27.5,"Beautifully modern, this pair of Nabis Alia deck-mounted basin taps is built from tough brass and finished in glossy chrome.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Nabis Alia hot and cold basin taps,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/04/NW-A05404_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05404_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Alia_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PA05432,Nabis Regal hot and cold basin taps,Nabis,21.76,"Classically designed, these Nabis Regal basin taps are ideal for traditional bathrooms. Built in robust brass with zinc handles, this pair of deck-mounted taps is finished in chrome.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Nabis Regal hot and cold basin taps,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/32/NW-A05432_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/2_/ds/Nabis_A05432_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05432_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Regal_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PC58100,"Swan SWAN STANDARD standard basin pillar taps 1/2"" Chrome",Swan,17.01,"Swan pillar tap is manufactured to the highest possible standards and designed with a focus on functionality. Provides the user with a high quality, hard-wearing features backed up with a 5 year guarantee for extra peace of mind.","Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Swan SWAN STANDARD standard basin pillar taps 1/2"" Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/00/NW-C58100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Swan_C58100101115116109110_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C58100_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PC58116,"Swan Lever quarter turn bath pillar taps 3/4"" chrome",Swan,21.76,"Swan pillar tap is manufactured to the highest possible standards and designed with a focus on functionality. Provides the user with a high quality, hard-wearing features backed up with a 5 year guarantee for extra peace of mind.","Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Swan Lever quarter turn bath pillar taps 3/4"" chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/16/NW-C58116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C58116_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Swan_C58100101115116109110_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PA05030,Nabis Swish bath pillar taps Chrome (Pair),Nabis,55.86,"Designed to suit modern bathrooms, the Nabis Swish bath pillar tap with 3/4"" ceramic disc valve looks great and is effortless to use. Built in brass, this tap is finished in high shine chrome and is operated via a simple lever handle.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Nabis Swish bath pillar taps Chrome (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/30/NW-A05030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap_Spares_Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Swish_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PC58101,"Swan Standard bath pillar taps 3/4"" chrome",Swan,23.49,"Swan pillar tap is manufactured to the highest possible standards and designed with a focus on functionality. Provides the user with a high quality, hard-wearing features backed up with a 5 year guarantee for extra peace of mind.","Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Swan Standard bath pillar taps 3/4"" chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/01/NW-C58101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C58101_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Swan_C58100101115116109110_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PA05018,* NAB BARFORD LEVER BATH PILLAR TAPS,Nabis,55.61,"A high quality choice, this Nabis Barford pair of 101mm projection basin pillar taps with 1/2"" ceramic disc valves has a contemporary look ideal for modern bathrooms. These taps are built from tough brass with a chrome finish and are lever-operated.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> * NAB BARFORD LEVER BATH PILLAR TAPS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/18/NW-A05018_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap_Spares_Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Barford_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD10029,"Bristan 1901 basin pillar taps 1/2"" ceramic disc valves Chrome Plated pack",Bristan,73.99,"Finished in bright, glossy chrome, these Bristan 1901 basin taps, supplied with pop-up waste, are made of durable brass. Suitable for all plumbing systems, this pair of deck-mounted, Edwardian-inspired taps is an ideal choice for bathrooms in period homes.","Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Bristan 1901 basin pillar taps 1/2"" ceramic disc valves Chrome Plated pack",,"2 x Taps, 2 x Metal Washers, 2 x Black Rubber Washers, 1 x Fitting Instructions",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/78/NW-D77378_wm.jpg,,,,,,Chrome/Metallic,8.2 L/min at 0.2 bar45.4 L/min at 5 bar,0.2,65,85,1901,Traditional,5 Years,N,121,Low,No,No,Yes,Fixed,Deck,Cross,Brass,2,D10029 PK,Basin tap,N,Precise glide,Chrome finish,Matching taps and showers available,Secure fix,Long life 1/4 turn ceramic disc valves,Metal handles,Metal back nuts for durability,Chrome-plated to BS EN 248,"Flow rate 15.9LPM at 0.2 bar, 79.6LPM at 5 bar",5 year warranty,
8,PA05017,Nabis Barford lever basin pillar taps Chrome (Pair),Nabis,46.77,"A high quality choice, this Nabis Barford pair of 87mm projection basin pillar taps with 1/2"" ceramic disc valves has a contemporary look ideal for modern bathrooms. These taps are built from tough brass with a chrome finish and are lever-operated.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Nabis Barford lever basin pillar taps Chrome (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/17/NW-A05017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap_Spares_Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Barford_Tap_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PC22712,Bristan Sonique sequential exposed valve mixer shower and kit,Bristan,109.0,"Supplied with all required parts for easy installation, the Bristan Sonique exposed mini valve shower has a modern, angular design well-suited to contemporary bathrooms and incorporates thermostatic technology for reliably comfortable and safe showering.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Pillar Taps/Bathroom Pillar Taps.csv -> Bristan Sonique sequential exposed valve mixer shower and kit,,Shower Valve;2x long elbows;2x covers;2x filters;Green flow regulator;Yellow flow regulator;2x backplate fixings;Showerhead;2x sealing washers;Shower hose;Riser rail;4x riser rail fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/12/NW-C22712_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/uc/Bristan_Sonique_Capri_Acute_Instruc.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C22712_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C22712_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
