,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Warranty,Hazardous,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Material,Shape,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 4,Seat Projection,Attachment 5,Weight,Flush Type,Pack Quantity,Style,Depth (mm),Mounting Type,Application,Design Type,Fittings Included,Attachment 6
0,PD30973,Constance Flexi-Fix thermoset toilet seat White,Constance,35.75,"The Croydex Constance Flexi-Fix D-shaped toilet seat is made of durable white thermoset with an antibacterial treatment for cleaner use. Incorporating innovative grip pad technology and patented V plate hinges, the Constance allows for maximum adjustment to fit the fixing holes of any standard toilet pan and can be installed from above or below for a perfect slip-free fit.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Constance Flexi-Fix thermoset toilet seat White,,Toilet seat;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/73/NW-D30973_wm.jpg,White,Flexi-Fix,1 year,N,Yes,Patented V plate hinges,110mm - 200,Zinc,Thermoset,D-Shape,WL601722H,Flexi-Fix,N,Adjustable hinges fit all standard toilets,Made from anti-bacterial treated thermoset plastic,Chrome plated hinges,Soft close hinges prevents the seat from slamming shut,All fittings included,,,,,,,,,,,,,,,,,,,,
1,PB08702,Center CB toilet seat and cover White,Center,11.75,as per column O,Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Center CB toilet seat and cover White,,White toilet seat and cover with hinge fixings and instruction leaflet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/02/NW-B08702_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,,,,,,
2,PA05652,Nabis Lily soft close toilet seat quick release top fix hinge and lock,Nabis,20.0,"Strong and long lasting, the Nabis Lily round toilet seat and cover is made of shatter-resistant thermoplastic with quick-release, top fix stainless steel hinge with Lock+ to ensure a reliable, movement-free install. The Lily's soft close automatic closure system protects fingers and closes quietly at the lightest of touches.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Nabis Lily soft close toilet seat quick release top fix hinge and lock,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/42/598342_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,,,,,,
3,PT02633,Ideal Standard Tesi Overwrap seat and cover (slow closing),Ideal Standard,96.02,"A contemporary design with the convenience of a bottom fixing soft-close hinge, the Ideal Standard Tesi D-shaped toilet seat and cover is made of hardwearing plastic. This modern loo seat is intended to complement the geometric Tesi range of bathroom furniture.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard Tesi Overwrap seat and cover (slow closing),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/33/NW-T02633_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/IS_s_Tesi_Spare_Parts.pdf,,,,,,,,,,,,,,,,,,,
4,PC24475,Ideal Standard Concept thin soft close toilet seat and cover White,Ideal Standard,122.03,"Made of simple, robust white plastic, the Ideal Standard Concept oval toilet seat and cover is designed to fit the Ideal Standard Concept toilet, however it also provides compatibility with a wide variety of other loos. The Concept toilet seat has a convenient top fixing soft-close hinge for a hint of luxury and less noise.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard Concept thin soft close toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/75/NW-C24475_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,,,,,,,,,,,,,,,,,,,
5,PB90155,Celmac Sonata toilet seat with cover and hinges Black/Stainless Steel,Celmac,32.04,"Made of heavyweight black thermoset, this Celmac Sonata oval toilet seat and cover has a robust 304 stainless steel hinge for secure, long lasting fitting. Resistant to damage, the Sonata is easy to clean and designed for comfort and durability.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Celmac Sonata toilet seat with cover and hinges Black/Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/55/NW-B90155_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Celmac_Toilet_Seats_Instrct_Leaflet.pdf,,,,,,,,,,,,,,,,,,
6,PD30975,Eyre Flexi-Fix D-shaped toilet seat White,Eyre,34.49,"Antibacterial for cleaner use, this Croydex Eyre Flexi-Fit D-shaped toilet seat is made of white thermoset plastic and includes soft close chrome-plated adjustable hinges designed for fitting to all standard toilets.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Eyre Flexi-Fix D-shaped toilet seat White,,Toilet seat;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/75/NW-D30975_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
7,PB61696,Nabis Lamone premium soft close seat and cover,Nabis,80.43,"Built to last, the Nabis Lamone D-shaped toilet seat and cover has a smart smooth white finish for reliable matching to the wider Lamone bathroom range. With soft close hinges, this toilet seat closes quietly for safer, less disruptive use.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Nabis Lamone premium soft close seat and cover,,Toilet seat;Cover;Hinge,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/96/B61696_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B61695-B61696_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_Lamone_Drawing.pdf,,,,,,,,,,,,,,,,,,
8,PB87200,Armitage Shanks Gemini toilet seat and cover White,Armitage Shanks,76.27,"Simple, lightweight and strong, the bottom fixing Armitage Shanks Gemini round toilet seat and cover is made of a tough white plastic. Built for long lasting durability, this loo seat is an economical choice for any bathroom.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Armitage Shanks Gemini toilet seat and cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/00/NW-B87200_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Armitage_Shanks_Gemini_S4055_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/AS_Sandringham_21_Plumbers_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B87200_Technical.pdf,,,,,,,,,,,,,,,,,
9,PD81439,Ideal Standard iLife A and S W/C seat and cover slow close,Ideal Standard,81.91,"Part of a comprehensive modern bathroom range, the Ideal Standard i.Life toilet seat and cover is suitable for installation on rectangular WC pans. Manufactured in robust plastic, this soft-close  toilet seat and cover set is finished in a high gloss white and has quick-release hinges for easy, quick cleaning.",Bathrooms and Kitchens/Toilets/Toilet Seats/Toilet Seats.csv -> Ideal Standard iLife A and S W/C seat and cover slow close,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/_a/D81439_A_wm.jpg,White/Gloss,iLIFE,5 Years,N,Yes,yes,180,Stainless Steel,Plastic,Rectangle,T473701,,N,Quick-release for easy cleaning,Stainless steel hinges,Soft-close action,Rectangular shape,Plastic construction,,,,Gloss white finish,5 year warranty,,,,,,,,,,,,,,,
