,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Attachment 3
0,P111309,"Alpha E-TEC NX + 38 kW boiler, flue and copper tube 6 mtr x 22 mm pack",Alpha,1038.0,TBC,"Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-TEC NX + 38 kW boiler, flue and copper tube 6 mtr x 22 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/09/111309_wm.jpg,N,111309 PK,N,,,,,,
1,P111305,"Alpha E-TEC NX 28 kW boiler, flue and copper tube 6 mtr x 22 mm pack",Alpha,640.0,TBC,"Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-TEC NX 28 kW boiler, flue and copper tube 6 mtr x 22 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/05/111305_wm.jpg,N,111305 PK,N,,,,,,
2,P111306,"Alpha E-TEC NX 33 kW boiler, flue and copper tube 6 mtr x 22 mm pack",Alpha,668.0,TBC,"Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-TEC NX 33 kW boiler, flue and copper tube 6 mtr x 22 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/06/111306_wm.jpg,N,111306 PK,N,,,,,,
3,P111307,"Alpha E-TEC NX + 28 kW boiler, flue and copper tube 6 mtr x 22 mm pack",Alpha,882.0,TBC,"Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-TEC NX + 28 kW boiler, flue and copper tube 6 mtr x 22 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/07/111307_wm.jpg,N,111307 PK,N,,,,,,
4,P111300,"Alpha E-TEC NX 28 kW boiler, flue and copper tube 15 mtr x 15 mm pack",Alpha,640.0,TBC,"Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-TEC NX 28 kW boiler, flue and copper tube 15 mtr x 15 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/00/111300_wm.jpg,N,111300 PK,N,,,,,,
5,P111308,"Alpha E-TEC NX + 33 kW boiler, flue and copper tube 6 mtr x 22 mm pack",Alpha,964.0,TBC,"Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-TEC NX + 33 kW boiler, flue and copper tube 6 mtr x 22 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/08/111308_wm.jpg,N,111308 PK,N,,,,,,
6,P111301,"Alpha E-TEC NX 33 kW boiler, flue and copper tube 15 mtr x 15 mm pack",Alpha,668.0,TBC,"Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-TEC NX 33 kW boiler, flue and copper tube 15 mtr x 15 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/01/111301_wm.jpg,N,111301 PK,N,,,,,,
7,P111302,"Alpha E-TEC NX + 28 kW boiler, flue and copper tube 15 mtr x 15 mm pack",Alpha,882.0,TBC,"Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-TEC NX + 28 kW boiler, flue and copper tube 15 mtr x 15 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/02/111302_wm.jpg,N,111302 PK,N,,,,,,
8,P111304,"Alpha E-TEC NX + 38 kW boiler, flue and copper tube 15 mtr x 15 mm pack",Alpha,1038.0,TBC,"Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-TEC NX + 38 kW boiler, flue and copper tube 15 mtr x 15 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/04/111304_wm.jpg,N,111304 PK,N,,,,,,
9,P111303,"Alpha E-TEC NX + 33 kW boiler, flue and copper tube 15 mtr x 15 mm pack",Alpha,964.0,TBC,"Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-TEC NX + 33 kW boiler, flue and copper tube 15 mtr x 15 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/03/111303_wm.jpg,N,111303 PK,N,,,,,,
10,P333552,Alpha Etec Plus 28NX combi boiler and horizontal flue,Alpha,882.0,TBC,Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha Etec Plus 28NX combi boiler and horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/52/333552_wm.jpg,N,333552 PK,N,,,,,,
11,P333114,Alpha e-tec nx 28kw combi boiler & flue,Alpha,640.0,"Making specification and installation jobs easier, this Alpha boiler pack contains both the Alpha e-Tec 28kW combi boiler and a compatible flue.",Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha e-tec nx 28kw combi boiler & flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_9/04/195895_904_wm.jpg,N,333114 PK,N,All-in-one pack,For ease of specification,With flue,,,
12,P333115,Alpha e-tec nx 33kw combi boiler & flue,Alpha,668.0,"Making specification and installation jobs easier, this Alpha boiler pack contains both the Alpha e-Tec 33kW combi boiler and a compatible flue.",Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha e-tec nx 33kw combi boiler & flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_9/04/195895_904_wm.jpg,N,333115 PK,N,All-in-one pack,For ease of specification,With flue,,,
13,P333729,Alpha E-Tec Plus 33 combi boiler and horizontal flue,Alpha,905.0,"Significantly improving installation times, the Alpha E-Tec 33 combi boiler is supplied with the Alpha Easiflue ceramic disc plume and mounting jig. With inner and outer ducts that simply extend to the required length, the Easiflue can save up to an hour of a fitting engineer's time, usually spent on measuring and cutting, while the E-Tec's easy to access dry-change NTCs, corrosion-resistant, zinc-plated expansion vessel and reliable Grundfos pump and hydroblock assembly reduce the need for lengthy servicing and maintenance work. Highly efficient, this reliable 33kW combi boiler has an ErP A rating for reduced waste and the potential for lower fuel bills.",Boilers/Boiler Packs/Alpha Boilers/Alpha Boilers.csv -> Alpha E-Tec Plus 33 combi boiler and horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/pk/333728_29 PK_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_E-Tec_Plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_E-Tec_Brochure.pdf,
