,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency %,Seasonal Space Heating Energy Efficiency Class,Max High Level Flue Length (metres),Preset Pressure Relief Valve (Bar),Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12
0,P333088,Glow-worm Energy 25C energy 25c blr h/flue filter pack,Glow-worm,936.0,"Attractively designed to suit a modern interior, the Glow-worm Energy 25C combi boiler pack is compact enough to fit into the average kitchen cupboard. A convenient choice for any household, this 25kW wall-mounted combi boiler has a simple interface for ease of use and compatibility with a number of external controls. Using a robust aluminium heat exchanger, the Energy is highly efficient, earning it an ErP A rating, meaning that it has the potential to reduce waste and even energy bills. Supplied with a horizontal flue and a filter, this boiler has a rear flue option, making installation easier, with handy siting flexibility.",Boilers/Boiler Packs/Glow-worm Boilers/Glow-worm Boilers.csv -> Glow-worm Energy 25C energy 25c blr h/flue filter pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/pk/333088_90PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Glow_worm_Energy_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_The_Energy_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow_worm_Energy7_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Glow_worm_Independent_Merchant_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Energy7_Operating_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P333568,Glow-worm Energy 30C energy 30c blr v/flue filter pack,Glow-worm,996.0,"Attractively designed to suit a modern interior, the Glow-worm Energy 30C combi boiler pack is compact enough to fit into the average kitchen cupboard. A convenient choice for any household, this 30kW wall-mounted combi boiler has a simple interface for ease of use and compatibility with a number of external controls. Using a robust aluminium heat exchanger, the Energy is highly efficient, earning it an ErP A rating, meaning that it has the potential to reduce waste and even energy bills. Supplied with a vertical flue and a filter, this boiler has a rear flue option, making installation easier, with handy siting flexibility.",Boilers/Boiler Packs/Glow-worm Boilers/Glow-worm Boilers.csv -> Glow-worm Energy 30C energy 30c blr v/flue filter pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/pk/333567_69 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Glow_worm_Energy_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_The_Energy_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow_worm_Energy7_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Glow_worm_Independent_Merchant_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Energy7_Operating_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P105617,Glow-worm Compact 24C-AS/1H-GB combi boiler with horizontal flue and filter 24kW,Glow-worm,574.0,TBC,Boilers/Boiler Packs/Glow-worm Boilers/Glow-worm Boilers.csv -> Glow-worm Compact 24C-AS/1H-GB combi boiler with horizontal flue and filter 24kW,,"Gas-fired wall-hung boiler;Horizontal flue;Filter;Bag containing valves for gas, heating and domestic hot water;Drain spigot of the expansion relief valve;2x bag with small parts;Condensate discharge hose;Enclosed documentation",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/17/105617_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Compact_24c_28c_O_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow_worm_Compact_24c_28c_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P333954,Glow-worm Energy7 30C combi boiler,Glow-worm,884.0,"Over 80 years of commitment to top quality, reliability and exceptional durability have made Glow-worm one of the UK’s leading heating manufacturers. We have built our reputation on delivering products which are straightforward, dependable and designed with you in mind.",Boilers/Boiler Packs/Glow-worm Boilers/Glow-worm Boilers.csv -> Glow-worm Energy7 30C combi boiler,,Combi boiler;Heat generator;Unit mounting bracket;Flexible condensate discharge pipe;6x 3/4 seals;4x 1/2 seals;Service valve;Gas stopcock;Filling device;2x connection pipe (heating flow ;return);Cold water connection pipe;Domestic hot water connection,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/im/er/opticom basic UK notimer_wm.jpg,,,,,,,White,18.2 L/min @ 20K 12.1 L/min @ 30K,Natural Gas,Energy7,7 Year,33 kg,A,N,A,30 kW,280,93,Wall,333954 PK,Combi Boiler,N,Easy to Install,Energy Saving,,,,,,,,,,,,,,,
4,P103524,Glow-worm Energy 25R ErP regular boiler including flue,Glow-worm,952.0,"Built at the brand's award-winning Belper factory, the Glow-worm Energy 25R regular boiler pack is designed to last, is easier to maintain and offers ErP A-rated efficiency. With a compact design and a rear flue option, it offers flexibility to suit just about any home. Installed with one of Glow-worm's wide range of hot water storage cylinders, this 25kW, wall-mounted regular boiler can ensure excellent hot water supply levels for even the most demanding families.",Boilers/Boiler Packs/Glow-worm Boilers/Glow-worm Boilers.csv -> Glow-worm Energy 25R ErP regular boiler including flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/24/NW-103524_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_The_Energy_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Energy7_Reg_Oper_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Glow_worm_Independent_Merchant_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow_worm_Energy7_Reg_Boiler_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P105616,Glow-worm Compact 28C-AS/1H-GB combi boiler with horizontal flue and filter 28kW,Glow-worm,633.0,TBC,Boilers/Boiler Packs/Glow-worm Boilers/Glow-worm Boilers.csv -> Glow-worm Compact 28C-AS/1H-GB combi boiler with horizontal flue and filter 28kW,,"Gas-fired wall-hung boiler;Horizontal flue;Filter;Bag containing valves for gas, heating and domestic hot water;Drain spigot of the expansion relief valve;2x bag with small parts;Condensate discharge hose;Enclosed documentation",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/16/105616_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Compact_24c_28c_O_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow_worm_Compact_24c_28c_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P333953,Glow-worm Energy 25C combi boiler,Glow-worm,775.0,"Over 80 years of commitment to top quality, reliability and exceptional durability have made Glow-worm one of the UK’s leading heating manufacturers. We have built our reputation on delivering products which are straightforward, dependable and designed with you in mind.",Boilers/Boiler Packs/Glow-worm Boilers/Glow-worm Boilers.csv -> Glow-worm Energy 25C combi boiler,,Combi boiler;Heat generator;Unit mounting bracket;Flexible condensate discharge pipe;6x 3/4 seals;4x 1/2 seals;Service valve;Gas stopcock;Filling device;2x connection pipe (heating flow ;return);Cold water connection pipe;Domestic hot water connection,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/im/er/opticom basic UK notimer_wm.jpg,,,,,,,White,12.1 L/min @ 30K 10.4 L/min @ 35K,Natural Gas,Energy,7 Year,32 kg,A,N,A,25 kW,280,93,Wall,333953 PK,Combi Boiler,N,Easy to Install,Energy Saving,,,,,,,,,,,,,,,
7,P333089,Glow-worm Energy 30C   energy 30c blr h/flue filter pack,Glow-worm,1017.0,"Attractively designed to suit a modern interior, the Glow-worm Energy 30C combi boiler pack is compact enough to fit into the average kitchen cupboard. A convenient choice for any household, this 30kW wall-mounted combi boiler has a simple interface for ease of use and compatibility with a number of external controls. Using a robust aluminium heat exchanger, the Energy is highly efficient, earning it an ErP A rating, meaning that it has the potential to reduce waste and even energy bills. Supplied with a horizontal flue and a filter, this boiler has a rear flue option, making installation easier, with handy siting flexibility.",Boilers/Boiler Packs/Glow-worm Boilers/Glow-worm Boilers.csv -> Glow-worm Energy 30C   energy 30c blr h/flue filter pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/pk/333088_90PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_The_Energy_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Glow_worm_Energy_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow_worm_Energy7_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Glow_worm_Independent_Merchant_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Energy7_Operating_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P103525,Glow-worm Energy 30 ErP regular boiler including flue,Glow-worm,1099.0,"The Energy range is Glow-worm’s new flagship ErP A rated boiler specifically for the one off installer market, installing in private domestic properties.",Boilers/Boiler Packs/Glow-worm Boilers/Glow-worm Boilers.csv -> Glow-worm Energy 30 ErP regular boiler including flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/im/er/opticom basic UK notimer_wm.jpg,,,,,,,,,Natural Gas,Energy,,,,N,,,,,,103525 PK,Natural Gas Boiler,N,"Designed using automotive grade aluminium the Energy heat exchanger is a high quality, high efficiency product that makes the boiler not only light to install but also easy to maintain. Energy is compact with a rear flue option for cupboard fit installs",,25,93,A,,,,,,,,,,,,
9,P103523,Glow-worm Energy 18R ErP regular boiler including flue,Glow-worm,1010.0,"The smaller footprint and contemporary design of the Glow-worm Energy 18R regular open vent boiler, along with its range of flueing options, makes it suitable for a whole host of installations and particularly for retrofitting in larger homes with high hot water demand. Easy to control via a bright, modern LCD interface, this ErP A-rated boiler is adaptable and efficient as well as easy to maintain thanks to a robust automotive grade aluminium heat exchanger with wider waterways.",Boilers/Boiler Packs/Glow-worm Boilers/Glow-worm Boilers.csv -> Glow-worm Energy 18R ErP regular boiler including flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/63/113259_113263_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Glow-worm_Energy_Range_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow-worm_Energy_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow-worm_Energy_Regular_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
