,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Dry Weight (kg),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Colour,Max High Level Flue Length (metres),Seasonal Space Heating Energy Efficiency %,Pack Quantity,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Flow Rate,Feature 19,Attachment 6,Attachment 7,Attachment 8
0,P333989,Worcester Bosch Greenstar 8000 Life GR8300iW 35 S NG system boiler pack 35kW White,Worcester Bosch,1521.0,"The Worcester Bosch Greenstar 8000 Life GR8300iW 35 S NG condensing system boiler is built on the foundations of the perennially popular Greenstar CDi Classic, maintaining the same high build quality but with a newly modern design and more convenient installation. With its low energy modulating pump, built-in frost protection and compatibility with solar power, this ErP A-rated system boiler helps the user to enjoy reduced utility bills and enhanced reliability throughout the lifetime of the boiler.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 35 S NG system boiler pack 35kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,Natural Gas,Greenstar 8000 Life,8 years,46 kg,A,N,A,35 kW,365,333989,46,94,Wall Hung,333989 PK,Condensing System Boiler,N,Pre-wired and pre-plumbed,Galvanised steel inner frame,Low energy modulating pump,Digital control system,Automatic ignition,Direct burner ignition electrodes,Requires a cylinder for storing hot water,Majority of components are built into the boiler for faster installation,Built-in frost protection,Built-in fault-finding diagnostics,Automatic gas valve,Modulating combustion air fan with speed regulator,CH temperature sensor and control,Pump anti-seizure protection,Flue gas temperature sensor,Condensate siphonic trap,Compatible with solar water heating systems,8 year warranty,,,,,,,,,,,,,,
1,P333770,Vaillant ecoFIT pure System 630 boiler,Vaillant,1424.0,"Featuring a reliable and efficient aluminium heat exchanger, the Vaillant ecoFIT pure 630 system boiler offers powerful operation along with an ErP A rating. Easy to install, this compact 30kW boiler is lightweight for ease of handling and will fit effortlessly into a standard kitchen cupboard. Operating quietly wherever it's located, the ecoFIT pure is compatible with a wide variety of heating controls for convenient, intuitive use as part of a smart home system.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Vaillant ecoFIT pure System 630 boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/st/em/Ecofit_Pure_System_wm.jpg,Natural Gas,ecoFIT pure System,2 Year,32 kg,A,N,,30 kW,295,,32,89.9,Wall Hung,333770 PK,System Boiler Pack,N,Compact cupboard-fit,Lightweight,Rear flue option available,"Quiet Mark approved, one of the quietest products in its category",High performance build,Smart controls,Aluminium heat exchanger offers low energy consumption,"Compatible with a full range of heating control options, from simple analogue timers to vSMART smartphone app",2 year warranty,,,,,,,,,,White/Gloss,10,89.3,,,,,,,,,,,
2,P333111,Alpha E-Tec Nx 20kW System Boiler,Alpha,738.0,"Fitted with a reliable stainless steel heat exchanger, the Alpha E-Tec NXS system boiler offers excellent energy efficiency for a high SAP rating of 89.5%. Suitable for wall mounting, this 20kW boiler offers ease of operation via an up-to-date, easy to read backlit display and works quietly thanks to its clever double casing design.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Alpha E-Tec Nx 20kW System Boiler,,Boiler with fittings pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_9/04/195895_904_wm.jpg,Natural Gas,,7 Years,30.6kg,A,N,,26.1 kW,255,,30.6,89.5,Wall Mounted,333111 PK,System,N,Lightweight stainless steel main heat exchanger,Double casing design ensures quiet operation,Clear backlit display,Revised control panel interface,Removable push-fit flue connection,Fully range output adjustable,Delta T variable speed pump,For wall mounted installation,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,
3,P128805,Ideal Heating Logic 228354 logic system 2 S24 (1),Ideal Heating,912.95,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic2 System S24 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 24kW system boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Logic2 System simple while an A rating for efficiency helps to minimise running costs.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Ideal Heating Logic 228354 logic system 2 S24 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/06/128803_128806_wm.jpg,Natural Gas,Logic,2,31.1,A,N,A,24 kW,310,,31.1,89.7,Wall Mounted,228354,Boiler,N,"For wall mounted installation<multisep/>Compact design to fit kitchen cupboards<multisep/>Built in the UK<multisep/>Concealed connections under boiler<multisep/>Compatible with easy-fit Halo controls<multisep/>With large, high resolution colour screen<multisep/>ErP A rated for efficiency<multisep/>2 year warranty",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4,P333767,Vaillant ecoFIT pure System 615 boiler,Vaillant,1051.0,"Featuring a reliable and efficient aluminium heat exchanger, the Vaillant ecoFIT pure 615 system boiler offers powerful operation along with an ErP A rating. Easy to install, this compact 15kW boiler is lightweight for ease of handling and will fit effortlessly into a standard kitchen cupboard. Operating quietly wherever it's located, the ecoFIT pure is compatible with a wide variety of heating controls for convenient and intuitive use as part of a smart home system.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Vaillant ecoFIT pure System 615 boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/st/em/Ecofit_Pure_System_wm.jpg,Natural Gas,ecoFIT pure System,2 Year,31 kg,A,N,,15 kW,295,,31,89.8,Wall Hung,333767 PK,System Boiler Pack,N,Compact cupboard-fit,Lightweight,Rear flue option available,"Quiet Mark approved, one of the quietest products in its category",High performance build,Smart controls,Aluminium heat exchanger offers low energy consumption,"Compatible with a full range of heating control options, from simple analogue timers to vSMART smartphone app",2 year warranty,,,,,,,,,,White/Gloss,10,89.1,,,,,,,,,,,
5,P333814,Baxi 600 624 system boiler only pack,Baxi,1077.0,"Install the Baxi 624 system boiler along with an unvented cylinder on a fully pumped sealed system and enjoy the benefits of plentiful hot water even in a larger sized family home. This compact, lightweight boiler is quick and easy to install, even in a cupboard, and with front-access servicing plus a range of features, including a brass hydraulics block and water ingress protection, maintenance is simple as well as cost-effective. The 24kW 624 is ErP A-rated and fully modulating, using only the amount of fuel required to reach a set temperature, meaning the owner can save on costs and reduce their carbon footprint too.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Baxi 600 624 system boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/15/333812_333815_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_600_System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_600_System_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_600_System_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_600_System_Technical.pdf,,,,,
6,P128804,Ideal Heating Logic 228353 logic system 2 S18 (1),Ideal Heating,875.24,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic2 System S18 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 18kW system boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Logic2 System simple while an A rating for efficiency helps to minimise running costs.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Ideal Heating Logic 228353 logic system 2 S18 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/06/128803_128806_wm.jpg,Natural Gas,Logic,2,31.1,A,N,A,18 kW,310,,31.1,89.7,Wall Mounted,228353,Boiler,N,"For wall mounted installation<multisep/>Compact design to fit kitchen cupboards<multisep/>Built in the UK<multisep/>Concealed connections under boiler<multisep/>Compatible with easy-fit Halo controls<multisep/>With large, high resolution colour screen<multisep/>ErP A rated for efficiency<multisep/>2 year warranty",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
7,P128806,Ideal Heating Logic 228355 logic system 2 S30 (1),Ideal Heating,950.66,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic2 System S30 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 30kW system boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Logic2 System simple while an A rating for efficiency helps to minimise running costs.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Ideal Heating Logic 228355 logic system 2 S30 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/06/128803_128806_wm.jpg,Natural Gas,Logic,2,31.1,A,N,A,30 kW,310,,31.1,89.6,Wall Mounted,228355,Boiler,N,"For wall mounted installation<multisep/>Compact design to fit kitchen cupboards<multisep/>Built in the UK<multisep/>Concealed connections under boiler<multisep/>Compatible with easy-fit Halo controls<multisep/>With large, high resolution colour screen<multisep/>ErP A rated for efficiency<multisep/>2 year warranty",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
8,P334026,Ideal Vogue Max 32 system boiler only pack,Ideal,1456.0,"The installer-friendly Ideal Vogue Max 32 condensing system boiler is built in a single piece with a lower than average lift weight for a less stressful fitting job. Attractively designed, with a modern composite casing and concealed controls, this 32kW room-sealed boiler looks great in any space and is easy to use too thanks to a large backlit LCD display. Highly efficient, the Vogue Max is fitted with high quality components for reduced maintenance and a bill-busting ErP A rating.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Ideal Vogue Max 32 system boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/st/em/Ideal Vogue Max System_wm.jpg,Natural Gas,Vogue Max,10 Years,34.3 kg,A,N,A,,330,334026,34.3,93,Wall Hung,334026 PK,Condensing System Boiler,N,Single piece unit for quick wall mounting,Low lift weight,Stylish composite design,Damped opening control cover,Premium components,Full sequence automatic spark ignition,Fan-assisted combustion,Full text support for fault modes,Easy to read pressure gauge,"Simple 3.5"" full colour large backlit LCD display with plain text and graphics",Large rotary control dials,Service timer with telephone number display/service display,Compatible with Ideal controls,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,,,,,,,,,,,
9,P141653,Worcester Bosch Greenstar 4000 GR4700iW 18 S NG system 18kw,Worcester Bosch,1213.0,"Providing excellent levels of efficiency, the Worcester Bosch Greenstar 4000 System GR4700iW 18 S NG system boiler has earned a top-notch ErP A rating, helping homeowners to minimise waste and even save on energy costs. Designed to look good as well as perform reliably, this 18kW wall-mounted condensing system boiler provides ease of servicing for the engineer as well as intuitive operation for the owner.",Boilers/Gas Boilers/Gas System Boilers/Gas System Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 18 S NG system 18kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_18_S_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,
