,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Boiler Bundles,Feature 9,Feature 10,Feature 11,Feature 12
0,P146438,Vaillant ecoTEC pro 28 LPG combination boiler LPG,Vaillant,1508.5,"Ideal for off-gas homes, the Vaillant ecoTEC pro 28 LPG combi boiler has an ErP A rating for its high efficiency driven by a fully modulating low NOx burner. Simple in design, this 28kW combi comes is fitted with a push-fit flue system and compact dimensions for quicker than ever installation while removable side panels make servicing and maintenance easy. Inbuilt frost protection keeps the ecoTec pro economical and efficient no matter the weather while the aquaCOMFORT warm start feature delivers hot water without delay. Compatible with Vaillant's eco-friendly aroTHERM air-to-water heat pump hybrid system and a wide range of thermostats and accessories, this boiler can form part of a personalised system designed to suit the customer's lifestyle.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Vaillant ecoTEC pro 28 LPG combination boiler LPG,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/38/146436_146438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC_pro_Spare_Parts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_ecoTEC_pro_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/146438_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_pro_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Vaillant_Heat_Exchanger_Maintenance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_ecoTEC_pro_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P153793,Baxi Combi 2 430 LPG boiler 30kW,Baxi,547.3,"Suitable for natural gas and ready to run on 20% hydrogen, the wall-mounted Baxi 400 Series 2 30kW boiler is a highly efficient option for any home. Neat and compact, this combi is suitable for installation inside a cupboard and weighs less than 30kg, making installation easier for the engineer. The Series 2 is supplied with a hanging bracket, meaning that fitting won't require extra parts or create unnecessary mess.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Baxi Combi 2 430 LPG boiler 30kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/93/153793_wm.jpg,,,,,,,,11.9L/Min @ 35 Deg C Rise,LPG,Combi 2,5 Year,29kg,A,N,A,30 kW,285,93,Wall Mounted,7790617,Combi Boiler,N,Brass hydraulics,Compact cupboard fit,Stainless steel heat exchanger,Easy wiring for simpler installation,20% hydrogen/gas mix ready,With rigid filling tank,A-rated efficiency,5 year warranty,,,,,
2,P333006,Baxi 600 624 LPG combi boiler only pack,Baxi,914.0,"Built right here in the UK, the Baxi 624 LPG Combi boiler is a compact unit supplying powerfully reliable heating. Suitable for installation inside a kitchen cupboard, the pipes and hydraulics of this boiler are neatly built into its smart modern casing, making it easy to handle and simple to fit, even in challenging spaces. Compatible with a range of smart controls, including the Baxi uSense, the 24kW LPG Combi helps to improve home efficiency for an ErP A rating.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Baxi 600 624 LPG combi boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/37/114235_114237_wm.jpg,,,,,,,,"12 L/min @ 30°C, 10.2 L/min @ 35°C",LPG,600,7 Years,29.2 kg,A,N,A,,285,93,Wall Hung,333006 PK,High Efficiency Condensing Combi Boiler Pack,N,Built in the UK using quality brass components,Fits inside a standard 290mm deep kitchen cupboard,Simple hanging bracket,Pipes behind facility within the boiler casing,Top central flue,EasyFill for engineer-free system top-up,OpenTherm interface,Compatible with Baxi uSense,333006,"DHW flow rate 12LPM at 30°C, 10.2LPM at 35°C",7 year warranty,,
3,P113028,Worcester Bosch Greenstar GR2301IW combi boiler LPG 25kW,Worcester Bosch,1057.65,"Ideal for small-to-medium properties with just one bathroom, the Worcester Bosch Greenstar GR2301IW LPG combi boiler offers reliable performance and ErP A-rated efficiency in one compact, easy to install package. Capable of modulating down to 3kW, the LPG-compatible 25kW Greenstar 2000 helps homeowners to reduce their gas consumption while operating at noise levels as low as 47dB(A), earning it Quiet Mark accreditation. For additional flexibility, this boiler is fully compatible with Worcester's range of RF wireless controls as well as third party 230V controls.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar GR2301IW combi boiler LPG 25kW,,"Hardware pack, hanging braket, isolation valves",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/28/113028_wm.jpg,,,,,,,,10,LPG,Greenstar,7,36 kg,A,N,A,24 kW,300,89.4,Wall,7736902328,Combi Boiler,N,LPG compatible,Wall-mounted installation,Inline hydraulic and gas connections for ease of installation,With pre-wired mains cable,PRV positioned for a variety of pipe routing options,Offers 94% ErP efficiency,With 1:10 modulation range,Minimises gas consumption when demand is low,,Rear piping accessories available for flexible installation,Wide range of control options,Compatible with Worcester wireless RF controls and all 230V controls,7 year warranty when installed with system filter
4,P153788,Baxi Combi 2 224 LPG boiler 24kW,Baxi,562.69,"Suitable for natural gas and ready to run on 20% hydrogen, the wall-mounted Baxi 200 Series 2 24kW boiler is a highly efficient option for any home. Neat and compact, this combi is suitable for installation inside a cupboard and weighs less than 30kg, making installation easier for the engineer. The Series 2 is supplied with a hanging bracket, meaning that fitting won't require extra parts or create unnecessary mess.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Baxi Combi 2 224 LPG boiler 24kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/88/153788_wm.jpg,,,,,,,,9.8L/Min @ 35 Deg C Rise,LPG,Combi 2,2 Year,26.5 kg,A,N,A,24 kW,285,93,Wall Mounted,7804263,Combi Boiler,N,With composite hydraulics,Compact cupboard fit,Stainless steel heat exchanger,Easy wiring for simple installation,20% hydrogen/gas mix ready,A-rated efficiency,2 year warranty,,N/A,,,,
5,P333995,Worcester Bosch Greenstar 8000 Life GR8300iW 30 C LPG combi boiler pack 30kW White,Worcester Bosch,1410.0,"A worthy successor to the perennially popular CDi Classic, with all the same connections for ease of replacement, the Worcester Bosch Greenstar 8000 Life GR8300iW 30 C LPG combi boiler pack is just as reliable while also offering simplified installation, service and maintenance. Lightweight and easy to use, this ErP A-rated 30kW combi is fitted with an intuitive LCD display and offers the option for wireless smart operation using the Bosch EasyControl. Compatible with the state of the art Greenstar Intelligent Filling System, the efficient 8000 Life makes heating a home effortless.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 30 C LPG combi boiler pack 30kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,,,,,,,,11 L/min @ 40°C,LPG,Greenstar 8000 Life,8 years,47 kg,A,N,A,,365,94,Wall Hung,333995 PK,Condensing Combi Boiler Pack,N,Design-led,"Easier installation, servicing and maintenance",Reduced lift weight compared to the CDi Classic,Simple switch from CDi Classic with same fixing points and connections,Full colour LCD text boiler control with push buttons,Recognisable diagnostic codes for easier fault-finding,Compatible with Greenstar Intelligent Filling System,Full wireless connectivity with the Bosch EasyControl,333995,DHW flow rate 11LPM at 40°C,8 year warranty,,
6,P449379,Morco GB24 IV combi boiler 24kW,Morco,1201.15,"Designed for installation in a holiday home type property, the efficient wall-mounted Morco GB24 IV combi boiler is suitable for use with LPG for high levels of efficiency and reduced environmental impact. Installed and commissioned in the same way as the brand's GB24-LPG SIII, using the PKZ connection kit, for familiarity and ease, this 24kW boiler offers flexible flue options, ensuring it suits most properties.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Morco GB24 IV combi boiler 24kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/79/449379_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Morco_GB24 & GB30- Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P333992,Worcester Bosch Greenstar 8000 Life GR8300iW 45 C LPG combi boiler pack 45kW White,Worcester Bosch,2049.0,"A worthy successor to the perennially popular CDi Classic, with all the same connections for ease of replacement, the Worcester Bosch Greenstar 8000 Life GR8300iW 45 C LPG combi boiler pack is just as reliable while also offering simplified installation, service and maintenance. Lightweight and easy to use, this ErP A-rated 45kW combi is fitted with an intuitive LCD display and offers the option for wireless smart operation using the Bosch EasyControl. Compatible with the state of the art Greenstar Intelligent Filling System, the efficient 8000 Life makes heating a home effortless.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 45 C LPG combi boiler pack 45kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,,,,,,,,15 L/min @ 40°C,LPG,Greenstar 8000 Life,8 years,49kg,A,N,A,,365,94,Wall Hung,333992 PK,Condensing Combi Boiler Pack,N,Design-led,"Easier installation, servicing and maintenance",Reduced lift weight compared to the CDi Classic,Simple switch from CDi Classic with same fixing points and connections,Full colour LCD text boiler control with push buttons,Recognisable diagnostic codes for easier fault-finding,Compatible with Greenstar Intelligent Filling System,Full wireless connectivity with the Bosch EasyControl,333992,DHW flow rate 15LPM at 40°C,8 year warranty,,
8,P109106,Glow-worm Compact 28C-AS/1 (P-GB) lpg boiler 28c-as/1 p-gb,Glow-worm,566.25,"Compact and lightweight, the Glow-worm Compact 28C-AS/1 (P-GB) LPG combi boiler is fast and effortless to fit, even inside a kitchen cupboard, making it especially popular with engineers. ErP A-rated, this wall-mounted 28kW combi boiler offers excellent reliability and cost-saving efficiency through use of a robust and modern stainless steel heat exchanger.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Glow-worm Compact 28C-AS/1 (P-GB) lpg boiler 28c-as/1 p-gb,,"Gas-fired wall-hung boilerBag containing valves for gas, heating and domestic hot waterDrain spigot of the expansion relief valve2x bag with small partsCondensate discharge hoseEnclosed documentation",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/06/NW-109105_109106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Compact_24c_28c_O_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow_worm_Compact_24c_28c_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P112915,Worcester Bosch Greenstar CDi Compact 28CDi LPG compact ErP combi LPG boiler,Worcester Bosch,1180.03,"Designed for medium sized homes of up to three bedrooms and two bathrooms, the Worcester Bosch Greenstar 28CDi LPG Compact condensing boiler has a clear display and intelligent controls, pre-heat and eco modes and the innovative WB7 heat exchanger inside so it's affordable to run and maintain. With a compact footprint, this 28kW condensing boiler fits a standard kitchen cupboard with ease and with the use of a lift weight optimised split jig design is hassle-free to install. Producing hot water on demand, the low consumption Greenstar has an energy efficient ErP A rating, which can be upped to A+ when connected to the Bosch EasyControl smart thermostat.",Boilers/LPG Boilers/ LPG Combi Boilers/ LPG Combi Boilers.csv -> Worcester Bosch Greenstar CDi Compact 28CDi LPG compact ErP combi LPG boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/19/112914_112919_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Bosch_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_CDi_Compact_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_CDi_Compact_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/W_B_Greenstar_28CDi_Compact_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/W_B_Greenstar_28CDi_Compact_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
