,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Depth (mm),Dry Weight (kg),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Attachment 6
0,P141654,Worcester Bosch Greenstar 4000 GR4700iW 18 S LPG system lpg 18kw,Worcester Bosch,1295.0,"Providing excellent levels of efficiency, the Worcester Bosch Greenstar 4000 System GR4700iW 18 S LPG system boiler has earned a top-notch ErP A rating, helping homeowners to minimise waste and even save on energy costs. Designed to look good as well as perform reliably, this 18kW wall-mounted condensing system boiler provides ease of servicing for the engineer as well as intuitive operation for the owner.",Boilers/LPG Boilers/LPG System Boilers/LPG System Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 18 S LPG system lpg 18kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P112955,Worcester Bosch Greenstar i Compact 30i LPG system ErP LPG boiler,Worcester Bosch,1466.67,"The Worcester Bosch Greenstar 30i ErP LPG system boiler is an ultra-modern compact and lightweight boiler designed to maximise available space in homes of just about any size. Highly reliable and extremely durable, this ErP A-rated boiler incorporates a low energy pump for reduced electrical requirements and a simple, clear display and controls for error-free operation. Compatible with a range of Worcester controls and the brand's Greenskies solar panels, the Greenstar is suitable for use as part of an advanced eco-friendly heating system.",Boilers/LPG Boilers/LPG System Boilers/LPG System Boilers.csv -> Worcester Bosch Greenstar i Compact 30i LPG system ErP LPG boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/55/112952_112955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Gas_Consumer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/112955_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/112955_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_27-30i_System_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar27-30iSystm_Instruction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P141658,Worcester Bosch Greenstar 4000 GR4700iW 24 S LPG system lpg 24kw,Worcester Bosch,1407.0,"Providing excellent levels of efficiency, the Worcester Bosch Greenstar 4000 System GR4700iW 24 S LPG system boiler has earned a top-notch ErP A rating, helping homeowners to minimise waste and even save on energy costs. Designed to look good as well as perform reliably, this 24kW wall-mounted condensing system boiler provides ease of servicing for the engineer as well as intuitive operation for the owner.",Boilers/LPG Boilers/LPG System Boilers/LPG System Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 24 S LPG system lpg 24kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P112931,Worcester Bosch Greenstar Ri Compact ErP 30Ri LPG ErP regular LPG boiler,Worcester Bosch,1358.32,"A compact, wall-mounted boiler ideal for small and medium homes, the Worcester Bosch Greenstar 30Ri ErP LPG regular boiler is straightforward to install and user-friendly, controlled by a intuitive display and simple knob system. Featuring a groundbreaking new heat exchanger, this ErP A-rated boiler promises greater than ever efficiency, improved reliability and enhanced durability. The Greenstar is compatible with a wide range of controls as well as Greenskies solar panels and high efficiency Greenstore water cylinders, giving homeowners the option to build the system that best suits their needs.",Boilers/LPG Boilers/LPG System Boilers/LPG System Boilers.csv -> Worcester Bosch Greenstar Ri Compact ErP 30Ri LPG ErP regular LPG boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/31/112928_112931_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Gas_Consumer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_27-30Ri_Regular_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/WB_Greenstar_Ri_Compact_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/112931_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P333997,Worcester Bosch Greenstar 8000 Life GR8300iW 30 S LPG system boiler pack 30kW White,Worcester Bosch,1489.0,"An impressive follow-up to the always popular Greenstar CDi Classic, the new and improved Worcester Bosch Greenstar 8000 Life GR8300iW 30 S LPG condensing system boiler offers a cutting edge modern design and improved installation thanks to handy features like pre-wired and pre-plumbed components. Compatible with solar, this 30kW digital boiler is fitted with a low energy modulating pump and with frost protection built in, ensuring ErP A-rated efficiency along with lower energy bills and less waste.",Boilers/LPG Boilers/LPG System Boilers/LPG System Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 30 S LPG system boiler pack 30kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,,,,,,LPG,Greenstar 8000 Life,8 years,46 kg,A,N,365,46,94,Wall Hung,333997 PK,Condensing System Boiler Pack,N,Pre-wired and pre-plumbed,Galvanised steel inner frame,Low energy modulating pump,Digital control system,Automatic ignition,Direct burner ignition electrodes,Requires a cylinder for storing hot water,Majority of components are built into the boiler for faster installation,Built-in frost protection,Built-in fault-finding diagnostics,Automatic gas valve,Modulating combustion air fan with speed regulator,CH temperature sensor and control,Pump anti-seizure protection,Flue gas temperature sensor,Condensate siphonic trap,Compatible with solar water heating systems,8 year warranty,
5,P333983,Worcester Bosch Greenstar 8000 Style GR8700iW 30 S LPG system boiler pack 30kW White,Worcester Bosch,1488.0,"User-friendly and easy to install, the Worcester Bosch Greenstar 8000 Style GR8700iW 30 S LPG system boiler is the new and improved take on the always popular Greenstar CDi Classic. Quieter than its predecessor, this 30kW boiler offers easy commissioning and servicing as well as operation via a straightforward touchscreen. Suitable for use with Worcester Bosch's cutting edge Intelligent Filling System, the ErP A-rated Greenstar 8000 Style makes heating a home simpler and more efficient.",Boilers/LPG Boilers/LPG System Boilers/LPG System Boilers.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 30 S LPG system boiler pack 30kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Style_White_wm.jpg,,,,,,LPG,Greenstar 8000 Style,8 years,46 kg,A,N,365,46,94,Wall Hung,333983 PK,System Boiler Pack,N,Improved installation and servicing,Easy replacement for CDi Classic with same fixing points and connections,Simple commissioning procedure with all the information to complete the Benchmark Checklist quickly,Design-led product aesthetics for contemporary homes,Quiet combustion chamber design,"Rapid diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Innovative and intuitive full colour text touchscreen boiler control display,Compatible with cutting edge Greenstar Intelligent Filling System,8 year guarantee,,,,,,,,,,
6,P333996,Worcester Bosch Greenstar 8000 Life GR8300iW 35 S LPG system boiler pack 35kW White,Worcester Bosch,1654.0,"An impressive follow-up to the always popular Greenstar CDi Classic, the new and improved Worcester Bosch Greenstar 8000 Life GR8300iW 35 S LPG condensing system boiler offers a cutting edge modern design and improved installation thanks to handy features like pre-wired and pre-plumbed components. Compatible with solar, this 35kW digital boiler is fitted with a low energy modulating pump and with frost protection built in, ensuring ErP A-rated efficiency along with lower energy bills and less waste.",Boilers/LPG Boilers/LPG System Boilers/LPG System Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 35 S LPG system boiler pack 35kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,,,,,,LPG,Greenstar 8000 Life,8 years,46 kg,A,N,365,46,94,Wall Hung,333996 PK,Condensing System Boiler Pack,N,Pre-wired and pre-plumbed,Galvanised steel inner frame,Low energy modulating pump,Digital control system,Automatic ignition,Direct burner ignition electrodes,Requires a cylinder for storing hot water,Majority of components are built into the boiler for faster installation,Built-in frost protection,Built-in fault-finding diagnostics,Automatic gas valve,Modulating combustion air fan with speed regulator,CH temperature sensor and control,Pump anti-seizure protection,Flue gas temperature sensor,Condensate siphonic trap,Compatible with solar water heating systems,8 year warranty,
7,P333980,Worcester Bosch Greenstar 8000 Style GR8700iW 35 SB LPG system boiler pack 35kW Black,Worcester Bosch,1633.0,"User-friendly and easy to install, the stylish black Worcester Bosch Greenstar 8000 Style GR8700iW 35 SB LPG system boiler is the new and improved take on the always popular Greenstar CDi Classic. Quieter than its predecessor, this 35kW boiler offers easy commissioning and servicing as well as operation via a straightforward touchscreen. Suitable for use with Worcester Bosch's cutting edge Intelligent Filling System, the ErP A-rated Greenstar 8000 Style makes heating a home simpler and more efficient.",Boilers/LPG Boilers/LPG System Boilers/LPG System Boilers.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 35 SB LPG system boiler pack 35kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/la/ck/WB_G_Style_Black_wm.jpg,,,,,,LPG,Greenstar 8000 Style,8 years,46 kg,A,N,365,46,94,Wall Hung,333980 PK,System Boiler Pack,N,Improved installation and servicing,Easy replacement for CDi Classic with same fixing points and connections,Simple commissioning procedure with all the information to complete the Benchmark Checklist quickly,Design-led product aesthetics for contemporary homes,Quiet combustion chamber design,"Rapid diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Innovative and intuitive full colour text touchscreen boiler control display,Compatible with cutting edge Greenstar Intelligent Filling System,8 year guarantee,,,,,,,,,,
8,P141656,Worcester Bosch Greenstar 4000 GR4700iW 21 S LPG system lpg 21kw,Worcester Bosch,1369.0,"Providing excellent levels of efficiency, the Worcester Bosch Greenstar 4000 System GR4700iW 21 S LPG system boiler has earned a top-notch ErP A rating, helping homeowners to minimise waste and even save on energy costs. Designed to look good as well as perform reliably, this 21kW wall-mounted condensing system boiler provides ease of servicing for the engineer as well as intuitive operation for the owner.",Boilers/LPG Boilers/LPG System Boilers/LPG System Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 21 S LPG system lpg 21kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P112953,Worcester Bosch Greenstar i Compact 27i LPG system ErP LPG boiler,Worcester Bosch,1426.28,"The Worcester Bosch Greenstar 27i ErP LPG system boiler is an ultra-modern compact and lightweight boiler designed to maximise available space in homes of just about any size. Highly reliable and extremely durable, this ErP A-rated boiler incorporates a low energy pump for reduced electrical requirements and a simple, clear display and controls for error-free operation. Compatible with a range of Worcester controls and the brand's Greenskies solar panels, the Greenstar is suitable for use as part of an advanced eco-friendly heating system.",Boilers/LPG Boilers/LPG System Boilers/LPG System Boilers.csv -> Worcester Bosch Greenstar i Compact 27i LPG system ErP LPG boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/55/112952_112955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Gas_Consumer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_27-30i_System_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/112953_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar27-30iSystm_Instruction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
