,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Weight,Hazardous,Range For Use With,Model For Use With,Boiler Section,Boiler Range,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Fuel Type,Part Gas Council number,Range
0,P333679,Vaillant Roof Terminal 60/100 Black,Vaillant,128.0,"Vaillant has produced boilers for commercial and domestic environments for more than 140 years. The company is renowned for designing and developing heating and hot water systems that provide optimal levels of comfort and high energy efficiency, helping consumers to reduce the cost of their energy bills. Some of its innovative boilers have won awards. As well as manufacturing boilers, Vaillant is also committed to renewable heating technologies.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Roof Terminal 60/100 Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/79/333679_wm.jpg,White,3.38000,N,ecoTEC,627835843825832835838938612615618624630637242830,Flue,ecoTEC,Roof terminal black (wall plate),333679 PK,Roof Terminal,N,The vaillant vertical flue kit is for use when installing an ecotec he boiler where the flue needs to be taken up and out through a flat or pitched roof,Flue extensions will need to be added between the boiler and the point at which the flue terminal is placed,,,,,,,,,
1,P333778,Vaillant standard horizontal flue,Vaillant,98.0,"This Vaillant standard horizontal flue connects to the top of a boiler and travels through the wall of a property horizontally. It is compatible with Vaillant ecoTEC Exclusive combi, ecoTEC Plus combi, ecoTEC Pro combi, ecoTEC Plus regular (open-vented) and ecoTEC Plus system boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant standard horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/78/NW-333778_wm.jpg,White,1.91Kg,N,,Vaillant Ecotec Boilers,Flue,ecoTEC plusecoTEC pro,,333778 PK,Standard Horizontal Flue,N,Compatible with the following ecoTEC boiler models:,Vaillant ecoTEC exclusive combi,ecoTEC plus combi,ecoTEC pro combi,Vaillant ecoTEC plus regular (open vented),Vaillant ecoTEC plus system,,,,,
2,P127154,Vaillant Ecomax II flue extension kit 970mm,Vaillant,67.74,A 1 metre (970mm) flue extension for Vaillant Ecotec boiler installations. 100mm Diameter. This extension is suitable for current installations of Vaillant Ecotec and Ecotec Plus boilers.#,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax II flue extension kit 970mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/54/127154_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoMax_Air_Flue_Install.pdf,,,
3,P127107,Vaillant flue extension kit 980mm,Vaillant,46.86,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant flue extension kit 980mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/07/127107_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_turboMAX_Air_Flue_Install.pdf,,,
4,P127173,Vaillant Ecomax flue extension kit 970 x 125 mm,Vaillant,86.83,Suitable for use with all Vaillant Domestic boilers,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax flue extension kit 970 x 125 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/73/127173_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoMax_Air_Flue_Install.pdf,,,
5,P127157,Vaillant Ecomax II 45 deg bend (Pair),Vaillant,101.44,Optional flue accessory designed for Vaillant EcoTec high condensing boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax II 45 deg bend (Pair),,2x 45° bend,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/57/127157_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Install.pdf,,,
6,P127176,Vaillant Ecomax 45deg bend 125mm,Vaillant,143.63,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax 45deg bend 125mm,,2x 45° bendPipe clamp,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/76/127176_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Install.pdf,,,
7,P127156,Vaillant Ecomax II 90 deg elbow,Vaillant,57.09,100mm diameter suitable for installation with the latest Vaillant Ecotec boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Ecomax II 90 deg elbow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/56/127156_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_EcoTEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoTec_Air_Flue_Install.pdf,,,
8,P127869,Vaillant Roof Terminal 60/100 Black,Vaillant,156.13,This easy to install Vaillant vertical flue kit is designed for the safe expulsion of steam and gases produced during boiler operation. It allows for the flexible siting of a boiler where the flue is required to exit the property through a roof rather than a wall.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant Roof Terminal 60/100 Black,,Vertical roof ductFixing bracket48mm air pipe collarCover plate,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/69/127869_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_Air-FlueGasSystems_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/il/er/Vaillant_Specification_Boiler.pdf,,,
9,P475147,Vaillant flue collector cap,Vaillant,119.55,"A Vaillant part, this flue collector cap is compatible with ecoMAX VU (condensing), ecoMAX VUW (condensing), ecoTEC VU (condensing) and ecoTEC VUW (condensing) boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vaillant Flues/Vaillant Flues.csv -> Vaillant flue collector cap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/47/475147_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC_exclsv_832838_Parts.pdf,,,,
