,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Range,Model For Use With,Part Gas Council number,Feature 2,Feature 3,Attachment 1,Attachment 2,Range For Use With,Weight
0,P333739,Vokera Fixed Length Horizontal Flue Kit,Vokera,82.0,Vokèra offers a wide range of flue systems that are able to meet most applications; these include 60/100mm and 80/125mm diameter concentric flue systems and a 80/80mm parallel (twin) flue system that can be used in either horizontal or vertical configurations.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vokera Flues/Vokera Flues.csv -> Vokera Fixed Length Horizontal Flue Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/33/126833_wm.jpg,White,N,Flue,CompactEasi-Heat PlusExcelVisionVision Plus,333739 PK,Horizontal Flue Kit,N,Compatible with Vokera HE domestic boiler ranges,,,,,,,,,
1,P127826,Vokera SE horizontal flue terminal,Vokera,113.28,"This Vokera flue terminal is suitable for Linea, Option, Compact, Aquanova and EasiFlo units.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vokera Flues/Vokera Flues.csv -> Vokera SE horizontal flue terminal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/26/127826_wm.jpg,,N,Flue,"Linea, Option, Compact, Aquanova, EasiFlo",20163408,Flue Terminal,N,Brass construction,Se,"24, 28, 24, 24, 28",n/a,Suitable for wide variety of applications,Male thread to ISO 71 BS 21 DIN 2999,,,,
2,P333888,Vokera Excel standard horizontal flue pack,Vokera,70.0,Vokera offer a wide range of flue systems that are able to meet the majority of applications. There are concentric flue systems and a parallel (twin) flue system that can be used in either horizontal or vertical configurations. All Vokera flue systems incorporate push-fit connections that are designed to enable a fast and simple method of installation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vokera Flues/Vokera Flues.csv -> Vokera Excel standard horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/73/127273_wm.jpg,White/Satin,N,Flue,CompactEasi-Heat PlusExcelVisionVision Plus,333888 PK,Flue Pack,N,Compatible with Vokera HE domestic boiler ranges,Excel,,,,,,,,
3,P127849,Vokera Evolve XV vertical flue kit 60/100mm,Vokera,164.49,This Vokera Evolve 60/100mm vertical flue terminal XV enables the effective expulsion of steam and gases produced during normal combi boiler operation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vokera Flues/Vokera Flues.csv -> Vokera Evolve XV vertical flue kit 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/_1/127849.1_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/78/49/127849.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vokera_Evolve_Brochure.pdf,,
4,P127272,Vokera Fixed Length Horizontal Flue Kit,Vokera,102.28,Vokèra offers a wide range of flue systems that are able to meet most applications; these include 60/100mm and 80/125mm diameter concentric flue systems and a 80/80mm parallel (twin) flue system that can be used in either horizontal or vertical configurations.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vokera Flues/Vokera Flues.csv -> Vokera Fixed Length Horizontal Flue Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/72/127272_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/06/19/Vokera_Product_Guide_ED3_0619.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Easi-Heat_Plus_C_Installation.pdf,,
5,P333735,Vokera Vison Plus / Evolve telescopic horizontal flue kit 60-100mm,Vokera,85.0,"This Vokera Evolve/Vision Plus 60 - 100mm telescopic horizontal flue kit is compatible with a variety of Vokera boilers. Designed for ease of installation, this flue safely and effectively removes gas and steam from a property during boiler operation.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vokera Flues/Vokera Flues.csv -> Vokera Vison Plus / Evolve telescopic horizontal flue kit 60-100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/48/127848_wm.jpg,White,N,Flue,EvolveVision Plus,333735 PK,Horizontal Flue Kit,N,Suitable for HE domestic boilers,Vison Plus / Evolve,,,"Compatible with Excel i, Unica Max and Vision Plus units",Telescopic design for flexible installation,,,Evolve,
6,P333887,Vokera Vison Plus / Evolve standard horizontal flue,Vokera,70.0,This Vokera Evolve/Vision Plus standard horizontal flue pack safely and effectively removes gas and steam from a property during boiler operation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vokera Flues/Vokera Flues.csv -> Vokera Vison Plus / Evolve standard horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/47/127847_wm.jpg,,N,Flue,Evolve,333887 PK,Flue Pack,N,Compatible with Evolve and Vision Plus units,Vison Plus / Evolve,,,For horizontal installation,,,,,1 kg
7,P127847,Vokera Evolve standard horizontal flue kit 60/100mm,Vokera,104.41,"A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vokera Flues/Vokera Flues.csv -> Vokera Evolve standard horizontal flue kit 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/47/127847_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vokera_Vision_Plus_Combi_Technical.pdf,,,
8,P127273,Vokera telescopic horizontal flue kit 60/100mm,Vokera,98.61,Vokera offer a wide range of flue systems that are able to meet the majority of applications. There are concentric flue systems and a parallel (twin) flue system that can be used in either horizontal or vertical configurations. All Vokera flue systems incorporate push-fit connections that are designed to enable a fast and simple method of installation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vokera Flues/Vokera Flues.csv -> Vokera telescopic horizontal flue kit 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/73/127273_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/06/19/Vokera_Product_Guide_ED3_0619.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Easi-Heat_Plus_C_Installation.pdf,,
9,P333736,Vokera Vison Plus / Evolve XV vertical flue kit 60-100mm,Vokera,109.0,"Helping to make boiler fitting easier and more flexible, this Vokera XV 60 - 100mm vertical flue kit is compatible with Evolve and Vision Plus boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Vokera Flues/Vokera Flues.csv -> Vokera Vison Plus / Evolve XV vertical flue kit 60-100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/49/127849_wm.jpg,White,N,Flue,EvolveVision Plus,333736 PK,Vertical Flue Kit,N,Roof flashing available separately,Vison Plus / Evolve,,,Part of a wide range of flue systems incorporating vertical and horizontal options,"Range incorporates 60/100mm and 80/125mm concentric flue systems and an 80/80mm parallel, or twin, system",,,Evolve,
