,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Colour,Diameter,Fuel Type,Weight,Feature 1,Feature 2,Feature 3,Feature 4,Warranty,Depth (mm),Range For Use With,Flue Type,Flue Diameter,Flue Length,Flue Size,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Range,Attachment 6,Attachment 7,Boiler Bundles,Part Gas Council number,By Model Number,For Use With,Feature 11
0,P100851,Worcester Bosch 7716191083 Flue Extension 1M - 60/100 mm,Worcester Bosch,54.49,Plume Management 1000mm extension for where the standard flue is not long enough.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch 7716191083 Flue Extension 1M - 60/100 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/51/100851_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_Horizontal_Flue_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_Gstar_FS_CDI_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P100854,Worcester 7716191085 45 Degree Flue Bend 60/100 mm (Pair),Worcester,79.0,The Worcester 60/100mm 45 degree Flue Elbow Bend is compatible with all Greenstar boiler installations.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester 7716191085 45 Degree Flue Bend 60/100 mm (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/54/100854_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_Horizontal_Flue_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_Gstar_FS_CDI_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P100850,Worcester Bosch 100Mm Telescopic Horiz Flue Kit,Worcester Bosch,90.83,The Worcester 100mm Telescopic Horizontal Flue Kit performs an invaluable job in taking gases from your boiler outside of your property and is compatible with all wall mounted Worcester Greenstar boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch 100Mm Telescopic Horiz Flue Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/50/100850_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_WM_Gas_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_60-100mm_RS_Horiz_Flue_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P100801,Worcester Bosch Greenstar Gstar He Ii Vertical Flue Kit,Worcester Bosch,109.12,Worcester Greenstar gas-fired boiler range has a full suite of Condensfit II™ flue options in both 60/100mm and 80/125mm diameters.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch Greenstar Gstar He Ii Vertical Flue Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/01/100801_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_WM_Gas_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_60-100mm_Vertical_Flue_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Boiler_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P106146,Worcester Greenstar 7716192610 Keyless Filling Link,Worcester,30.26,"WRAS-approved and compatible with the Greenstar CDi ErP, this Worcester Bosch keyless filling link makes re-pressurising a heating system easy, reducing the cost of engineer callouts. With easy lever operation, this filling link means that there's no need for a key or hose, loose items that can be easily misplaced.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Greenstar 7716192610 Keyless Filling Link,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/46/106146_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Bosch_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/106146_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/61/46/106146.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P403302,Worcester 8716121817 Electrode Set,Worcester,42.99,Need Worcester Bosch boiler electrodes? Order the 8716121817 variant set of Worcester ignition electrodes from Wolseley today. Free delivery for trade accounts.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester 8716121817 Electrode Set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/403302_wm.jpg,,,,,,N,RD542I Nat GasRD 532I Nat GasRD5371 Nat GasRD 532 Nat GasRD 430I Nat GasGreenstar 35 HE PlusRD 428430I GreenstarGreenstar ErP Highflow 440 CDiHighflow 440 CDi LPGHighflow 550 CDiHighflow 550 CDi LPGGreenstar 25 CDi25HE27CDi25 CDi LPG27 CDi LPG28 HE Syste,Gas Assembly,GreenstarGreenstar ErP HighflowGreenstar HE PlusGreenstar CDi,8716121817,Electrode Set,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P100840,Worcester Bosch 7716191086 Plume Management Kit,Worcester Bosch,82.25,The Plume Management Kit makes it easy to control the direction of the waste liquids & gases (plume) after they have been removed from the property via the flue.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch 7716191086 Plume Management Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/40/100840_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_WM-Gas-System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_60_100_mm_Horiz_Flue_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P408402,Worcester Bosch 87161143890 flue sampling tube kit,Worcester Bosch,1.98,"This Worcester Bosch flue sampling tube kit is suitable for use with Greenstar I, Greenstar Ri and Greenstar Junior boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch 87161143890 flue sampling tube kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/02/408402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/WB_Greenstar24-28I_Junior_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P100767,Worcester Bosch Greenstar Oilfit standard telescopic flue 80/125mm,Worcester Bosch,214.87,"Greenstar Oilfit range – the easy-fit fluing solution.  Multiple fluing options with the ability to flue internal floor standing boilers from the top, rear or side and external boilers from the rear and side.  The Oilfit range is quick-to-install thanks to its push-fit connection and forms a gas-tight seal. In most cases, it will also eliminate the need to cut the flue.  The Greenstar Oilfit range provide an easy-fit installation that requires no special tools when fitting flue extensions, elbows and adaptors.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch Greenstar Oilfit standard telescopic flue 80/125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/67/100766_100767_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Oilfit_Flue_RS_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P100844,Worcester Bosch plume flat flashing kit,Worcester Bosch,52.74,"This Worcester Bosch flat roof flashing kit is designed to be used alongside a flue kit to help extend the flue run at any point between adapter and flue terminal assembly. Compatible with Greenstar boilers, this flashing kit allows for a neater finish where the flue exits the property.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Worcester Flues/Worcester Flues.csv -> Worcester Bosch plume flat flashing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/44/100844_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Worcester_Bosch_Gas_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
