,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Sector,Feature 6,Attachment 1,Attachment 2,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Weight
0,PJ23586,Armitage Shanks Contour 21+ doc M back to wall left handed rails Stainless Steel,Armitage Shanks,1794.33,"Doc M Contour 21+ back to wall left hand corner pack, rimless WC pan, water saving delay fill Conceala cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving 4.5 or 6 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M back to wall left handed rails Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/lh/S0685_LH_wm.jpg,Contour 21,N,S0685MY,Back to Wall Left Handed Rails,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,
1,PB79418,Twyford DOC M C/C Value PK Exposed Fixings Blue,Twyford,645.13,"Providing accessible use to a wide range of users, this Twyford Doc M close-coupled value pack in blue contains a variety of items for all-in-one installation. Designed for safety and security, Doc M packs comply with the Building Regulations Approved Document M 2015, concerned with the installation of disabled-friendly facilities.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Twyford DOC M C/C Value PK Exposed Fixings Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/18/B79418_wm.jpg,,N,PK8185BE,,N,With anti-vandal cistern cover clip,Anti-scalding thermostatic safety,For exposed installation,Blue colour,,,,,,,,,,,,,,,,,,
2,P531217,Intatec low level Doc M pack and TMV3 tap Blue,Intatec,791.23,"Supplied with blue hand rails, this Intatec Doc M WC pack helps installers to meet Doc M requirements for accessible bathrooms. Suitable for either left or right handed transfer layout, this WC pack is based around a low-level toilet and TMV3 thermostatic mixer tap.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Intatec low level Doc M pack and TMV3 tap Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/17/531217_wm.jpg,,N,DMX600BL,,N,Low level version,Blue colour,With TMV3 approved mixer,Includes WRAS approved fittings,BS 8300:2009 Doc M compliant,Healthcare;Sport/Fitness;Assisted Living;Education;Hotels/Leisure;Office/Retail/Washrooms,DDA compliant,,,,,,,,,,,,,,,
3,PB97308,Ideal Standard Contour 21 Doc-M close coupled ambulant rails White,Ideal Standard,586.6,"Doc M Contour 21 Ambulant care WC pack with close coupled WC and cistern with spatula lever, grab rails, seat no cover with retaining buffers and white plastic clothes hook",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Ideal Standard Contour 21 Doc-M close coupled ambulant rails White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/08/B97308_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Contour21_Brochure.pdf,,,,,,,,,,,,,,
4,PB79426,Geberit DOC M Rimless Super PK L/H CONC FixNG WH,Geberit,1179.34,"Helping installers to meet Doc M requirements for accessible bathrooms, this Geberit Doc M rimless super pack is designed for left-hand fitting. A complete kit, this white colour all-in-one pack includes a rimless WC and Sola square handrinse basin complete with tap. Also included are grab rails and a toilet seat as well as all necessary fittings for installation.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Geberit DOC M Rimless Super PK L/H CONC FixNG WH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/26/NW-B79426_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_c/rt/Twyford_Doc-M_Rimless_Super_Pack_Crt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_DocM_Rimless_Super_Pack_Tech.pdf,,,,,,,,,,,,,
5,P531222,Intatec wall hung close coupled Doc-M pack White rails and TMV3 tap,Intatec,798.53,"Supporting safe, independent bathrooms use, this Intatec Doc M comprises a close-coupled wall hung WC, TMV3 tap and robust grab rails. This Building Regs compliant bathroom pack is suitable for left or right-handed layouts out of the box.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Intatec wall hung close coupled Doc-M pack White rails and TMV3 tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/22/531222_wm.jpg,,N,DMX601WH,,N,With close-coupled wall mounted WC,Includes blue rails,With TMV3 tap,Complies with Document M of Building Regulations BS 8300:2009,,"Office/Retail/Washrooms,Education,Healthcare,Assisted Living,Hotels/Leisure,Sport/Fitness",,,,,,,,,,,,,,,,
6,PB79428,Geberit DOC M Rimless BtW PK L/H CONC Fixings Gr,Geberit,1229.3,"An all-in-one kit for installing a fully compliant and safe accessible bathroom, this Geberit Doc M bathroom pack is built around the Avalon Rimfree back-to-wall toilet pan and concealed cistern. Also included in this Doc M, WRAS approved and TMV3 compliant bathroom pack is a complete set of grab rails, a basin and a thermostatic basin mixer.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Geberit DOC M Rimless BtW PK L/H CONC Fixings Gr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/B79428_Primary_Image_wm.jpg,,N,PK8257GY,,N,With Avalon 700mm projection BTW Rimfree pan,With 4L single flush lever-operated concealed cistern,With Avalon 50mm WC extension,"Includes seat ring, bar hinge, top fix and stability buffers",With cushioned back support in RAL 7005,,"With Sola 400mm square handrinse basin, no overflow",,,Sola thermostatic basin mixer with fixed spout and copper tails included,With grid waste and wall bolts,With 4x 600mm grab rails,With 450mm grab rail,With hinged support rail and toilet roll holder,Rail fixings included,Rails are powder-coated aluminium,"All rails in grey RAL 7005, luminance value 20",Products and layout details in accordance with Building Regulations Approved Document M 2015,LABC certificate ref: EWS1337C,WRAS approved,TMV3 approved,
7,PB79419,Twyford DOC M C/C Value PK Exposed Fixings WH,Twyford,645.13,"Helping commercial premises to deliver fully accessible bathrooms for their staff or clients, this Twyford Doc M bathroom pack includes a close-coupled toilet and wall hung wash basin. A practical choice for less abled users, this pack reduces barriers to bathroom use with a range of functional items and safety features including thermostatic water delivery for scald-free use.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Twyford DOC M C/C Value PK Exposed Fixings WH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/19/B79419_wm.jpg,,N,PK8185WH,,N,Creates a fully accessible washroom,Anti-vandal cistern cover clip,Anti-scald thermostatic protection,Exposed fixings,Doc M compliant,,,,,,,,,,,,,,,,,
8,PB97406,Armitage Shanks Contour 21+ doc M left hand close coupled rails Grey,Armitage Shanks,1081.08,"Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving delay fill 4.5 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ doc M left hand close coupled rails Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/06/B97406_wm.jpg,Contour 21,N,S0683LJ,Doc-M Pack,N,Right hand option available,,,,,,,,,,,,,,,,,,,,,
9,PB97407,Armitage Shanks Contour 21+ right hand close coupled doc M pack with grey rails,Armitage Shanks,1081.08,"Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving delay fill 4.5 litre cistern.",Commercial Plumbing/Doc M Packs/Doc M Packs.csv -> Armitage Shanks Contour 21+ right hand close coupled doc M pack with grey rails,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/07/B97407_wm.jpg,Contour 21,N,S0684LJ,Doc-M Pack,N,Left hand option available,,,,,,,,,,,,,,,,,,,,,
