,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,PF15122,Center CB straight connector 20mm,Center CB,0.84,"Made of PVC-U, this Center CB 21.5mm straight coupling is part of the brand's solvent weld overflow range designed for secure, reliable joints with a built-to-last professional finish. Offering quick, hassle-free installation, this compact system is ideal for toilet overflows and boiler condensate use.",Drainage/Overflow/Overflow Pipe Fittings/Overflow Connectors/Overflow Connectors.csv -> Center CB straight connector 20mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/22/NW-F15122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,
1,PF41618,"McAlpine R1M multi-fit overflow connector 3/4""",McAlpine,1.78,A McAlpine straight overflow connector with 19/23 x 19/23mm universal connection.,"Drainage/Overflow/Overflow Pipe Fittings/Overflow Connectors/Overflow Connectors.csv -> McAlpine R1M multi-fit overflow connector 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/18/NW-F41618_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41618_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,
2,PF15124,Center CB straight tank connector 20mm CST4,Center CB,1.93,"Made of PVC-U, this Center CB 21.5mm straight tank connector is part of the brand's solvent weld overflow range designed for secure, reliable joints with a built-to-last professional finish. Offering quick, hassle-free installation, this compact system is ideal for toilet overflows and boiler condensate use.",Drainage/Overflow/Overflow Pipe Fittings/Overflow Connectors/Overflow Connectors.csv -> Center CB straight tank connector 20mm CST4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/24/NW-F15124_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,
3,PF68151,Polypipe solvent-weld overflow straight connector 21.5mm White,Polypipe,3.06,"Suitable for domestic use, this Polypipe straight connector is made of white ABS and incorporates 21.5mm solvent weld connections.",Drainage/Overflow/Overflow Pipe Fittings/Overflow Connectors/Overflow Connectors.csv -> Polypipe solvent-weld overflow straight connector 21.5mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/51/NW-F68151_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,
4,PF47591,McAlpine TUN5-CL Tunvalve straight through Clear,McAlpine,13.08,A McAlpine straight through tunvalve with 19/23mm universal connections.,Drainage/Overflow/Overflow Pipe Fittings/Overflow Connectors/Overflow Connectors.csv -> McAlpine TUN5-CL Tunvalve straight through Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/91/F47591_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47591_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,
5,PF47704,McAlpine BOSSCONN-22MM mechanical soil pipe boss connector,McAlpine,11.36,This McAlpine white mechanical soil and rainwater pipe boss connector is designed for use with a 19/23mm pipe.,Drainage/Overflow/Overflow Pipe Fittings/Overflow Connectors/Overflow Connectors.csv -> McAlpine BOSSCONN-22MM mechanical soil pipe boss connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/04/NW-F47704_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47704_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/F47704_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf
6,PF41638,"McAlpine R30 Compressed screened tank overflow connector 3/4""",McAlpine,6.65,"This standard model McAlpine 3/4"" x 3/4"" complete screened tank overflow connector includes a quick release filter and push-fit connections.","Drainage/Overflow/Overflow Pipe Fittings/Overflow Connectors/Overflow Connectors.csv -> McAlpine R30 Compressed screened tank overflow connector 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/38/F41638_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41638_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,
7,PF15126,"Center CB bent tank connector 3/4""",Center CB,1.93,"Made of durable PVC-U, this Center CB 21.5mm bent tank connector is part of the brand's solvent weld overflow range designed for secure, reliable joints with a built-to-last professional finish. Offering quick, hassle-free installation, this compact system is ideal for toilet overflows and boiler condensate use.","Drainage/Overflow/Overflow Pipe Fittings/Overflow Connectors/Overflow Connectors.csv -> Center CB bent tank connector 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/26/NW-F15126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,
8,PF41341,"McAlpine T28M-NRV non-return valve including tee 1.1/2""",McAlpine,15.67,"A McAlpine 1 1/2 x 1 1/2 x 1 1/2"" multifit in-line non-return valve with top access for cleaning.","Drainage/Overflow/Overflow Pipe Fittings/Overflow Connectors/Overflow Connectors.csv -> McAlpine T28M-NRV non-return valve including tee 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/NW-F41341_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41341_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,
9,PF41609,"McAlpine R1M-CO rigid pipe straight connector 3/4"" x 19/22mm",McAlpine,1.81,A McAlpine straight connector with universal push-fit connections for 25mm flexible tube and 19/23mm rigid pipe.,"Drainage/Overflow/Overflow Pipe Fittings/Overflow Connectors/Overflow Connectors.csv -> McAlpine R1M-CO rigid pipe straight connector 3/4"" x 19/22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/09/NW-F41609_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/F41609_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41609_Drawing.pdf
