,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,PQ64455,"Wavin Osma RoundLine stop end extension 4.1/2"" Black",Wavin,5.38,"Ideal for domestic use, this Wavin Osma RoundLine 112mm external stop end is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Guttering and Fittings/Gutter Stop Ends/Gutter Stop Ends.csv -> Wavin Osma RoundLine stop end extension 4.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/55/NW-Q64455_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf
1,PF68587,Polypipe Polyflow deep internal stop end 75mm Black,Polypipe,7.47,"Suitable for domestic use, this Polypipe 117mm push-fit stop end is made of black PVC-U.",Drainage/Rainwater Guttering and Fittings/Gutter Stop Ends/Gutter Stop Ends.csv -> Polypipe Polyflow deep internal stop end 75mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/87/NW-F68587_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Polypipe_Rainwater_System_BBA_Certi.pdf,,,
2,PF59236,Wavin Wavin Osma StormLine Wavin Osma StormLine stopend external right-hand 111mm black,Wavin,9.79,"Designed with a classic ogee shape, this Wavin Osma StormLine 111mm right hand external stop end has push-fit connections for ease of fitting. This component is part of the well-designed StormLine guttering system, designed for roof perimeter or conservatory use.",Drainage/Rainwater Guttering and Fittings/Gutter Stop Ends/Gutter Stop Ends.csv -> Wavin Wavin Osma StormLine Wavin Osma StormLine stopend external right-hand 111mm black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/36/NW-F59236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,,
3,PF14074,Center CB square extension stop end 112mm White,Center CB,5.25,"Center CB square extension stop end is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Guttering and Fittings/Gutter Stop Ends/Gutter Stop Ends.csv -> Center CB square extension stop end 112mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/74/NW-F14074_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,
4,PQ64454,"Wavin Osma RoundLine internal stop end 4.1/2"" Black",Wavin,4.18,"Ideal for domestic use, this Wavin Osma RoundLine 112mm stop end is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Guttering and Fittings/Gutter Stop Ends/Gutter Stop Ends.csv -> Wavin Osma RoundLine internal stop end 4.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/54/NW-Q64454_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf
5,PF67558,Polypipe internal gutter stop end 112mm Black,Polypipe,6.14,"Made of black PVC-U, this Polypipe 112mm half-round stop end is suitable for use in domestic applications. Polypipe's Rainwater systems range offers versatile, well-designed fittings for both residential and light commercial applications.",Drainage/Rainwater Guttering and Fittings/Gutter Stop Ends/Gutter Stop Ends.csv -> Polypipe internal gutter stop end 112mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/58/NW-F67558_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,
6,PF14014,Center CB extension stop end 112mm,Center CB,4.95,"Center CB extension stop is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Guttering and Fittings/Gutter Stop Ends/Gutter Stop Ends.csv -> Center CB extension stop end 112mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/14/NW-F14014_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,
7,PF67957,Polypipe square external stop end 112mm Black,Polypipe,8.79,"Suitable for domestic use, this Polypipe 112mm square external stop end is made of black PVC-U.",Drainage/Rainwater Guttering and Fittings/Gutter Stop Ends/Gutter Stop Ends.csv -> Polypipe square external stop end 112mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/57/NW-F67957_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,
8,PF67241,Polypipe external stop end gutter 112mm White,Polypipe,8.52,"Made of white PVC-U, this Polypipe 112mm half-round stop end is suitable for use in domestic applications. Polypipe's Rainwater systems range offers versatile, well-designed fittings for both residential and light commercial applications.",Drainage/Rainwater Guttering and Fittings/Gutter Stop Ends/Gutter Stop Ends.csv -> Polypipe external stop end gutter 112mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/41/NW-F67241_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,
9,PQ64329,"Wavin Osma SquareLine squareline external stop end 4"" Black",Wavin,6.23,"Ideal for domestic use, this Wavin Osma SquareLine 100mm stop end is made of black PVC-U and offers a neat, modern rectilinear profile.","Drainage/Rainwater Guttering and Fittings/Gutter Stop Ends/Gutter Stop Ends.csv -> Wavin Osma SquareLine squareline external stop end 4"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/29/NW-Q64329_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,
