,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,PF14991,Center CB Air Admittance Valve 40mm White,Center CB,12.25,"Made of white PVC with compression connections, this Center CB 40mm air admittance valve provides free entry of air into sanitary pipework with no risk of foul gas escape. Providing an early indication of potential blockages, this valve also eliminates the risk of losing water from trap seals due to induced siphonage.",Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> Center CB Air Admittance Valve 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/91/NW-F14991_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,
1,PF14992,Center CB Air Admittance Valve 50mm White,Center CB,20.75,"Made of white PVC with compression connections, this Center CB 50mm air admittance valve provides free entry of air into sanitary pipework with no risk of foul gas escape. Providing an early indication of potential blockages, this valve also eliminates the risk of losing water from trap seals due to induced siphonage.",Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> Center CB Air Admittance Valve 50mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/92/NW-F14992_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,
2,PF14994,Center CB Air Admittance Valve 110mm Grey,Center CB,17.25,"Made of grey PVC with solvent weld connections, this Center CB 110mm air admittance valve provides free entry of air into sanitary pipework with no risk of foul gas escape. Providing an early indication of potential blockages, this valve also eliminates the risk of losing water from trap seals due to induced siphonage.",Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> Center CB Air Admittance Valve 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/94/NW-F14994_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,
3,PF49929,McAlpine Mactun tundish 15/22 x 31mm,McAlpine,29.87,"With a silicone membrane seal for reliable use in hard water areas, this McAlpine combined tundish and non-return valve is supplied with 15/22mm x 1 1/4"" compression connections. The self-closing membrane on the Mactun tundish allows discharge to flow before closing to form a seal. This seal stops bad odours and sewer gas from being emitted if installed in a waste or soil pipe.",Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> McAlpine Mactun tundish 15/22 x 31mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/29/NW-F49928_F49929_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Mcalpine_MACTUN_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Mcalpine_MACTUN-2_DWG.pdf,,
4,PF67155,Polypipe solvent air admittance valve 110mm White,Polypipe,136.78,"This Polypipe 110mm white uPVC air admittance valve includes solvent weld connections for fast, simple installation and reliable performance.",Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> Polypipe solvent air admittance valve 110mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/55/NW-F67155_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,,
5,PQ64295,Wavin Wavin Osma Compact air admit valve White,Wavin,147.29,"Suitable for domestic or commercial use, this Wavin Osma Compact 110mm air admittance valve is made of durable white ABS and is fitted with secure spigot connections.",Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> Wavin Wavin Osma Compact air admit valve White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/95/NW-Q64295_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wavin_Osma_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_DoP_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PP_&_PE_MSDS.pdf
6,PF49927,"McAlpine Ventapipe Internal /External with dual-fit synthetic rubber finger seal outlet for 4""/110mm pipe",McAlpine,28.03,"Designed with a dual-fit synthetic rubber finger seal outlet, this McAlpine Ventapipe 110mm internal/external air admittance valve in black is suitable for installation in above ground drainage systems. Ideal for reduced pressure conditions, this valve offers reliable ventilation for a drainage system where venitlating pipes terminate inside a premises.","Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> McAlpine Ventapipe Internal /External with dual-fit synthetic rubber finger seal outlet for 4""/110mm pipe",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/27/F49927_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/McAlpine_Air_Admittance_Valve_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/McAlpine_VP100E_Tech_Drawing.pdf,,
7,PQ97067,Wavin Wavin OsmaSoil domestic air admittance valve 110mm,Wavin,95.65,"Suitable for commercial or domestic use, this Wavin OsmaSoil 110mm air admittance valve is fitted with secure spigot connections. It is made of robust grey ABS for reliably long lasting use.",Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> Wavin Wavin OsmaSoil domestic air admittance valve 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/67/NW-Q97067_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_DoP_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PP_&_PE_MSDS.pdf,
8,PF47800,"McAlpine Ventapipe soil pipe 3"" or 4""",McAlpine,58.72,"This McAlpine Ventapipe 75mm/110mm air admittance valve with dual-fit synthetic rubber finger seal outlet is designed for use in above ground drainage systems. This valve provides ventilation for a drainage system under the conditions of reduced pressure where ventilating pipes terminate inside a building, in accordance with BS EN 12056 2:2000.","Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> McAlpine Ventapipe soil pipe 3"" or 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/00/NW-F47800_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/McAlpine_VP100_Tech_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/McAlpine_Air_Admittance_Valve_Brchr.pdf,,
9,PF49249,"McAlpine VPSF-40/50 aav solvent-weld outlet 1.1/2-2"" White",McAlpine,7.67,"This McAlpine Ventapipe air admittance valve has a solvent weld outlet suitable for 1 1/4"", 1 1/2"" or 2"" BS EN 1329-1:2000 solvent weld waste pipe.","Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> McAlpine VPSF-40/50 aav solvent-weld outlet 1.1/2-2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/49/NW-F49249_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F49249_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,
10,PF47804,"McAlpine Ventapipe multifit outlet 1.1/2""",McAlpine,7.62,"This McAlpine Ventapipe 1 1/2"" air admittance valve with universal outlet is designed for use in above ground drainage systems. This valve provides ventilation for a drainage system under the conditions of reduced pressure where ventilating pipes terminate inside a building, in accordance with BS EN 12056 2:2000.","Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> McAlpine Ventapipe multifit outlet 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/04/NW-F47804_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/McAlpine_VP2W_Tech_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/McAlpine_Air_Admittance_Valve_Brchr.pdf,,
11,PF14990,Center CB Air Admittance Valve 32mm White,Center CB,10.36,This Center CB 32mm air admittance valve with compression connections allows for free entry of air into a sanitary pipework system with no risk of foul gases escaping. This valve also prevents water loss from trap seals due to induced siphonage and provides an early warning indication of potential drainage blockages.,Drainage/Soil Pipes and Fittings/Soil Air Admittance Valves/Soil Air Admittance Valves.csv -> Center CB Air Admittance Valve 32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/90/NW-F14990_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,
