,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Supplier Product Code,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
0,PW14083,Saint Gobain Ensign EF133 strap on boss ensign 100mm Red,Saint Gobain,72.75,"This Saint Gobain Ensign EF133 100mm strap-on boss with compression connections is made of cast iron with a red protective finish. It allows for the straightforward fitting of a waste pipe to an existing 100mm cast iron BS EN 877 soil pipe with an outside diameter of minimum 109mm, maximum 112mm.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Saint Gobain Ensign EF133 strap on boss ensign 100mm Red,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/83/NW-W14083_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF66934,Polypipe PolySoil new strap on boss 110mm Black,Polypipe,13.99,"Made of black PVC-U, this Polypipe PolySoil boss strap with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Polypipe PolySoil new strap on boss 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/34/NW-F66934_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF76873,Saint Gobain Timesaver GT133 strap-on boss 100mm,Saint Gobain,78.96,This Saint Gobain Timesaver GT133 100mm strap-on boss with 64mm compression connections is made of cast iron and water-based paint finish. The strap-on boss allows for the fitting of a 50mm copper or waste pipe to an existing 100mm BS 416 cast iron soil pipe with an outside diameter of 109mm minimum and 114mm maximum. The Timesaver drainage system offers a range of extremely high strength fittings ideal for below ground applications.,Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Saint Gobain Timesaver GT133 strap-on boss 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/73/NW-F76873_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PQ64187,Wavin OsmaSoil strap boss 110mm Black,Wavin,12.48,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm strap boss is made of durable black PVC-u and is fitted with 50 x 110mm clip connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Wavin OsmaSoil strap boss 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/87/NW-Q64187_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF68766,Polypipe PolySoil strap on boss nut and bolt 110mm Black,Polypipe,13.28,"Made of black PVC-U, this Polypipe PolySoil boss strap with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Polypipe PolySoil strap on boss nut and bolt 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/66/NW-F68766_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PQ66015,Wavin OsmaSoil single socket-weld boss adaptor 50mm Black,Wavin,7.53,"Suitable for domestic or commercial use, this Wavin OsmaSoil 50mm single socket boss adapter is made of durable black PVC-u and is fitted with solvent weld x socket connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Wavin OsmaSoil single socket-weld boss adaptor 50mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/15/NW-Q66015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF66834,Polypipe PolySoil new strap on boss 110mm Grey,Polypipe,13.99,"Made of grey PVC-U, this Polypipe PolySoil boss strap with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Polypipe PolySoil new strap on boss 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/34/NW-F66834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PQ66500,Wavin Wavin OsmaSoil boss adaptor 40mm White,Wavin,7.34,"Suitable for domestic or commercial use, this Wavin OsmaSoil 40mm boss adapter is made of durable white PVC-u and is fitted with 50 x 40mm socket x female thread connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Wavin Wavin OsmaSoil boss adaptor 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/00/NW-Q66500_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PQ66499,Wavin Wavin OsmaSoil boss adaptor 32mm White,Wavin,7.34,"Suitable for domestic or commercial use, this Wavin OsmaSoil 32mm boss adapter is made of durable white PVC-u and is fitted with 50 x 32mm socket x female thread connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Wavin Wavin OsmaSoil boss adaptor 32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/99/NW-Q66499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PQ66904,Wavin OsmaSoil PVC-U boss adaptor soil and waste 32mm White,Wavin,6.83,"Built for sanitary waste removal, this white PVC-u Wavin OsmaSoil 32mm soil and waste boss adapter has 32 x 110mm solvent weld x plain end connections for secure fitting. Suitable for commercial or domestic installation, this fitting is part of a comprehensive waste system available in a range of sizes and colours to suit any location.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Bosses/Soil Pipe Bosses.csv -> Wavin OsmaSoil PVC-U boss adaptor soil and waste 32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/04/NW-Q66904_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC-U_Pipe_Fittings_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
