,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Connection Size,Connection Type,Diameter,Weight,Hazardous,Dimensions (L x W x D),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,PF48200,"Polypipe Kwickfit 90deg connector extension 9 White""",Polypipe,26.58,This Polypipe Kwickfit WC pan connector is made of polypropylene (PP) and is fitted with 110mm push-fit connections and a flexible TPE seal for effortless connection into plain-ended soil pipe.,"Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Connectors/Soil Pipe Connectors.csv -> Polypipe Kwickfit 90deg connector extension 9 White""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/00/NW-F48200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Polypipe_WC_Pan_Bsi_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,
1,PF47974,"McAlpine BOSSCONN1.25BL boss adaptor soil rainwater bossed connector 1.1/4 x 1.1/4"" Black",McAlpine,14.11,"This McAlpine push-fit mechanical soil and rainwater pipe boss connector is suitable for 1 1/4"" pipe.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Connectors/Soil Pipe Connectors.csv -> McAlpine BOSSCONN1.25BL boss adaptor soil rainwater bossed connector 1.1/4 x 1.1/4"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/74/NW-F47974_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47974_Drawing.pdf,,,,,,,,,,,,,,,,,
2,PF42062,"McAlpine DC4-BL drain blank cap 4""/110mm",McAlpine,9.83,"This McAlpine 4""/110mm drain connector blank cap is suitable for sealing cast iron, plastic or clay pipe.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Connectors/Soil Pipe Connectors.csv -> McAlpine DC4-BL drain blank cap 4""/110mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/62/NW-F42062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F42062_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,
3,PF47398,McAlpine DC1-BL drain connector 110mm Black,McAlpine,11.89,"This McAlpine 4 x 4"" black drain connector with O seal socket is designed to fit a 4""/110mm diameter pipe to BS 4514.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Connectors/Soil Pipe Connectors.csv -> McAlpine DC1-BL drain connector 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/98/NW-F47398_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47398_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,
4,PF47991,"McAlpine BOSSCONN110T-BL Mechanical soil boss connector 110mm x 1 1/2"" x 57mm Black",McAlpine,14.6,"Supplied with a fixing tool, this McAlpine 1 1/2"" mechanical soil pipe boss connector is suitable for 57mm size hole saws and 4""/110mm soil pipe.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Connectors/Soil Pipe Connectors.csv -> McAlpine BOSSCONN110T-BL Mechanical soil boss connector 110mm x 1 1/2"" x 57mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/91/F47991_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47991_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,
5,PF47399,McAlpine DC1-GR drain connector 110mm Grey,McAlpine,11.89,"This McAlpine 4 x 4"" black drain connector with O seal socket is designed to fit a 4""/110mm diameter pipe to BS 4514.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Connectors/Soil Pipe Connectors.csv -> McAlpine DC1-GR drain connector 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/99/NW-F47399_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47399_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,
6,PF42061,"McAlpine DC3-BL drain connector 4""/110mm x 2""",McAlpine,9.83,"This McAlpine 4 x 2"" drain reducer connector with sealing ring is designed to fit a plastic waste pipe to BS EN 1451-1:2000 and BS EN 1329-1:2000.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Connectors/Soil Pipe Connectors.csv -> McAlpine DC3-BL drain connector 4""/110mm x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/61/NW-F42061_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F42061_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,
7,PQ64810,"Wavin Wavin Osma Compact 90deg easY-fit pan connector style 1/4""",Wavin,21.42,"Suitable for domestic or commercial use, this Wavin Osma Compact 1/4"" 90° easy-fit pan connector is made of durable white polypropylene and is fitted with secure 100mm push-fit x spigot connections.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Connectors/Soil Pipe Connectors.csv -> Wavin Wavin Osma Compact 90deg easY-fit pan connector style 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/10/NW-Q64810_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wavin_Osma_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PP_&_PE_MSDS.pdf,,,,,,,,,,,,,,,,
8,PW12226,"Saint Gobain pushfit blank end 100mm x 2""",Saint Gobain,21.73,"Part of the cast iron Kitemark approved Saint Gobain Ensign mechanically jointed above-ground drainage system, this Ensign 100mm x 2"" push-fit blank end is suitable for use in soil and waste systems as well as in venting, internal rainwater and suspended drainage applications, capable of withstanding 5 bar accidental pressure. Offering excellent fire resistance properties, cast iron is also acoustically extremely quiet as well as being extremely robust, resulting in the potential for a service life in excess of fifty years.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Connectors/Soil Pipe Connectors.csv -> Saint Gobain pushfit blank end 100mm x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/26/W12226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/SaintGobain_Brochure.pdf,,,,,,,,,,,,,,,,,,,
9,PW11772,Saint Gobain blank end (BSPT) 100 x 50mm,Saint Gobain,25.51,"Part of the cast iron Kitemark approved Saint Gobain Ensign mechanically jointed above-ground drainage system, this Ensign 100 x 50mm BSPT blank end is suitable for use in soil and waste systems as well as in venting, internal rainwater and suspended drainage applications, capable of withstanding 5 bar accidental pressure. Offering excellent fire resistance properties, cast iron is also acoustically extremely quiet as well as being extremely robust, resulting in the potential for a service life in excess of fifty years.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Connectors/Soil Pipe Connectors.csv -> Saint Gobain blank end (BSPT) 100 x 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/72/W11772_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/SaintGobain_Brochure.pdf,,,,,,,,,,,,,,,,,,,
