,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3
0,PQ64205,Wavin Wavin OsmaSoil reducer 110 x 50mm Grey,Wavin,31.01,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110 x 50mm straight reducer is made of grey PVC-U and offers reliable plain end x socket connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Reducers/Soil Pipe Reducers.csv -> Wavin Wavin OsmaSoil reducer 110 x 50mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/05/NW-Q64205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Vent_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Product_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Pipe-Fittings_MSDS.pdf
1,PQ66437,Wavin OsmaSoil single socket reducer 110mm x 82mm Black,Wavin,28.45,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110 x 82mm straight single socket reducer is made of durable black PVC-u and is fitted with plain end x socket connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Reducers/Soil Pipe Reducers.csv -> Wavin OsmaSoil single socket reducer 110mm x 82mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/37/NW-Q66437_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf
2,PF29117,"Polypipe Terrain 100 socket reducer 4"" x 3"" Grey",Polypipe,29.96,"Made of grey PVC-U, this Polypipe Terrain 100 socket reducer with 110 x 82mm solvent weld connections is designed for use in commercial building services. The Polypipe Terrain PVC drainage system is fully accredited and is suitable for joining to a variety of other materials.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Reducers/Soil Pipe Reducers.csv -> Polypipe Terrain 100 socket reducer 4"" x 3"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/17/NW-F29117_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,
3,PF67149,Polypipe PolySoil® SO65:W 110mm waste reducer Black,Polypipe,28.8,"Made of white PVC-U, this Polypipe PolySoil reducer with 110mm push fit connections is suitable for use in domestic applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Reducers/Soil Pipe Reducers.csv -> Polypipe PolySoil® SO65:W 110mm waste reducer Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/49/NW-F67149_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
4,PF29325,"Polypipe Terrain 100 socket reducer 3"" x 2"" Grey",Polypipe,23.97,"Made of grey PVC-U, this Polypipe Terrain 100 socket reducer with 82 x 50mm solvent weld connections is designed for use in commercial building services. The Polypipe Terrain PVC drainage system is fully accredited and is suitable for joining to a variety of other materials.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Reducers/Soil Pipe Reducers.csv -> Polypipe Terrain 100 socket reducer 3"" x 2"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/25/NW-F29325_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,
5,PF66949,Polypipe PolySoil® 110mm waste reducer Black,Polypipe,28.8,"Made of black PVC-U, this Polypipe PolySoil reducer with 110mm push fit connections is suitable for use in domestic applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Reducers/Soil Pipe Reducers.csv -> Polypipe PolySoil® 110mm waste reducer Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/49/NW-F66949_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
6,PF66849,Polypipe PolySoil reducer to waste 110mm Grey,Polypipe,28.8,"Made of grey PVC-U, this Polypipe PolySoil reducer with 110mm solvent weld connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Reducers/Soil Pipe Reducers.csv -> Polypipe PolySoil reducer to waste 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/49/NW-F66849_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
7,PF29114,"Polypipe Terrain 100 socket reducer 4"" x 2"" Grey",Polypipe,29.05,"Made of grey PVC-U, this Polypipe Terrain 100 socket reducer with 110 x 50mm solvent weld connections is designed for use in commercial building services. The Polypipe Terrain PVC drainage system is fully accredited and is suitable for joining to a variety of other materials.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Reducers/Soil Pipe Reducers.csv -> Polypipe Terrain 100 socket reducer 4"" x 2"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/14/NW-F29114_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,
8,PF66947,Polypipe PolySoil soil reducer 110 x 82mm Black,Polypipe,41.62,"Made of black PVC-U, this Polypipe PolySoil reducer with 110mm solvent weld connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Reducers/Soil Pipe Reducers.csv -> Polypipe PolySoil soil reducer 110 x 82mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/47/NW-F66947_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
9,PF47451,MULTIKWIK UNIVERSAL ADAPTOR BLACK  MKUAB,Hunter,13.46,"This Hunter Multikwik 110mm x 32/40/50mm universal connector is manufactured in EVA for ongoing flexibility and a watertight connection. The WC fins are made from thermoplastic elastomer, a high performance synthetic rubber resistant to cracking and eroding. Multikwik WC connectors are designed to fit pans conforming to BS 5503 and BS 5504, including those with bosses.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Reducers/Soil Pipe Reducers.csv -> MULTIKWIK UNIVERSAL ADAPTOR BLACK  MKUAB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/51/NW-F47451_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Hunter_Multikwik_SDS.pdf,,
