,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5
0,PF15284,"Center CB pipe clip 1.1/2"" White",Center CB,0.52,"Center CB pipe clip is made of ABS. The Center push-fit waste range uses a simple, highly effective ring seal jointing system that's ideally suited to installations where speed is paramount. Completely demountable, this range provides a cost-effective solution where new systems are being installed or existing systems are being modified.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Brackets and Clips/Brackets and Clips.csv -> Center CB pipe clip 1.1/2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/84/NW-F15284_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,
1,PF15264,"Center CB pipe clip 1.1/4"" White",Center CB,0.51,"Made of ABS, this Center CB 32mm pipe clip is part of a range designed to incorporate simple but effective ring seal jointing for fast, convenient installation. This cost-effective system is completely demountable, making it suitable for both new installations and modifications.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Brackets and Clips/Brackets and Clips.csv -> Center CB pipe clip 1.1/4"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/64/NW-F15264_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,
2,PF15304,"Center CB pipe clip 2"" White",Center CB,0.78,"Center CB pipe clip is made of ABS. The Center push-fit waste range uses a simple, highly effective ring seal jointing system that's ideally suited to installations where speed is paramount. Completely demountable, this range provides a cost-effective solution where new systems are being installed or existing systems are being modified.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Brackets and Clips/Brackets and Clips.csv -> Center CB pipe clip 2"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/04/NW-F15304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,
3,PF16264,Center CB ABS and pushfit pipe clip 32mm Black,Center CB,0.49,"Center CB pipe clip is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Brackets and Clips/Brackets and Clips.csv -> Center CB ABS and pushfit pipe clip 32mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/64/NW-F16264_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,
4,P697049,"Aspen Pumps Xtra straight connector 3/4"" Black (Pack of 5)",Aspen Pumps,5.88,"Made of uPVC, this Aspen Pumps Xtra 15mm straight connector has a smooth internal finish for a lower coefficient of flow friction, helping to prevent build-up of debris, bacteria and blockages.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Brackets and Clips/Brackets and Clips.csv -> Aspen Pumps Xtra straight connector 3/4"" Black (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-697049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,
5,PF57781,Geberit HDPE HDPE duofix straight connector 110mm,Geberit,20.04,"Made of high density polyethylene (HDPE), this Geberit HDPE straight connector with ring seal socket for wall-hung WCs, incorporating 110 x 90mm push-fit x plain end connections, is suitable for a range of uses in building and roof drainage in industrial, commercial and laboratory settings and can be installed in-ground, in concrete or during bridge construction. This fitting is additionally suitable for conventional or siphonic roof drainage systems and in land drainage systems.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Brackets and Clips/Brackets and Clips.csv -> Geberit HDPE HDPE duofix straight connector 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/81/NW-F57781_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Geberit_HDPE_Silent_db20_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf,,,
6,PF14956,Center CB adjustable length straight pan connector,Center CB,50.45,"This Center CB 100mm push-fit adjustable 255 to 550mm length straight pan connector is made of polypropylene (PP). The Center CB pan connectors range offers a variety of connection types, making an often awkward job as easy as possible.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Brackets and Clips/Brackets and Clips.csv -> Center CB adjustable length straight pan connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/56/NW-F14956_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,
7,PF16284,Center CB pushfit ABS pipe clip 40mm Black,Center CB,0.47,"Center CB pipe clip is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Brackets and Clips/Brackets and Clips.csv -> Center CB pushfit ABS pipe clip 40mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/84/NW-F16284_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,
8,PQ66721,Wavin OsmaWeld ABS pipe bracket 50mm Black,Wavin,1.97,"Offering secure jointing, this Wavin OsmaWeld 50mm pipe clip is manufactured in black ABS.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Brackets and Clips/Brackets and Clips.csv -> Wavin OsmaWeld ABS pipe bracket 50mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/21/NW-Q66721_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_ABS_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Osma_Waste_Water_Drain_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf
9,PF16304,Center CB ABS pipe clip 50mm,Center CB,0.78,"Made of ABS, this Center CB 50mm pipe clip is part of a range designed to incorporate simple but effective ring seal jointing for fast, convenient installation. This cost-effective system is completely demountable, making it suitable for both new installations and modifications.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Brackets and Clips/Brackets and Clips.csv -> Center CB ABS pipe clip 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/04/NW-F16304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,
