,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Voltage (V),Hazardous,Torque Rating,Position Indicator,Operating Range,Override Type,Running Time Motor,Cable Length (m),Position Feedback,Protection Class,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Number of Ports,Feature 13,Feature 14,Feature 15,Attachment 6,Weight
0,P339366,Danfoss H 2 port valve actuator,Danfoss,44.75,This Danfoss HPA2 two port valve actuator with 2M cable is designed for central heating and hot water circulation in wet domestic central heating systems. It is suitable for direct in-service replacement of actuators on other makes of motorised valves.,Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Danfoss H 2 port valve actuator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/66/NW-339366_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DomesticProdSelection_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_H_Series_Valves_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_H-Series_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P222065,Drayton ZA5/679 2 port motorised valve 22mm,Drayton,44.99,"Making servicing simple, this Drayton 22mm motorised zone valve incorporates a snap-on actuator, which can be removed from the body by simply pressing the release button on the side. This system allows easy access for replacement of the motor or complete actuator replacement.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Drayton ZA5/679 2 port motorised valve 22mm,,Motorised zone valve;Actuator,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/03/NW-302103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Motorised_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Motorised_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P222066,Drayton MA1/679 mid position valve 22mm,Drayton,57.99,"Making servicing simple, this Drayton 22mm motorised valve incorporates a snap-on actuator, which can be removed from the body by simply pressing the release button on the side. This system allows easy access for replacement of the motor or complete actuator replacement.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Drayton MA1/679 mid position valve 22mm,,Motorised valve;Actuator,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/01/NW-302101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Motorised_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Motorised_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P309639,Honeywell M7410E actuator 24v 0/2-10vdc 280n,Honeywell,153.72,"This compact Honeywell M7410E 300 N modulating linear valve actuator works alongside M30 x 1.5 interface Honeywell valves to provide modulating control. It is suitable for use in fan coil units, induction units, small reheaters and recoolers and can also be used in zone control applications and electronic temperature control systems with hot and/or cold water as the controlled medium. This actuator is fully compatible with all controllers offering 0 - 10V or 2 - 10V output signals.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Honeywell M7410E actuator 24v 0/2-10vdc 280n,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/39/NW-309639_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Honeywell_M7410E_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_M7410E_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P307261,ESBE ARA600 ARA662 actuator  230v 50hz 120 sec,ESBE,188.78,"Operating DN 15 - 50 rotary mixing valves, the ESBE ARA600 ARA662 230V actuator with 6Nm torque rating is controlled by a three point signal. Suitable for mixing operations, this actuator has a 90° operating range with the simple pull-and-turn knob located on the front providing ease of operation.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> ESBE ARA600 ARA662 actuator  230v 50hz 120 sec,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/62/NW-307260_307262_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Esbe_ARA600_3-Point_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Esbe_ARA600_3-Point_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Esbe_ARA600_3-Point_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P339362,Danfoss H 3 port valve actuator,Danfoss,59.49,This Danfoss HSA3 three port mid-position valve actuator with 2M cable is designed for central heating and hot water circulation in wet domestic central heating systems. It allows for direct in-service replacement of actuators on other makes of motorised valves.,Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Danfoss H 3 port valve actuator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/62/NW-339362_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DomesticProdSelection_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_H_Series_Valves_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_H-Series_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P307263,ESBE ARA600 ARA659 actuator property 24vac/dc 50hz,ESBE,217.69,"Operating DN 15 - 50 rotary mixing valves, the ESBE ARA600 ARA659 24VAC proportional actuator with 6Nm torque rating is controlled by a three point signal. Suitable for mixing operations, this actuator has a 90° operating range with the simple pull-and-turn knob located on the front providing ease of operation.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> ESBE ARA600 ARA659 actuator property 24vac/dc 50hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/63/NW-307263_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Esbe_ARA600_Prop_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Esbe_ARA600_Prop_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Esbe_ARA600_Prop_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P310927,Honeywell ML7421A actuator 24V 0/2-10VDC 7VA,Honeywell,471.85,"Enabling modulating control, this Honeywell ML7421A 1800 N linear valve actuator works with analogue output controls to operate heating, ventilation, and air conditioning (HVAC) applications. The direction of movement is reversible using the internal selector plug.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Honeywell ML7421A actuator 24V 0/2-10VDC 7VA,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/28/NW-310927_310928_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_ML7421A-B_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Honeywell_ML6421A-ML7421A-B_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P304039,Drayton 3 port actuator 230v,Drayton,112.33,This Drayton MA1 actuator with 230V voltage supply is suitable for MA mid-position zone valves.,Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Drayton 3 port actuator 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/39/NW-304039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P359425,Siemens Acvatix - SAS AC/DC actuator 24V 0-10VDC,Siemens,161.6,"Designed to operate two and three port valves, this Siemens Acvatix SAS 400 N electromotoric actuator is suitable for valve types VG44, VVG55 and VVG549 used as control or shut-off valves in heating or ventilation plants.",Heating/Central Heating Controls/Actuator Valves/Actuator Valves.csv -> Siemens Acvatix - SAS AC/DC actuator 24V 0-10VDC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/25/NW-359425_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_Acvatix_SAS_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siemens_SAS-31-61-81_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/po/rt/Siemens_Acvatix_SAS-SAT_Test_Report.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_Acvatix_SAS-SAT_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/pd/Siemens_Acvatix_SAS_EPD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
