,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Range,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 5,Feature 6,Feature 7,Voltage (V),Switch Type,Setting Range,Dimensions mm (H x W x D),Operating Temperature Range (C),Application,Feature 8,Pack Quantity,Attachment 7,Attachment 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16
0,P222467,TP5001RF+ RX1-SV2 WIRELESS THERMOSTAT PK,Danfoss,83.54,"Providing easy temperature selection via an intuitive ring, the Danfoss RET2001 wireless programmable room thermostat is fitted with a clear, backlit LCD display for at-a-glance detail. Supplied complete with a receiver, this thermostat offers a range of useful functions including a holiday mode for reduced waste.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> TP5001RF+ RX1-SV2 WIRELESS THERMOSTAT PK,,Wireless Thermostat & Receiver,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/_a/440975_76_A_wm.jpg,LCD display with push buttons for ease of use,On/off load compensation,Holiday function,For domestic central heating use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P340022,Center Heating Controls EHE0200322 RF wireless 7-day programmable room thermostat,Center,47.01,"This Center CB RF wireless 7-day programmable room thermostat is designed for efficient heating control. While adaptive control technology maintains home temperatures by matching the heating system output to demand, optimum start/stop learns the system's warm-up/cool-down response times, calculating the best possible time to switch on and off. These features not only improve heating comfort in the home but improve energy use for potential cost savings.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Center Heating Controls EHE0200322 RF wireless 7-day programmable room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/_a/340022_A_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/340022_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Center_340022_340023_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/340022_Startguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/340022_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P340009,Center CB EHE0200364 wireless non-programmable room thermostat,Center CB,49.75,"Suitable for many different heating installations, this modern Center CB thermostat is easy to use and highly flexible. The room unit communicates with the relay box on an 868MHz radio frequency (RF), controlling one heating system component such as a boiler, pump or zone valve. This ensures it will not communicate with other RF products connected to different frequencies or communication protocols.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Center CB EHE0200364 wireless non-programmable room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/09/NW-340009_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/340009_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/CenterCB_340009_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/340009_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340009_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P310709,Honeywell Home T3R Y3H710RF0053 @ hw home t3r wireles stat+stand 5+2 day,Honeywell Home,71.76,"Suitable for use in domestic heating systems, the T3R wireless 5+2 day programmable thermostat is particularly recommended for social housing, new build properties and for mass installation jobs. It is compatible with a variety of boilers and systems, including 24 to 230V on/off units such as gas and oil boilers, combi-boilers and heat pumps, however it cannot be used for operation of electric boilers. Easy to operate, the T3R provides OpenTherm control for reliable time and temperature switching. A stand is supplied with this unit for ease of storage.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Honeywell Home T3R Y3H710RF0053 @ hw home t3r wireles stat+stand 5+2 day,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/09/310709_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Honeywell_T3_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P311893,Honeywell Home DT4R Dt4R Room Thermo Wless White,Honeywell Home,63.25,"Suitable for use in houses or apartments, the Honeywell Home DT4 wireless digital thermostat supplies reliable room temperature control via heating, cooling and off modes. Slimline and modern, this thermostat blends style and functionality with operation via a large, easy to read LED display and simple wake up button. The DT4 wired thermostat is suitable for use in a range of systems, including hybrid and green energy systems.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Honeywell Home DT4R Dt4R Room Thermo Wless White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/96/311893_96_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P310713,Honeywell Home T6 Y6H920RW4026 T6R-Table Stand With Hot Water,Honeywell Home,142.5,"Providing intuitive heating time and temperature and hot water control, the T6 series wireless programmable smart thermostat includes geofencing to maximise energy efficiency. Using location-based services, the thermostat communicates with an app to adjust home temperatures when nobody's in. Three layers of automatic intelligent controls, including OpenTherm, TPI and optimum start/stop and delayed start ensure high levels of control and cost savings.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Honeywell Home T6 Y6H920RW4026 T6R-Table Stand With Hot Water,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/13/310713_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P222430,Honeywell Home T6R lyric wireless smart programmable thermostat,Honeywell Home,116.0,"Offering smart, connected control, the Lyric T6R Wi-Fi wireless smart thermostat pack combines a wealth of user-friendly features with simple a installation and set-up process. WI-Fi enabled connectivity offers direct connection to a home network without additional equipment along with location-based programming for reduced energy waste. Scheduling features 7 and 5/2 day options, with up to six time periods a day.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Honeywell Home T6R lyric wireless smart programmable thermostat,,T6H700RW Honeywell Home T6R smart thermostat;R6H911RF Honeywell home receiver box;Fixing kit;Installation ;user guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/30/222430_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P300761,Drayton Digistat Plus RF710 thermostat and single channel receiver,Drayton,77.48,"Easy to use, this Drayton Digistat Plus 1RF wired room thermostat incorporates large buttons and an easy to read digital display to ensure temperatures are set accurately.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Drayton Digistat Plus RF710 thermostat and single channel receiver,,Thermostat;Receiver,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/61/NW-300761_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Digistat_Plus_1RF_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Drayton_DigistatPlus1_2RF_3RF_UGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Drayton_Digistat_Plus_1_1RF_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P158106,Neomitis RT7RFPLUS Rt7Rfplus Wless 7D Prog Stat,Neomitis,60.25,"This user-friendly Neomitis digital room thermostat is designed for energy and cost savings. With an extra large LCD and ambient temperature digits, the display is easy to read and a simple rotary dial makes operation straightforward. A slide control operation and hassle-free programming allows the user to set a convenient personalised schedule for each day of the week, leading to greater efficiency, while dual optimisation prioritises comfort or savings.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Neomitis RT7RFPLUS Rt7Rfplus Wless 7D Prog Stat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/06/158106_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/uk/ca/Neomitis_158106_UKCA.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/158106_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Neomitis_158106_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Neomitis_158106_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P170104,Ideal Halo combi RF thermostat,Ideal,147.0,"Compatible with a variety of Ideal boilers, the Ideal Halo wireless programmable room thermostat is paired with the Halo Smart Interface installed in a boiler for communication via OpenTherm. Powered by AA batteries and using Zigbee for contact with the Wi-Fi Smart Interface for full app control of your heating via smartphone, tablet or app.",Heating/Central Heating Controls/Wireless Thermostats/Wireless Thermostats.csv -> Ideal Halo combi RF thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/04/NW-170104_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Halo_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/170104_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
