,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Flow Rate,Voltage (V),Warranty,Phase,Hazardous,Output,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Range,Attachment 4,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17
0,P105791,Grundfos UPS3 Ups3 15-50/65 130 1X230V 50Hz 9H Gb,Grundfos,139.72,"Highly efficient, the Grundfos UPS3 15-50/65 130 circulator pump is suitable for use as a universal upgrade and replacement pump, circulating liquids in domestic heating systems. This pump has a user-friendly one button interface for simple, fast set-up, while LEDs indicate actual operating status as well as providing warnings and alarms. Self-venting through the system, UPS3 offers easy commissioning, while the compact design, featuring a pump head with integrated control box, fits into most installations, including boilers, for simple fitting. Maintenance-free, the pump and motor are one integral unit with no a shaft seal, and bearings are lubricated by the pumped liquid.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos UPS3 Ups3 15-50/65 130 1X230V 50Hz 9H Gb,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/92/NW-105791_105792_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_UPS3_Quick_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_UPS3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_UPS3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P222021,Grundfos UPS3 circulating pump 1 x 230V 50Hz 9H GB pack,Grundfos,119.0,"Highly efficient, the Grundfos UPS3 15-50/65 130 circulator pump is suitable for use as a universal upgrade and replacement pump, circulating liquids in domestic heating systems. This pump has a user-friendly one button interface for simple, fast set-up, while LEDs indicate actual operating status as well as providing warnings and alarms. Self-venting through the system, UPS3 offers easy commissioning, while the compact design, featuring a pump head with integrated control box, fits into most installations, including boilers, for simple fitting. Maintenance-free, the pump and motor are one integral unit with no a shaft seal, and bearings are lubricated by the pumped liquid.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos UPS3 circulating pump 1 x 230V 50Hz 9H GB pack,,UPS3 pump;Installer plug;2x gaskets;Quick guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/92/NW-105791_105792_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_UPS3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_UPS3_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_UPS3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P222024,Grundfos UPS2 UPS2 25-80 circulating pump 180 mm pack,Grundfos,259.0,"The 10 bar rated Grundfos UPS2 circulating pump offers advanced control modes, adjusting pump performance to suit system requirements, whether in one and two-pipe heating systems. Running silently and minimising energy consumption, this pump incorporates compact rotor technology and a permanent magnet motor.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos UPS2 UPS2 25-80 circulating pump 180 mm pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/24/NW-222024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Product_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UPS2_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PA11104,Advanced Water DHCP15 circulating pump 15-60/130,Advanced Water,58.96,"The Advanced Water 15-60/130 DHCP circulating pump is suitable for domestic heating application. Backwards compatible, it has a maximum head rating of 6M and offers efficient ErP compliancy.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Advanced Water DHCP15 circulating pump 15-60/130,,Pump;adaptor,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/04/A11104_wm.jpg,,,,Black,Max 4 m³/h,230v,"2 years, with extended 5 years following product registration",Single,N,0.045 kW,130,130 mhz,IP44,50/60hz,10 bar max,"UKCA, CE",565-478-0001,Pump,N,For domestic heating systems,130mm port-to-port,Maximum head rating of 6M,Backwards compatible,Fully ERP compliant,EEI rating of  0.20,IP44 rated,UKCA and CE approved,2 year warranty,Extended 5 year warranty with product registration,,,,,,,,,
4,P450193,Archergas® ST15® circulating pump 15-60/130,Archergas®,59.0,"The Archergas® Heating Standard produces a maximum head of just over 6 meters with a standard 1 1/2"" threaded connection. As with all Archergas® circulators, it is fully ERP compliant with an impressive energy efficiency index rating of less than 0.20. The ST15 is a standalone heating circulator with 4 modes of control and a standard 130mm port to port size. The ST15 is suitable for radiators, underfloor heating, cooling, solar, recirculation (non-potable) and air source heat pump systems. It also comes with a 5 year guarantee and can be used as a direct replacement for a large number of other models, some of which are listed as follows: Grundfos - UP, UPS 4m, 5m, 6m, UPSD, UPS2, UPM3 & UPS3, Lowara - Ecocirc, Ecocirc Basic & Premium 25-40 & 25-6 (130), Wilo - Yonos Pico 15/1-6-130, Gold, Gold Star, Gold 50, 60 & RS25, DAB - VA55/130, VA65/130, Evotron 60/130, Evosta 40/70, Circulating Pumps - CP50, CP60 & Myson LA, SD, CP53 & CP63, Salus - MP100A & MP200A, Stuart Turner - ST 15/60 (130), Download the Archerg",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Archergas® ST15® circulating pump 15-60/130,,"ST15 Pump, supplied with 2 rubber washers",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/_1/450193_1_wm.jpg,,,,Jet Black,65 Litres per minute,230,5 Years,Single,N,,140.7,6m Max Head,IP44,50,Maximum System Pressure 10 Bar,ErP,ST15,Domestic Heating Circulator,N,Easy installation,Easy to use,Large bleed screw,ERP compliant,5 year guarantee,4 modes,Cast iron,Designed in the UK,,,ST15®,,,,,,,,
5,P222025,Grundfos Alpha1 Alpha1 15-50/60 130 circulating pump,Grundfos,148.0,"Fitted with integrated differential pressure control, the Grundfos Alpha1 one phase circulating pump for heating systems also offers a constant curve mode. Simply operated with a single button, this 230V 50/60Hz pump is pressure rated to 10 bar.",Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Alpha1 Alpha1 15-50/60 130 circulating pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/25/NW-222025_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Product_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Alpha1_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Alpha1_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P126235,"Grundfos Magna 1 40-120 F 250 circulating pump 220mm x 1"" 230V PN6/10",Grundfos,2141.0,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 40 - 120 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 40-120 F 250 circulating pump 220mm x 1"" 230V PN6/10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/37/NW-126233_126237_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
7,P126251,"Grundfos Magna 1 circulating pump 280mm 1"" x 230V PN6/10",Grundfos,2794.8,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 50 - 120 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 circulating pump 280mm 1"" x 230V PN6/10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/51/NW-126251_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
8,P126257,"Grundfos Magna 1 D circulating pump 280mm 1"" x 230V PN6/10",Grundfos,5661.0,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 D 50 - 120 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 D circulating pump 280mm 1"" x 230V PN6/10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/59/NW-126256_126259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
9,P126228,"Grundfos Magna 1 circulating pump 220mm x 1"" 230V PN6/10",Grundfos,1277.0,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 40 - 60 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Circulation Pumps/Circulation Pumps.csv -> Grundfos Magna 1 circulating pump 220mm x 1"" 230V PN6/10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/28/NW-126228_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,
