,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Flow Rate,Range,Voltage (V),Warranty,Phase,Hazardous,Output,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 4,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Weight,Attachment 5,Attachment 6,Feature 20,Feature 21,Feature 22
0,P149317,Grundfos UPS Ups 15-50N 1Ph Hws Circ No Fittin,Grundfos,285.84,"Featuring a corrosion-free stainless steel pump housing, this Grundfos UPS 15-50 N 130 circulator pump is ideal for domestic hot water recirculation and underfloor heating systems. Suitable for connection to an on/off time switch to limit pump operation to periods when hot water is usually needed, this canned rotor pump houses its pump and motor in a single integral unit with no shaft seal and just two gaskets for sealing, keeping maintenance costs to an absolute minimum.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos UPS Ups 15-50N 1Ph Hws Circ No Fittin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/19/NW-149317_149319_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UP_UPS_UPSD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P105791,Grundfos UPS3 Ups3 15-50/65 130 1X230V 50Hz 9H Gb,Grundfos,139.72,"Highly efficient, the Grundfos UPS3 15-50/65 130 circulator pump is suitable for use as a universal upgrade and replacement pump, circulating liquids in domestic heating systems. This pump has a user-friendly one button interface for simple, fast set-up, while LEDs indicate actual operating status as well as providing warnings and alarms. Self-venting through the system, UPS3 offers easy commissioning, while the compact design, featuring a pump head with integrated control box, fits into most installations, including boilers, for simple fitting. Maintenance-free, the pump and motor are one integral unit with no a shaft seal, and bearings are lubricated by the pumped liquid.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos UPS3 Ups3 15-50/65 130 1X230V 50Hz 9H Gb,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/92/NW-105791_105792_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_UPS3_Quick_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_UPS3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_UPS3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P668228,Center boiler condensate pump kit,Center,83.48,"A complete all-in-one kit for ease of fitting, the Center condensate pump kit offers excellent levels of performance and efficiency in a compact, LVD compliant package. Intended to remove boiler condensate water and discharge it safely up to a head of 5M, this pump has a non-return valve, pre-wired safety switch and a hard-wired power chord, ensuring high levels of performance as well as easy, flexible installation, even in challenging locations, and stress-free servicing and maintenance.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Center boiler condensate pump kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/28/668228_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/668228 Cond Boiler Pump Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/668228 Condestate Boiler Pump Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P147051,Circulating Pumps Heating Circulator CP50.2-25 Central heating circulator pump (5m head),Circulating Pumps,71.88,"This Circulating Pumps CP50.2-25 pump with 5M head offers simple operation, easy connection and compatibility with most systems.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Circulating Pumps Heating Circulator CP50.2-25 Central heating circulator pump (5m head),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/51/147051_wm.jpg,,,,Silver,<gt/>3.5m3/hr,Heating Circulator,230,1 year,1,N,0.036 kW,130,800 - 4200,IPX2D,50,PN6,CE & UKCA,4238962,Circulator Pump,N,CPL Heating Circulating pumps are CE & UKCA approved,They carry a 30 month warranty allowing customers to be confident in the CPL quality with the peace of mind this kind of extended warranty provides,Fits in most systems,Simple connection,Easy to operate,Lower electricity bills,,,,,,,,,,,,,,,,,,,,
4,P450194,Archergas® DHW15 Hot Water Pump 15-60/130 Bronze,Archergas®,135.76,"The Archergas® Hot Water Standard is a Domestic Hot Water Pump (Secondary Return/Bronze Pump) that produces a maximum head of 6 meters and has a standard 1 1/2"" threaded connection. It has 3 speed settings and a 130mm port to port size making it ideal for the replacement of existing Hot Water Pumps in domestic hot water systems, as well as new installations. The DHW15 is ERP exempt and is suitable for drinking water (potable) only. It also comes with a 5 year guarantee and can be used as a direct replacement for a large number of other models, some of which are listed as follows: Grundfos - UPS 15-50N (130), Wilo - SB30/SB30G, SB5 &SB60, DAB - EVO VS 65/150 B, Tower - BRZPUMP, Stuart Turner - 15/60B DHW, Circulating Pumps - SE20B & SE60B, Download the Archergas® app",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Archergas® DHW15 Hot Water Pump 15-60/130 Bronze,,"DHW15 Pump, supplied with 2 rubber washers",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/_1/450194_1_wm.jpg,,,,Silver,57 Litres per minute,DHW15,230,5 Years,Single,N,,125,6m Max Head,IP44,50,Maximum System Pressure 10 Bar,ErP,DHW15,Domestic Hot Water Circulator,N,Suitable to replace circulators in domestic hot water systems,Backwards compatible,5 year guarantee,3 fixed speed settings,Stainless steel,Designed in the UK,,,,,,,,,,,,,,,,,,,,
5,P144975,Grundfos Alpha 1 99415672 circulating pump,Grundfos,477.37,"With an energy efficiency index (EEI) meeting the ErP benchmark for high energy saving levels, this Grundfos Alpha 1 15-50/60 130 pump helps to minimise waste. Easy to use, this heating system circulating pump has a handy display showing actual power consumption plus LEDs to indicate operating status, while robust internal parts ensure long lasting reliability. These include a ceramic shaft and radial bearings, carbon thrust bearing, a stainless-steel rotor can, bearing plate and rotor cladding and a composite impeller. Compact in design, the self-venting Alpha 1 incorporates a pump head with integrated control box and control panel, making installation and commissioning easy.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Alpha 1 99415672 circulating pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/75/NW-144975_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Alpha1_Model_B_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Grundfos_Alpha_Model_B_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_Alpha1_Model_B_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P104086,Grundfos UPS circulating pump 1 x 230V 50Hz 9H,Grundfos,796.84,"Featuring a corrosion-free stainless steel pump housing, this Grundfos UPS 25-80 N 180 circulator pump is ideal for domestic hot water recirculation and underfloor heating systems. Suitable for connection to an on/off time switch to limit pump operation to periods when hot water is usually needed, this canned rotor pump houses its pump and motor in a single integral unit with no shaft seal and just two gaskets for sealing, keeping maintenance costs to an absolute minimum.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos UPS circulating pump 1 x 230V 50Hz 9H,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/87/NW-104086_149287_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UP_UPS_UPSD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P103784,Grundfos Comfort brass hot water circulator pump,Grundfos,263.64,"Offering hot water recirculation on single and two family homes, the Grundfos Comfort 15-14 B PM GB pump has a corrosion-resistant pump housing, making it suitable for potable water. Equipped with a high-efficiency motor, PM is powered by a single-phase, high efficiency ECM with permanent magnet rotor and offers continuous operation. With a built-in isolating valve and a non-return valve, reversed flow is resisted and maintenance is simple, with no need to drain the system.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Comfort brass hot water circulator pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/84/NW-103784_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Comfort_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Comfort_PM_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P149310,Grundfos UP 20-30N 1 phase hotwater system circulating pump no fittings,Grundfos,448.7,"Featuring a corrosion-free stainless steel pump housing, this Grundfos UP 20-30 N 150 circulator pump is ideal for domestic hot water recirculation and underfloor heating systems. Suitable for connection to an on/off time switch to limit pump operation to periods when hot water is usually needed, this canned rotor pump houses its pump and motor in a single integral unit with no shaft seal and just two gaskets for sealing, keeping maintenance costs to an absolute minimum.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos UP 20-30N 1 phase hotwater system circulating pump no fittings,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/10/NW-149305_149310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UP_UPS_UPSD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P144982,Grundfos Alpha 1 99415696 circulating pump 1 x 230V 50Hz 6H GB,Grundfos,478.27,"Designed to circulate liquids in a heating system, this high efficiency Grundfos Alpha 1 15-50 N 130 pump has an energy efficiency index (EEI) at the ErP benchmark for high levels of energy saving. Featuring a display showing actual power consumption in Watts and LEDs indicating actual operating status, this pump is easy to use while a ceramic shaft and radial bearings, carbon thrust bearing, stainless-steel rotor can, bearing plate and rotor cladding and composite impeller ensure a long working life. Self-venting through the system, Alpha 1 has a compact design with a pump head with integrated control box and control panel for simple installation and commissioning.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Alpha 1 99415696 circulating pump 1 x 230V 50Hz 6H GB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/82/NW-144982_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Alpha1_Model_B_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Grundfos_Alpha_Model_B_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_Alpha1_Model_B_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
