,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Weight,Hazardous,Depth (mm),Dimensions (L x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range For Use With,Flue Type,Flue Diameter,Flue Length
0,P127170,Vaillant Ecomax standard flue kit 1mtr x 125mm,Vaillant,147.69,"This Vaillant 125mm standard flue kit offers a horizontal flue duct with elbow and terminal, all compatible with Ecotec 46kW and Ecotec 65kW boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Vaillant Ecomax standard flue kit 1mtr x 125mm,,Horizontal air/flue duct,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/70/NW-127170_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_Flue_Installation.pdf,,,,,,,,,,,,,,,,,,,,,
1,P417415,"Center CB Terminal Guard round 9.5 x 8.5"" Stainless Steel",Center CB,23.84,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Center CB Terminal Guard round 9.5 x 8.5"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/15/417415_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417415_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417415_Technical.pdf,,,,,,,,,,,,,,,,,,,,
2,P417416,"Center CB Terminal Guard round 9.5 x 6.5"" Stainless Steel",Center CB,20.49,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Center CB Terminal Guard round 9.5 x 6.5"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/16/417416_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417416_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417416_DWG.pdf,,,,,,,,,,,,,,,,,,,,
3,P117241,Grant adjustable vertical balanced flue kit 3mtr,Grant,528.2,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Grant adjustable vertical balanced flue kit 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/41/117241_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,,,,,,,,,,
4,P417422,"Center CB Terminal Guard round PDK 9.5 x 8"" Stainless Steel",Center CB,53.3,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Center CB Terminal Guard round PDK 9.5 x 8"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/22/417422_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417422_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417422_Technical.pdf,,,,,,,,,,,,,,,,,,,,
5,P417418,"Center CB Terminal Guard square 12"" x 12"" x 11"" Stainless Steel",Center CB,33.45,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Center CB Terminal Guard square 12"" x 12"" x 11"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/18/417418_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417418_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417418_DWG.pdf,,,,,,,,,,,,,,,,,,,,
6,P105918,Worcester flue terminal guard (for 12 32KW boilers) Stainless Steel,Worcester,34.38,"Offering fast, simple installation, this Worcester terminal guard for Vokera 100 M, 100 S and 50 M is made of tough, corrosion-resistant stainless steel.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Worcester flue terminal guard (for 12 32KW boilers) Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/18/NW-105918_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
7,P211201,Baxi Multifit 2 standard telescopic flue 60/100 Black,Baxi,118.32,"With white aluminium on the main extension, with Black terminal end, this robust telescopic flue is the standard choice for normal installation through a domestic property wall. Featuring push seal jointing and positive fixing screws, build quality is superb and of the standard you would expect from Baxi.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Baxi Multifit 2 standard telescopic flue 60/100 Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/02/211201_211202_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_Gold_Tita_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
8,P417421,"Center CB Terminal Guard square 18 x 8 x 18"" Stainless Steel",Center CB,42.53,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Center CB Terminal Guard square 18 x 8 x 18"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/21/417421_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417421_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417421_DWG.pdf,,,,,,,,,,,,,,,,,,,,
9,P127989,Vaillant flue support clips 125mm (Pack of 5),Vaillant,48.15,"Supplied in a pack of five, these Vaillant 125mm grey support clips with satin finish are suitable for Vaillant's horizontal flue duct 80/125 SS.",Heating/Flue & Chimney Systems/Flue Parts and Accessories/Flue Parts and Accessories.csv -> Vaillant flue support clips 125mm (Pack of 5),,5x support clips,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/89/NW-127989_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_Flue_Installation.pdf,,,,,,,,,,,,,,,,,,,,,
