,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Type,Operating Temperature,Warranty,Hazardous,Approvals,Max Pressure,Material,Operating Pressure,Maximum Operating Temperature,Supplier Product Code,WEEE Compliant,Application,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Boiler Section,Type,Colour,Pack Quantity,Depth (mm),Mains Connection Size and Type,System Connection Size and Type,Display Type,Drain Connection,Feature 12,Feature 13,Feature 14,Feature 15,Finish
0,P597825,Center Potable Shock Arrestor 0.16L 1/2,Center,20.25,"Designed to eliminate the damaging effects and noise of water hammer, the Center CB 0.16L potable water shock arrester is suitable for hot, cold and potable water. Absorbing the wave of pressure before it develops into noisy water hammer, this shock arrester has two sections separated by a rubber diaphragm. One section contains a nitrogen gas cushion under pressure, the other is in contact with the water with the gas cushion absorbing incoming pressure as required.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Center Potable Shock Arrestor 0.16L 1/2,,Flexofit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/25/597825_wm.jpg,G1/2 M,N/A,2 years from Date of Supply (DOS),N,WRAS,10 Bar,Stainless Steel,N/A,90 Degrees,24496,N,Potable Water/DHW,0.18 l,Compact design,Absorbs water hammer to minimise nooise and damage,Suitable for potable water,"Suitable for hot, cold and cooling circuits",3 bar nitrogen pre-charge,Nitrogen filling for longer pre-charge retention,"With 1/2"" BSP male threaded connection",Rolled 304 stainless steel construction,EPDM rubber diaphragm,WRAS approved,2 year warranty from date of supply,,,,,,,,,,,,,,,,,,,
1,P597806,Center CB Potable 24944 potable expansion vessel 18 Litre,Center CB,30.0,"This 18L capacity Center CB Potable Expansion Vessel is built especially for use in domestic hot and cold water sanitary sealed systems or heating and refrigeration circuits. Compliant with all relevant directives and constructed of long lasting aluminium with a robust epoxy finish, the non-flow-through expansion vessel safely accommodates volume increases caused by temperature fluctuations.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Center CB Potable 24944 potable expansion vessel 18 Litre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/07/597804_597807_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ss/el/CenterCB_NitrogenCBHeatPotExpVessel.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_597802-597808_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/CenterCB_ExpVessels_TransportInfo.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_597802-597808_Technical.pdf,,,,,,,,,,,,,,,
2,P597815,Center CB vessel wall mount - Universal,Center CB,10.49,"This Center CB universal vessel mounting kit is suitable for the mounting of most domestic heating and potable expansion vessels from 4L to 25L, attaching securely to a rigid structure, such as a structural wall or joist. With a universal bracket suitable for both welded and crimp ring type vessels, this kit boasts an all-metal construction throughout both wall mount and support band for strong connections that won't shift.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Center CB vessel wall mount - Universal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/15/NW-597815_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_597815_Technical.pdf,,,,,,,,,,,,,,,,,,
3,P597817,"Center CB heating vessel professional fitting kit - 3/4""",Center CB,46.0,"Making installation of heating expansion vessels of up to 25L easy, the Center CB heating vessel professional fitting kit incorporates the Center heating vessel Pro mount. To install, the vessel is simple screwed to the 3/4"" female connection of the sturdy mounting point, and provides a secure and sturdy mounting point with no need for metal bands or crimp ring screws.","Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Center CB heating vessel professional fitting kit - 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/17/NW-597817_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_597817_Technical.pdf,,,,,,,,,,,,,,,,,,
4,P597816,"Center CB heating vessel professional wall mount - 3/4""",Center CB,20.26,"Made of tough, corrosion-resistant steel, this Center CB heating vessel Pro wall mount ensures a secure installation of heating expansion vessels of up to 25L. The vessel screws directly into the 3/4"" female connection of the rigid mount arm with no need for metal bands or crimp ring screws, minimising the need for accessories and making installation quick and frustration-free.","Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Center CB heating vessel professional wall mount - 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/16/NW-597816_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_597816_Technical.pdf,,,,,,,,,,,,,,,,,,
5,P597819,Center Heating 4 Litre Expansion Vessel,Center,27.34,A 4L Center heating expansion vessel.,Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Center Heating 4 Litre Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/23/597819_23_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/597819_Center_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/597819_Center_Instructions.pdf,,,,,,,,,,,,,,,,,
6,P597802,Center Potable 2 Litre Expansion Vessel,Center,33.45,"This 2L capacity Center CB Potable Expansion Vessel is built especially for use in domestic hot and cold water sanitary sealed systems or heating and refrigeration circuits. Compliant with all relevant directives and constructed of long lasting aluminium with a robust epoxy finish, the non-flow-through expansion vessel safely accommodates volume increases caused by temperature fluctuations.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Center Potable 2 Litre Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/03/597802_597803_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ss/el/CenterCB_NitrogenCBHeatPotExpVessel.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_597802-597808_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/CenterCB_ExpVessels_TransportInfo.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_597802-597808_Technical.pdf,,,,,,,,,,,,,,,
7,P597822,Center Heating 18 Litre Expansion Vessel,Center,31.69,A 18L Center heating expansion vessel.,Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Center Heating 18 Litre Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/23/597819_23_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/597822_Center_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/597822_Center_Instructions.pdf,,,,,,,,,,,,,,,,,
8,P597807,Center CB Potable 24945 potable expansion vessel 24 Litre,Center CB,55.76,"This 24L capacity Center CB Potable Expansion Vessel is built especially for use in domestic hot and cold water sanitary sealed systems or heating and refrigeration circuits. Compliant with all relevant directives and constructed of long lasting aluminium with a robust epoxy finish, the non-flow-through expansion vessel safely accommodates volume increases caused by temperature fluctuations.",Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Center CB Potable 24945 potable expansion vessel 24 Litre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/07/597804_597807_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ss/el/CenterCB_NitrogenCBHeatPotExpVessel.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_597802-597808_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/CenterCB_ExpVessels_TransportInfo.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_597802-597808_Technical.pdf,,,,,,,,,,,,,,,
9,P597820,Center Heating 8 Litre Expansion Vessel,Center,27.34,A 8L Center heating expansion vessel.,Heating/Sealed Heating Systems/Expansion Vessels/Expansion Vessels.csv -> Center Heating 8 Litre Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/23/597819_23_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/597820_Center_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/597820_Center_Instructions.pdf,,,,,,,,,,,,,,,,,
