,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Hazardous,Pack Type,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Colour,Volume,Physical State / Form,Feature 9,Feature 10,Feature 11,Feature 12,Range
0,P609939,Center Heating system inhibitor 500ml,Center,5.49,"This high performance Center inhibitor is formulated to protect your heating system from both corrosion and limescale deposits. This 500ml supply will be enough to provide ongoing protection for a typical 100L system, the equivalent of 10 radiators.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Center Heating system inhibitor 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/39/609939_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_609939_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/609939 Safety_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609939_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/25/49/492549.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/609939_Center_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Center_609939_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ci/as/609939_Center_NSF_CIAS.pdf,,,,,,,,,,,,,,,,,,,,,,
1,P604000,Fernox F1 F1 C/Heating Protector 500ml,Fernox,16.26,"Preventing corrosion and limescale in central heating systems, this Fernox F1 Express protector offers high levels of protection through a unique combination of three inhibitors of organic particles. These inhibitors work by simply binding to the metal used in the heating system, protecting from debris while anodic inhibitors react with those surfaces to create a protective layer. Additionally, cathodic inhibitors combine with hard water salts to form an insoluble layer.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Fernox F1 F1 C/Heating Protector 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/00/NW-604000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_56599_ProtectorF1_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Fernox_ConcentrateCH_ProtectorF1_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_56599_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/sd/s9/Alpha_SDS9.pdf,,,,,,,,,,,,,,,,,,,,,,,,
2,P608071,Adey MC1+ central heating protector 500ml,Adey,11.25,"Wave goodbye to the damaging effects of magnetite and other unwelcome deposits with Adey MC1+ protector, supplied in a 500ml bottle. Formulated to prevent wear and tear and the debris that gathers in central heating systems, MC1+ helps to extend your system's lifetime and keep your boiler working at maximum efficiency.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Adey MC1+ central heating protector 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/71/NW-608071_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC1+_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/Adey_MC1+MSDS_V2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P602996,Fernox F1 Express F1 Protector F1 Express 400ml,Fernox,17.85,"Preventing corrosion and limescale in central heating systems, this Fernox F1 Express protector offers high levels of protection through a unique combination of three inhibitors of organic particles. These inhibitors work by simply binding to the metal used in the heating system, protecting from debris while anodic inhibitors react with those surfaces to create a protective layer. Additionally, cathodic inhibitors combine with hard water salts to form an insoluble layer. On top of that, F1 also includes pH buffering, keeping the system water pH level between 6.5 and 8.5, the optimum range for the prevention of corrosion and limescale. It is recommended that concentration levels are checked annually during boiler or system services.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Fernox F1 Express F1 Protector F1 Express 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/96/NW-602996_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_62418_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/602996_Fernox_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/602996_Fernox_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62418_Protector_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
4,P609942,Center Quick Dose inhibitor 300ml,Center,13.75,"Helping to prolong the life of your heating system, Center Quick Dose inhibitor protects from the damage caused by corrosion and limescale deposits. This 300ml supply will be enough to clean a typical 100L system, the equivalent of 10 radiators.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Center Quick Dose inhibitor 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/42/NW-609942_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ci/as/Center_609942_NSF_CIAS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/609942 Safety_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609942_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_609942_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
5,P608100,Sentinel X100 X100 Inhibitor 1Ltr,Sentinel,17.12,"Suitable for use in all types of indirect central heating systems, Sentinel X100 inhibitor, supplied in a 1L bottle, protects clean central heating systems from the damage that can be caused by limescale and corrosion. This inhibitor will helps to maximise efficiency while minimising fuel use and extending the life of your boiler.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Sentinel X100 X100 Inhibitor 1Ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_n/ew/608100_NEW_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X100Liquid_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X100_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Sentinel_X100L_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sentinel_X100Inhibitor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_FastActingCleaner_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_X100_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
6,P503908,Fernox TF1 sigma UB filter installer pack,Fernox,128.26,"An all-in-one pack for cleaning and protection, the Fernox TF1 Sigma UB filter installer pack includes a composite under-boiler filter with brass manifold, 265ml each of Fernox Protector F1 and Fernox Cleaner F3 and an inhibitor test pack. Easy to work with, this complete system helps to clean and protect a central heating system by maintaining the pH of system water, removing problematic contaminants and preventing the build-up of debris and scale.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Fernox TF1 sigma UB filter installer pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/08/503908_wm.jpg,,,,,,,,N,Box,62677,System Filter and Inhibitor,N,Central Heating System Filter and Inhibitor,Easy installation in restricted areas and with concealed pipework,"Treats an average sized UK home of up to 100L, 12x radiators and 190sqm of underfloor heating",Reduced packaging waste and lower environmental impact,Includes 2x test strips Fernox Express Inhibitor test foil pack,Protector provides long-term protection against internal corrosion and limescale,Universal cleaner is fast acting and pH neutral,"Cleaner removes debris, sludge and scale from existing systems",Helps a system to meet BS 7593:2019 and the Benchmark Commissioning Checklist,,,,,,,,
7,P605526,Fernox F range Central Heating Protector F1 10L,Fernox,260.2,"Providing reliable pH buffering as well as protecting against corrosion and limescale, Fernox F1 protector is suitable for use in light commercial and HVAC heating and cooling systems and ensures that water maintains an optimum pH range in mixed-metal systems. Compatible with all other Fernox commercial products, Fernox F1 is safe for use on the materials usually found in heating and cooling systems, including steel and aluminium. For optimum effects, product concentration levels should be checked regularly, topping up as required.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Fernox F range Central Heating Protector F1 10L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/26/NW-605526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_F1_Protector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_F1_Protector_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P609284,Adey MC1+ central heating protector 500ml pack,Adey,10.0,"Wave goodbye to the damaging effects of magnetite and other unwelcome deposits with Adey MC1+ protector, supplied in a 500ml bottle. Formulated to prevent wear and tear and the debris that gathers in central heating systems, MC1+ helps to extend your system's lifetime and keep your boiler working at maximum efficiency.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Adey MC1+ central heating protector 500ml pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/84/NW-609284_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC1+_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/Adey_MC1+MSDS_V2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P292247,Scalemaster Magnetic Gold magnetic inhibitor 15mm Gold,Scalemaster,46.46,"Protecting individual appliances, the Scalemaster Magnetic Gold 15mm limescale inhibitor prevents limescale build-up by influencing the crystal structure of limescale. Harnessing the results of laboratory research, which has shown that the growth of limescale crystals can be affected by a magnetic field, this inhibitor uses magnet technology to adapt forming crystals into needle-shaped aragonite. This aragonite is less damaging than the more commonly seen calcite, and is less likely to stick hard to the surfaces of heat exchangers.",Heating/Water Treatment Products/Central Heating Inhibitors/Central Heating Inhibitors.csv -> Scalemaster Magnetic Gold magnetic inhibitor 15mm Gold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/47/NW-292247_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Scalemaster_MagneticGold_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Scalemaster_Magnetic_Gold_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
