,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Pack Type,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 4,Feature 12,Feature 13
0,PB98715,Monarch Water Midi HE midi HE metered softener,Monarch Water,487.49,"The Monarch Water Midi HE metered water softener metered water softener incorporates free flow valve technology, a high flow rate and reduced salt use.",Heating/Water Treatment Products/Water Softener Systems/Water Softener Systems.csv -> Monarch Water Midi HE midi HE metered softener,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/15/NW-B98715_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Monarchwater_Ultimate_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
1,PB91591,Monarch Water MTS25 tablet water softener 25kg (22),Monarch Water,15.2,"This Monarch water softener salt granular is a food grade salt. It is supplied in a half pallet of 22 packs, each weighing 25kg.",Heating/Water Treatment Products/Water Softener Systems/Water Softener Systems.csv -> Monarch Water MTS25 tablet water softener 25kg (22),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/92/NW-B91591_B91592_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/ULTIMATE_SALT_INFO_SHEET_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/el/ey/PRODUCT_GUIDE_wolseley.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MonarchWater_Salt_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
2,PB98716,Monarch Water Master HE master He metered softener,Monarch Water,741.14,"The Monarch Water Master HE metered water softener incorporates free flow valve technology, a high flow rate and reduced salt use.",Heating/Water Treatment Products/Water Softener Systems/Water Softener Systems.csv -> Monarch Water Master HE master He metered softener,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/16/NW-B98716_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Monarchwater_Ultimate_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
3,PB98754,Monarch Water Scaleout Advance for 22 mm supplies,Monarch Water,339.58,"Supplying 24/7 protection for the whole home, the Monarch Water Scaleout Advance water softener for 22mm supplies prevents scale while supplying fresh, clean, contaminant-free filtered drinking water from each and every tap. Easy to install and maintain, requiring a new filter just once a year, Scaleout Advance is a simple solution to the problems caused by limescale, removing existing scale while also keeping new buildup at bay.",Heating/Water Treatment Products/Water Softener Systems/Water Softener Systems.csv -> Monarch Water Scaleout Advance for 22 mm supplies,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/54/B98754_wm.jpg,,,,Scaleout Advance,N,Single,SA-22,Scale Prevention,N,Suitable for domestic water systems,For domestic water systems,With full installation kit,Anti-microbial filter housing for peace of mind,"Supplies clean, healthy filtered drinking water to all taps","Water is free from chlorine, bad tastes and odours, pesticides, herbicides and organic chemicals",Reduces hot water bills,Easy installation with no drain or power points needed,Increases water flow rates by removing existing scale,Water is clear while scale is prevented,Cartridges are easy to change,Change cartridges once a year,,,
4,PB98445,Monarch Water maxflow hoses for combi boilers,Monarch Water,31.94,The Monarch Water 60cm Maxflow hose maximises flow in pressurised and unvented heating systems.,Heating/Water Treatment Products/Water Softener Systems/Water Softener Systems.csv -> Monarch Water maxflow hoses for combi boilers,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/45/NW-B98445_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/el/ey/PRODUCT_GUIDE_wolseley.pdf,,,,,,,,,,,,,,,,,,,,,,,
5,PB91592,Monarch Water MGS25 granular water softener 25kg (45),Monarch Water,15.15,"This Monarch water softener salt granular is a food grade salt. It is supplied in a pallet of 45 packs, each weighing 25kg.",Heating/Water Treatment Products/Water Softener Systems/Water Softener Systems.csv -> Monarch Water MGS25 granular water softener 25kg (45),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/92/NW-B91591_B91592_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/ULTIMATE_SALT_INFO_SHEET_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/el/ey/PRODUCT_GUIDE_wolseley.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MonarchWater_Salt_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
6,PB98723,Monarch Water Ultimate Ultra HE twin tank duplex series dual power water softener,Monarch Water,745.32,"Supplying twice the contact time for even softer water, the Monarch Water Ultra HE water softener is built with a twin tank duplex Sof'N'Polish system. Using unique resin beads with a large surface area and tablet or block salt, this softener offers a greater capacity per regeneration compared to other resin systems, with Opti-Brining technology reducing waste by regenerating only used resin. For extra efficiency, the Ultra HE has a Customer Protect Programme (CPP) that not only learns and acts on usage patterns to save water and salt, automatically adjusting to BST/GMT time changes, but that also detects leaks, allowing for fast repair action to be taken. Fitting to 15mm or 22mm systems and suitable for combi boilers or pressurised unvented systems, the Ultra HE comes with an installation kit including a Hi-flow Rapid-Fit bypass meaning up to 80% fewer installation components are needed.",Heating/Water Treatment Products/Water Softener Systems/Water Softener Systems.csv -> Monarch Water Ultimate Ultra HE twin tank duplex series dual power water softener,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/23/NW-B98723_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Monarch_Water_UltraPremioHE_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Monarch_Water_UltraPremioHE_Install.pdf,,,,,,,,,,,,,,,,,,,,,,
7,PB98699,Center CB water softener salt tablets bag 25kg,Center CB,24.47,"Bring domestic and small commercial water softeners back to life with Center CB Aquasol water softener salt tablets, formulated to efficiently soften water while treating hard water. Supplied in a 25kg bag, these tablets offer numerous benefits, including the prevention of limescale, which can help your clients to save money on maintenance and extend the life of appliances, showers and hot water and heating systems. Pure and high-quality, these pillow-shaped briquettes are compressed from fine salt and have been designed to minimise breakage and chipping while fully dissolving with no bridging in the salt reservoir.",Heating/Water Treatment Products/Water Softener Systems/Water Softener Systems.csv -> Center CB water softener salt tablets bag 25kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/99/NW-B98699_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/CenterCB_BritishSalt_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Aquasol_BritishSalt_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
8,PB98718,Monarch Water GS6004 HE metered softener,Monarch Water,1009.81,The Monarch GS6004 HE metered water softener incorporates freeflow valve technology and supplies an exceptionally high flow rate.,Heating/Water Treatment Products/Water Softener Systems/Water Softener Systems.csv -> Monarch Water GS6004 HE metered softener,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/18/B98718_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/el/ey/PRODUCT_GUIDE_wolseley.pdf,,,,,,,,,,,,,,,,,,,,,,,
9,PB68698,Bwt Luxury Water WS555 water softener 14ltr,Bwt,770.89,"Developed specifically for use in UK home plumbing systems, BWT Luxury Water softeners are simple to install, highly efficient and fully automatic. Easy to live with, the BWT Luxury Water range incorporates smart water monitoring for better efficiency and control. BWT WS555 is a 14L water softener pack.",Heating/Water Treatment Products/Water Softener Systems/Water Softener Systems.csv -> Bwt Luxury Water WS555 water softener 14ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/98/NW-B68697_B68698_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Liff_WaterSoftner_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/BWT_Product_Guide_2020_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
