,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Range,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 2,Attachment 3,Flow Rate,Voltage (V),Warranty,Phase,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Application,Fuel Type,Seasonal Space Heating Energy Efficiency %,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 4,Connection Type,Diameter,Pressure,Weight,Overheat Protection,Direct / Indirect,Insulation Type,Material,Capacity Litre,Feature 15,Attachment 5,Attachment 6,Output,IP Rating,Mounting Type,BTU h,Connection Size,Energy Efficiency Class,Attachment 7,Style,With Drain Off,Max Pressure,Flow Water Temperature,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Display Type,Number of Channels,Orientation,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Number of Tap Holes,Pack Type,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Amps,Position,Pump Type,Watts,Positive / Neutral / Universal,Twin / Single,Size,Soft Close Seat,Hinge Fixing,Hole Centres,Hinge Material,Approvals,Operating Pressure,Maximum Operating Temperature,Max System Pressure Cold (Bar),Number of Outlets,Number of Spray Patterns,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Manual / Thermostatic,Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Water Entry,Water Heating Energy Efficiency,Cable Entry,Pack Size,Feature 16,Dimensions mm (H x W x D),Feature 17,Feature 18,Feature 19,Water Entry Points
0,P333022,Vokera Excel i 25 20188732 combi boiler only pack,Vokera,420.0,"Exclusively available to Wolseley customers, the Vokera Excel-i 25 combi boiler accepts a 20% hydrogen blend but is also suitable for operation via a methane-hydrogen blend to meet the requirements of imminent network switchovers. Fitted with a large bore stainless steel heat exchanger, this robust 25kW boiler is designed for reduced downtime, operating efficiently and reliably with regular servicing. Thanks to its simple, modern digital user interface, the Excel-i is easy to operate and commission with quick navigation through settings with no need to constantly refer back to the unit's instruction manual.",Offers and promotions/Trade Deals/Trade Deals.csv -> Vokera Excel i 25 20188732 combi boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/43/105642_105643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Vokera_Excel-i_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P333023,Vokera Excel i 30 20188734 combi boiler only pack,Vokera,430.0,"Exclusively available to Wolseley customers, the Vokera Excel-i 30 combi boiler accepts a 20% hydrogen blend but is also suitable for operation via a methane-hydrogen blend to meet the requirements of imminent network switchovers. Fitted with a large bore stainless steel heat exchanger, this robust 30kW boiler is designed for reduced downtime, operating efficiently and reliably with regular servicing. Thanks to its simple, modern digital user interface, the Excel-i is easy to operate and commission with quick navigation through settings with no need to constantly refer back to the unit's instruction manual.",Offers and promotions/Trade Deals/Trade Deals.csv -> Vokera Excel i 30 20188734 combi boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/43/105642_105643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Vokera_Excel-i_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P333888,Vokera Excel standard horizontal flue pack,Vokera,70.0,Vokera offer a wide range of flue systems that are able to meet the majority of applications. There are concentric flue systems and a parallel (twin) flue system that can be used in either horizontal or vertical configurations. All Vokera flue systems incorporate push-fit connections that are designed to enable a fast and simple method of installation.,Offers and promotions/Trade Deals/Trade Deals.csv -> Vokera Excel standard horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/73/127273_wm.jpg,,White/Satin,Excel,N,Flue,CompactEasi-Heat PlusExcelVisionVision Plus,333888 PK,Flue Pack,N,Compatible with Vokera HE domestic boiler ranges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P333630,Vaillant ecoTEC pro 24 combi boiler only,Vaillant,847.0,"The Vaillant ecoTec pro 30 combi boiler is the perfect choice for smaller family homes, providing reliability and performance along with great exterior design. Boasting an ErP A rating, this combi boiler features an ErP modulating Grundfos pump system, which helps to reduce energy waste, saving on fuel bills and, if used alongside the aroTherm air-to-water hybrid pump system, helps families to make the move into renewable energy use too. With a push-fit flue system, removable side panels and intuitive backlit control display the 24kW ecoTec pro is easy to install and service and simple to control.",Offers and promotions/Trade Deals/Trade Deals.csv -> Vaillant ecoTEC pro 24 combi boiler only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/36/146436_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Pro_Brochure.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Vaillant_ecoTEC_Pro_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P333631,Vaillant ecoTEC pro 28 combi boiler only,Vaillant,908.0,"Ideal for smaller family homes, the Vaillant ecoTec pro 28 combi boiler brings together high levels of efficiency with reliability and sleek, contemporary design. Offering a fuel bill saving ErP A rating, this 28kW output combi boiler, featuring an ErP modulating Grundfos pump system, reduces waste and, if used alongside the aroTherm air-to-water hybrid pump system, can help families to make the move into renewable energy use. Installation and service of the ecoTec pro is easy thanks to features such as removable side panels and a push-fit flue system while an intuitive backlit control display makes day-to-day use more than manageable.",Offers and promotions/Trade Deals/Trade Deals.csv -> Vaillant ecoTEC pro 28 combi boiler only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/37/146437_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Pro_Brochure.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Vaillant_ecoTEC_Pro_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P333632,Vaillant ecoTEC pro 30 combi boiler only,Vaillant,946.0,"Combining a simple, sleek design with the reliability and performance customers expect from Vaillant, the ecoTec pro 30 combi boiler is the ideal choice for smaller family homes where efficiency and space saving are key. With an ErP A rating, this combi boiler, featuring an ErP modulating Grundfos pump system, reduces energy waste, saving on fuel bills and, when used alongside the aroTherm air-to-water hybrid pump system, helps families to make the move into renewable energy use. Removable side panels, a push-fit flue system and straightforward backlit control display make the ecoTec pro 30 simple to fit, service and control.",Offers and promotions/Trade Deals/Trade Deals.csv -> Vaillant ecoTEC pro 30 combi boiler only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_p/ro/ecoTEC pro_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Pro_Brochure.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Vaillant_ecoTEC_Pro_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P222021,Grundfos UPS3 circulating pump 1 x 230V 50Hz 9H GB pack,Grundfos,119.0,"Highly efficient, the Grundfos UPS3 15-50/65 130 circulator pump is suitable for use as a universal upgrade and replacement pump, circulating liquids in domestic heating systems. This pump has a user-friendly one button interface for simple, fast set-up, while LEDs indicate actual operating status as well as providing warnings and alarms. Self-venting through the system, UPS3 offers easy commissioning, while the compact design, featuring a pump head with integrated control box, fits into most installations, including boilers, for simple fitting. Maintenance-free, the pump and motor are one integral unit with no a shaft seal, and bearings are lubricated by the pumped liquid.",Offers and promotions/Trade Deals/Trade Deals.csv -> Grundfos UPS3 circulating pump 1 x 230V 50Hz 9H GB pack,,UPS3 pump;Installer plug;2x gaskets;Quick guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/92/NW-105791_105792_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_UPS3_Technical.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_UPS3_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_UPS3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P222024,Grundfos UPS2 UPS2 25-80 circulating pump 180 mm pack,Grundfos,259.0,"The 10 bar rated Grundfos UPS2 circulating pump offers advanced control modes, adjusting pump performance to suit system requirements, whether in one and two-pipe heating systems. Running silently and minimising energy consumption, this pump incorporates compact rotor technology and a permanent magnet motor.",Offers and promotions/Trade Deals/Trade Deals.csv -> Grundfos UPS2 UPS2 25-80 circulating pump 180 mm pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/24/NW-222024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Product_Brochure.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UPS2_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P450193,Archergas® ST15® circulating pump 15-60/130,Archergas®,59.0,"The Archergas® Heating Standard produces a maximum head of just over 6 meters with a standard 1 1/2"" threaded connection. As with all Archergas® circulators, it is fully ERP compliant with an impressive energy efficiency index rating of less than 0.20. The ST15 is a standalone heating circulator with 4 modes of control and a standard 130mm port to port size. The ST15 is suitable for radiators, underfloor heating, cooling, solar, recirculation (non-potable) and air source heat pump systems. It also comes with a 5 year guarantee and can be used as a direct replacement for a large number of other models, some of which are listed as follows: Grundfos - UP, UPS 4m, 5m, 6m, UPSD, UPS2, UPM3 & UPS3, Lowara - Ecocirc, Ecocirc Basic & Premium 25-40 & 25-6 (130), Wilo - Yonos Pico 15/1-6-130, Gold, Gold Star, Gold 50, 60 & RS25, DAB - VA55/130, VA65/130, Evotron 60/130, Evosta 40/70, Circulating Pumps - CP50, CP60 & Myson LA, SD, CP53 & CP63, Salus - MP100A & MP200A, Stuart Turner - ST 15/60 (130), Download the Archerg",Offers and promotions/Trade Deals/Trade Deals.csv -> Archergas® ST15® circulating pump 15-60/130,,"ST15 Pump, supplied with 2 rubber washers",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/_1/450193_1_wm.jpg,,Jet Black,ST15®,N,,,ST15,Domestic Heating Circulator,N,Easy installation,,,65 Litres per minute,230,5 Years,Single,140.7,6m Max Head,IP44,50,Maximum System Pressure 10 Bar,ErP,Easy to use,Large bleed screw,ERP compliant,5 year guarantee,4 modes,Cast iron,Designed in the UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P606686,Sentinel best practice protection pack,Sentinel,75.0,"The Sentinel Best Practice protection pack is a simple, one-pack solution for the effective protection of central heating systems.",Offers and promotions/Trade Deals/Trade Deals.csv -> Sentinel best practice protection pack,,Eliminator Vortex300 filter with 22mm direct fit GRP T-piece;X800 fast acting cleaner 1l;X100 inhibitor 1l,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/86/NW-606686_wm.jpg,,,,N,,,606686 PK,Best Practice Protection Pack,N,Unique Vortex Core with powerful neodymium magnet assembly,,,,,,,,,,,,,Retains more magnetite than other filters,Ensures filter cannot block,Compact filter design,In-line installation and 360° rotating T-piece for reduced space,Unique anti-corrosion formulation with multiple heavy duty inhibitors,Intelligent formulation with pH stabilisers,Reduces circulation time to just 1 hour,Suitable for Central Heating Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
