,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5
0,PV03988,Foster level control switch,Foster,43.0,This Foster 61F-GP-N8 240 VAC floatless level control switch is compatible with a range of refrigerators.,Parts and Spares/Commercial Catering Parts/Refrigeration Parts/Refrigeration Parts.csv -> Foster level control switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/88/NW-V03988_wm.jpg,N,x  x,"DRPRI3TRW MK3,DRP22T,DRPRI2T MK3,DRPRI5T MK3,DRPRI1TRW MK3,DRPRI4T MK3,DRPRI4TRW MK3,DRPRI2TRW MK3,DRPRI6T MK3,DRPRI3T MK3,DRPRI1T MK3",16240133,Switch,N,CommercialDomestic,CE approved,"Suitable for DRP22T, DRPRI1TRW MK3, DRPRI3T MK3 and DRPRI4T MK3","Suitable for DRPRI4TRW MK3, DRPRI1T MK3, DRPRI2T MK3 and DRPRI2TRW MK3","Suitable for DRPRI3TRW MK3, DRPRI5T MK3 and DRPRI6T MK3",,,,,
1,PU73595,Foster steam tank complete,Foster,919.51,This Foster complete steam tank is suitable for use in a range of DRP refrigerators.,Parts and Spares/Commercial Catering Parts/Refrigeration Parts/Refrigeration Parts.csv -> Foster steam tank complete,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/95/NW-U73595_wm.jpg,N,x  x,"DRPRI3TRW MK3,DRPRI2T MK3,DRPRI5T MK3,DRPRI4T MK3,DRPRI4TRW MK3,DRPRI2TRW MK3,DRPRI6T MK3,DRPRI3T,DRPRI3T MK3",00-556240,Steam Tank,N,CommercialDomestic,"Suitable for DRPRI3T MK3, DRPRI4T MK3, DRPRI6T MK3, DRPRI2T MK3 and DRPRI2TRW MK3","Suitable for DRPRI3T, DRPRI3TRW MK3, DRPRI4TRW MK3 and DRPRI5T MK3",,,,,,,
2,PU72952,Fermod strike (for 920/921 fasteners) 57/72mm,Fermod,12.39,This Fermod 52 - 72mm offset strike is suitable for use with 920/921 series fasteners.,Parts and Spares/Commercial Catering Parts/Refrigeration Parts/Refrigeration Parts.csv -> Fermod strike (for 920/921 fasteners) 57/72mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/52/NW-U72952_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fermod_Std_Strikes_920_921_Guide.pdf,,,,
3,PV04051,Foster heater steam tank,Foster,288.51,"This Foster heater steam tank for DRP controllers is suitable for use with DRPRI2TRW MK3, DRPRI3TRW MK3, DRPRI6T MK3, DRPRI2T MK3, DRPRI3T, DRPRI3T MK3, DRPRI4T MK3, DRPRI4TRW MK3 and DRPRI5T MK3 refrigerators.",Parts and Spares/Commercial Catering Parts/Refrigeration Parts/Refrigeration Parts.csv -> Foster heater steam tank,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/51/NW-V04051_wm.jpg,N,x  x,"DRPRI3TRW MK3,DRPRI2T MK3,DRPRI5T MK3,DRPRI4T MK3,DRPRI4TRW MK3,DRPRI2TRW MK3,DRPRI3T,DRPRI6T MK3,DRPRI3T MK3",16240081,Steam Tank,N,CommercialDomestic,,,,,,,,,
4,P685142,Foster humidity sensor (used on DRPPRI2/DRPPRI3),Foster,298.51,This Foster humidity sensor is suitable for DRPPRI2 and DRPPRI3 refrigerators.,Parts and Spares/Commercial Catering Parts/Refrigeration Parts/Refrigeration Parts.csv -> Foster humidity sensor (used on DRPPRI2/DRPPRI3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/42/685142_wm.jpg,N,x  x,,00-570070,Sensor,N,CommercialDomestic,,,,,,,,,
5,PU66945,Fermod automatic composite fastener single point without strike,Fermod,45.79,"Made of steel, this Fermod 520 automatic composite fastener has a single point handle and punch action internal safety device. A standard version, this fastener is suitable for hinged rebated or overlapping doors of 27 - 213mm offset.",Parts and Spares/Commercial Catering Parts/Refrigeration Parts/Refrigeration Parts.csv -> Fermod automatic composite fastener single point without strike,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/45/NW-U66945_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fermod_Std_Fasteners_520_521_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Fermod_A_520_521_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fermod_Resistant_Fasteners_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Fermod_B_520_521_Drawing.pdf,
6,PV03989,Foster relay base 8 pin,Foster,11.5,This Foster eight pin relay base is suitable for a wide range of refrigerators.,Parts and Spares/Commercial Catering Parts/Refrigeration Parts/Refrigeration Parts.csv -> Foster relay base 8 pin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/89/NW-V03989_wm.jpg,N,x  x,"DRPRI3TRW MK3,DRP22T,DRPRI2T MK3,DRPRI5T MK3,DRPRI1TRW MK3,DRPRI4TRW MK3,DRPRI4T MK3,DRPRI2TRW MK3,DRPRI6T MK3,DRPRI3T MK3,DRPRI1T MK3",16240134,Relay Base,N,CommercialDomestic,"Suitable for DRPRI1T MK3, DRPRI2T MK3, DRPRI4TRW MK3 and DRP22T","Suitable for DRPRI1TRW MK3, DRPRI2TRW MK3 and DRPRI3T MK3","Suitable for DRPRI3TRW MK3, DRPRI4T MK3, DRPRI5T MK3 and DRPRI6T MK3",,,,,,
7,PU72960,Fermod cap only (for 621/921 series fasteners) Green,Fermod,10.4,This Fermod mushroom head push cap is suitable for use with 621/921 series fasteners.,Parts and Spares/Commercial Catering Parts/Refrigeration Parts/Refrigeration Parts.csv -> Fermod cap only (for 621/921 series fasteners) Green,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/60/NW-U72960_wm.jpg,N,x  x,,189942,Cap,N,CommercialDomestic,For hinged doors: rebated doors from 27-42mm,Semi-overlapping door 42mm max offset,And overlapping doors,,,,,,
8,PV02709,Foster door seal 623 x 1541mm,Foster,49.5,A Foster 1541 x 623mm full door gasket for use in refrigerated cupboards.,Parts and Spares/Commercial Catering Parts/Refrigeration Parts/Refrigeration Parts.csv -> Foster door seal 623 x 1541mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/09/NW-V02709_wm.jpg,N,x  x,,01-231709-01,Gasket,N,CommercialDomestic,For commercial or domestic use,"Suitable for PROG1350H, PROG600HA - PROG600L, E5084819 and EPROG600L",,,,,,,
9,PU58293,Foster humidity sensor,Foster,668.01,This Foster humidity sensor for DRP controllers is suitable for use with a selection of DRP refrigerators.,Parts and Spares/Commercial Catering Parts/Refrigeration Parts/Refrigeration Parts.csv -> Foster humidity sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/93/NW-U58293_wm.jpg,N,x  x,"DRP22T,DRPRI3TRW MK3,DRPRI2T MK3,DRPRI5T MK3,DRPRI1TRW MK3,DRPRI4TRW MK3,DRPRI4T MK3,DRPRI2TRW MK3,DRPRI6T MK3,DRPRI3T,DRPRI3T MK3,DRPRI1T MK3",16252209,Sensor,N,CommercialDomestic,"Compatible with DRP22T, DRPRI1TRW MK3, DRPRI3T MK3 and DRPRI4T MK3","Compatible with DRPRI4TRW MK3, DRPRI6T MK3, DRPRI1T MK3 and DRPRI2T MK3","Compatible with DRPRI2TRW MK3, DRPRI3T, DRPRI3TRW MK3 and DRPRI5T MK3",,,,,,
