,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Model For Use With,Attachment 4,Attachment 5,For Use With
0,P616413,Daikin Madoka BRC1H52W Wired Remote White,Daikin,110.7,"Easy to use, the highly intuitive Daikin Madoka wired remote control offers an enlarged display and simple touch buttons. This handy remote provides complete control over your indoor climate.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin Madoka BRC1H52W Wired Remote White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/13/NW-616413_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Daikin_BRC1H52_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_2/Daikin_BRC1H52_Installation_2.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Daikin_BRC1H52_Installation_1.pdf,,,,,,,,,,
1,P604946,Daikin 5007896 Printed Circuit Board,Daikin,809.11,This Daikin SEB0798P PCB is a replacement part for use in air conditioning units.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 5007896 Printed Circuit Board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/46/NW-604946_wm.jpg,,,,N,5007896,PCB,N,Control board for VRV,,,,,
2,P604937,Daikin 5017652 Dc Fan Motor (Kfd-325-70-8C2(A)-907) 70W,Daikin,222.15,This Daikin KFD-325-70-8C2(A)-907 DC 70W fan motor is a replacement part for use in air conditioning units.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 5017652 Dc Fan Motor (Kfd-325-70-8C2(A)-907) 70W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/37/604937_wm.jpg,,,,N,5017652,fan motor,N,DC fan motor rating,70W power rating,,,,
3,P609771,Daikin 5009724 Fan Motor 280V 140W,Daikin,348.73,"A Daikin KFD-280-140-8B2 280V, 140W fan motor for use in air conditioning systems.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 5009724 Fan Motor 280V 140W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/71/609771_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,
4,P604936,Daikin 5014878 Wire Harness Inv Fan,Daikin,76.87,A Daikin wire harness invert fan.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 5014878 Wire Harness Inv Fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/36/NW-604936_wm.jpg,,,,N,5014878,Wire harness,N,,,Inverter Fans,,,
5,P604753,Daikin 142417J Fan Motor 566V - 750W,Daikin,883.46,"This Daikin B180-56-857 566V, 750W fan motor is a replacement part for use in air conditioning units.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 142417J Fan Motor 566V - 750W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/53/NW-604753_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,
6,P606924,Daikin FXNQ50A R410A Low Level Indoor Vrv Chassis Unit 50 Class,Daikin,946.0,"Designed for concealed installation inside walls, the Daikin VRV indoor floor-standing air conditioning unit blends discreetly into its surrounding with only its suction and discharge grilles on show, ideal for those settings where space is limited.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin FXNQ50A R410A Low Level Indoor Vrv Chassis Unit 50 Class,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/24/NW-606920_606924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FXNQ-A_4PEN323720-1E_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FXNQ_A_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FXNQ-A_4PEN393318-1C_Install.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FXNQ_Technical.pdf,
7,P609836,Daikin 139863J Fan Blade P70K-11S,Daikin,443.13,This Daikin P70K-11S fan blade is a replacement part suitable for use in Daikin units.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 139863J Fan Blade P70K-11S,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/36/609836_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,
8,P604705,Daikin 1696699 Pcb Pc0209-2,Daikin,620.75,A Daikin PC0209-2 PCB for air conditioning units.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 1696699 Pcb Pc0209-2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/05/NW-604705_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,
9,P604617,Daikin 1992809 Pcb (Ec09093),Daikin,455.51,"The Daikin EC09093 PCB is suitable for use in a wide selection of Daikin units, including those in the FCQG and FXFSP ranges.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Daikin Air Conditioning Spare Parts/Daikin Air Conditioning Spare Parts.csv -> Daikin 1992809 Pcb (Ec09093),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/17/604617_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,
