,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3,Warranty,Model For Use With
0,P697583,Fujitsu VRF UTYRNRYZ5 Touch Screen Remote Controller (1),Fujitsu,121.18,"Easy to operate, this Fujitsu VRF UTYRNRYZ5 remote controller has an intuitive backlit touchscreen. Able to control up to a maximum of sixteen units, this controller provides both weekly and daily time, on/off and mode control.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Fujitsu Air Conditioning Spares/Fujitsu Air Conditioning Spares.csv -> Fujitsu VRF UTYRNRYZ5 Touch Screen Remote Controller (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/83/697583_wm.jpg,1,VRF,N,UTYRNRYZ5,Remote controller,N,Easy finger touch operation with LCD panel,"Built-in weekly/Daily timer(ON/OFF,Temp.,Mode)",Backlight enables easy operation in a darkened room,Room temperature display,Control up to 16 indoor units,"Corresponds to 12 different languages (English, Chinese, French, German, Spanish, Russian, Polish, Italian, Greek, Portuguese, Turkish and Dutch)",2-wire type,,,,,
1,P697578,Fujitsu UTYTFSXW1 Wireless Lan Interface,Fujitsu,94.71,"Requiring no external power supply, this Fujitsu wireless LAN interface for R32 split units provides users with convenient remote management of their AC system using a smartphone or tablet. Suitable for single or multiple units, this clever interface provides error notifications, allowing for fast fixing of potential problems.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Fujitsu Air Conditioning Spares/Fujitsu Air Conditioning Spares.csv -> Fujitsu UTYTFSXW1 Wireless Lan Interface,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/78/NW-697578_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fujitsu_Control_System_Catalogue.pdf,,,,
2,P600634,Fujitsu UTDLFNB Duct Long-Life Filter Kit (For 18/24/30),Fujitsu,49.2,This Fujitsu filter kit is suitable for ARXG 12/14/18/22/24/30/36/45/54 KHTAP and ARYG 12/14/18/24/30/36/45/54 LHTBP air conditioning units.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Fujitsu Air Conditioning Spares/Fujitsu Air Conditioning Spares.csv -> Fujitsu UTDLFNB Duct Long-Life Filter Kit (For 18/24/30),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/34/NW-600634_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_CS_OP_Catalogue_2020.pdf,,,,
3,P660103,Fujitsu UTDRF204 Spigots,Fujitsu,24.6,"This Fujitsu filter kit is suitable for ARXG 22/24/30/36/45 KMLA, ARYG 24/36/45 LMLA, ARYG 30/36 LMLE, ABYG 30/36 LRTE, ABYG 36/45/54 LRTA, ARXP 009/012/ 014/018 GLAH, ARXA 024/030/ 036/045 GLEH and ABYA 030/036/ 045/054 GTEH air conditioning units.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Fujitsu Air Conditioning Spares/Fujitsu Air Conditioning Spares.csv -> Fujitsu UTDRF204 Spigots,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/03/NW-660103_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Fujitsu_AR24_AO24_Tech_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_CS_OP_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fujitsu_UTDRF204_Technical.pdf,,
4,P619008,Fujitsu UTYVDGX Coil Unit For Air Handling Application,Fujitsu,689.72,This Fujitsu AHU DX coil interface for air handling is compatible with the brand's own VRF systems.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Fujitsu Air Conditioning Spares/Fujitsu Air Conditioning Spares.csv -> Fujitsu UTYVDGX Coil Unit For Air Handling Application,,UTY-VDGX and associated sensors required for installation,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/08/619008_wm.jpg,,,N,UTYVDGX,AHU DX Coil interface,N,Includes sensors required for installation,For air handling applications,,,,,,,,,,
5,P618479,Fujitsu VR-II UTPRX01AH Rb Unit A Type,Fujitsu,296.06,This Fujitsu VR-II UTPRX01AH RB single A Type unit is for use with a VRF.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Fujitsu Air Conditioning Spares/Fujitsu Air Conditioning Spares.csv -> Fujitsu VR-II UTPRX01AH Rb Unit A Type,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/79/618479_wm.jpg,,VR-II,N,UTPRX01AH,RB Box,N,Maximum capacity of connectable indoor units: equal to or less than 8kW,,,,,,,,,,3 Years,
6,P674041,Fujitsu UTGUGYAW Perforated Fascia,Fujitsu,137.76,"This Fujitsu 950 x 950mm perforated panorama flow design cassette grille is compatible with AUYG 30/36 LRLE, AUYG 36/45/54 LRLA, AUXD 18/24 GALH and AUXA 18/24/30/36/45/54 GALH units.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Fujitsu Air Conditioning Spares/Fujitsu Air Conditioning Spares.csv -> Fujitsu UTGUGYAW Perforated Fascia,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/41/NW-674041_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_CS_OP_Catalogue_2020.pdf,,,,
7,P619016,Fujitsu UTGUKYCW Circular Flow Grille,Fujitsu,148.69,"This Fujitsu 950 x 950mm circular flow panorama flow design cassette grille in white is compatible with AUXG 18/22/24/30/36/45/54 KRLB, AUXG 18/24/30/36/45/54 LRLB, AUXN 009/012/014 GLAH, AUXM 018/024/030 GLEH and AUXK 018/024/030/034/036/045/054 GLEH units.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Fujitsu Air Conditioning Spares/Fujitsu Air Conditioning Spares.csv -> Fujitsu UTGUKYCW Circular Flow Grille,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/16/NW-619016_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fujitsu_Product_Catalogue_2018.pdf,,,,
8,P600633,Fujitsu UTYLBTYM Infrared Receiver Kit,Fujitsu,210.95,"This Fujitsu air conditioning IR remote control interface receiver kit converts a hard-wired remote control to IR hand remote for control of the ARYG ducted range of units. The IR remote control system allows users to run and stop the unit, switch operations, adjust temperature, fan speed and air flow direction and control timer operation.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Fujitsu Air Conditioning Spares/Fujitsu Air Conditioning Spares.csv -> Fujitsu UTYLBTYM Infrared Receiver Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/33/NW-600633_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_CS_OP_Catalogue_2020.pdf,,,,
9,P685093,Fujitsu UTYRVRY Designer Remote Controller Utyrvry,Fujitsu,318.98,This Fujitsu UTYRVRY Designer remote controller makes controlling a unit easy via an intuitive touchscreen.,Parts and Spares/Cooling Parts/Air Conditioning Parts/Fujitsu Air Conditioning Spares/Fujitsu Air Conditioning Spares.csv -> Fujitsu UTYRVRY Designer Remote Controller Utyrvry,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/93/685093_wm.jpg,,,N,UTYRVRY,Remote controller,N,Touchscreen operation,Compatible with all current models,,,,,,,,,,All current models
