,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Model For Use With,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3
0,P667751,Javac edc ICM.4040.0 inverter phase checker with data flow,Javac,116.47,"The Javac edc inverter phase checker module with data flow is a diagnostic instrument designed to analyse issues in air conditioners. Suitable for use in both installation and maintenance, this testing device indicates whether the inverter and serial communication are functioning correctly, allowing the technician to identify simple faults for faster fixes.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Javac edc ICM.4040.0 inverter phase checker with data flow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/51/NW-667751_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,
1,P654895,"Aspen Pumps Xtra pipe 3/4"" x 2.9mtr Black",Aspen Pumps,5.42,"Made of uPVC, this Aspen Pumps Xtra 15mm overflow pipe is supplied in a 2.9M length. This pipe has a smooth internal finish for a lower coefficient of flow friction, helping to prevent build-up of debris, bacteria and blockages.","Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra pipe 3/4"" x 2.9mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/95/NW-654895_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,
2,P670039,Aspen Pumps Xtra grip lock (Size-4) 80 x 46mm (Pack of 10),Aspen Pumps,43.82,"Ideal for air conditioning line sets, this Aspen Pumps Xtra size 4 grip lock is made of zinc passivated mild steel and is designed to mount to any surface.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra grip lock (Size-4) 80 x 46mm (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/39/NW-670036_670039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Grip_Lock_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,
3,P667577,Aspen Pumps Maxi Lime maxi replacement pack Lime,Aspen Pumps,115.87,"Ideal for large commercial high-wall split units, the Aspen Pumps Maxi Lime replacement condensate removal pump is designed for use with larger units and in humid environments, offering a flow rate of 35L/h. The all-in-one system Maxi Lime elbow pump provides additional power when required.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Maxi Lime maxi replacement pack Lime,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/77/NW-667577_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aspen_Pumps_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aspen_Pumps_Maxi_Lime_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Maxi_Lime_Installation.pdf,,,,,,,,,
4,P667502,"Aspen Pumps Xtra plastic straight connector 3/8"" (Pack of 5)",Aspen Pumps,10.89,This pack of five Aspen Pumps Xtra 10mm straight connectors in black plastic are designed to connect lengths of PVC hose together.,"Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra plastic straight connector 3/8"" (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/03/NW-667502_667503_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Tube-Connector_Tech.pdf,,,,,,,,,,
5,P667503,"Aspen Pumps Xtra plastic straight connector 1/4"" (Pack of 5)",Aspen Pumps,8.27,This pack of five Aspen Pumps Xtra 6mm straight connectors in black plastic are designed to connect lengths of PVC hose together.,"Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra plastic straight connector 1/4"" (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/03/NW-667502_667503_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Tube-Connector_Tech.pdf,,,,,,,,,,
6,P685065,Aspen Pumps Xtra AX6001/2 4 pole isolator 20a,Aspen Pumps,24.82,"Designed for ease of installation, this Aspen Pumps Xtra isolator with electrical rating 230/415 VAC, 20A, 4 pole offers separate back plate with spirit level inbuilt and a removable switch to simplify wiring-in.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra AX6001/2 4 pole isolator 20a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/68/NW-685065_685068_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Isolator_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Isolator_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,
7,P685067,Aspen Pumps Xtra AX6002/2 4 pole isolator 32a,Aspen Pumps,28.62,"Designed for ease of installation, this Aspen Pumps Xtra isolator with electrical rating 230/415 VAC, 32A, 4 pole offers separate back plate with spirit level inbuilt and a removable switch to simplify wiring-in.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra AX6002/2 4 pole isolator 32a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/68/NW-685065_685068_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Isolator_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Isolator_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,
8,P685066,Aspen Pumps Xtra AX6005/2 4 pole isolator 25a,Aspen Pumps,26.08,"Designed for ease of installation, this Aspen Pumps Xtra isolator with electrical rating 230/415 VAC, 20A, 4 pole offers separate back plate with spirit level inbuilt and a removable switch to simplify wiring-in.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra AX6005/2 4 pole isolator 25a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/68/NW-685065_685068_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Isolator_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aspen_Pumps_Isolator_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,
9,P671586,Aspen Pumps Xtra clip stud M10 x 22mm (Pack of 10),Aspen Pumps,16.98,"Made of nylon, this Aspen Pumps Xtra 7/8"" stud clip, suitable for 8 or 10mm studding incorporates a unique ratchet design for fast, easy installation and adjustment.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra clip stud M10 x 22mm (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/86/NW-671586_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Stud_Clip_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,
10,P654897,"Aspen Pumps Xtra pipe 1.1/4"" x 2.9mtr Black",Aspen Pumps,11.82,"Made of uPVC, this Aspen Pumps Xtra 25mm overflow pipe is supplied in a 2.9M length. This pipe has a smooth internal finish for a lower coefficient of flow friction, helping to prevent build-up of debris, bacteria and blockages.","Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra pipe 1.1/4"" x 2.9mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/97/NW-654897_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,
11,P618371,Copeland sensor ambient,Copeland,17.8,This Copeland black ambient sensor is for use in ZX models.,Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Copeland sensor ambient,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/71/NW-618371_wm.jpg,,,,ZX Eazycool,N,ZX,3226865,Sensor,N,Black in colour,,
12,P690857,Javac engineering kit,Javac,1429.21,"This Javac engineering kit includes a 240V ultra recovery unit, a two stage 150LPM vacuum pump, the Tek-Mate 705-202-G1 leak detector, 100kg digital charging scales, a 2V manifold with R22 R407C R410A hose, a Veto Pro AX3506 MC tool bag. It also includes the FD2 twin barrel brazing torch and a 905 digital thermometer. While the lightweight XTR-Ultra recovery unit is ideal for use with CC-141 vacuum pump, the time-saving Tek-Mate leak detector provides fast and accurate detection of leaks spots and the Veto MC keeps everything neatly organised with multiple pockets and a tough design including a waterproof bottom.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Javac engineering kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/57/NW-690857_wm.jpg,,,,,N,,690857 PK,Engineer Kit,N,Recovery unit 8.4kg,Thermometer range -55 to +150°C,5 year warranty on tool bag
13,P697078,"Aspen Pumps Xtra surface mount clips 1.1/4"" Black (Pack of 10)",Aspen Pumps,11.18,"Made of black uPVC, these Aspen Pumps Xtra 1 1/4"" pipe surface mount clips have a smooth internal finish for a lower coefficient of flow friction. This helps to minimise the risk of debris build-up, bacteria and blockages.","Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra surface mount clips 1.1/4"" Black (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/78/NW-697078_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AP_Xtra_Rigid_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/uk/AP_Xtra_BigFoot_Catalogue_UK.pdf,,,,,,,,,,
14,P671592,Aspen Pumps Xtra clip stud M10 x 42mm (Pack of 10),Aspen Pumps,21.52,"Made of nylon, this Aspen Pumps Xtra 1 5/8"" stud clip, suitable for 8 or 10mm studding incorporates a unique ratchet design for fast, easy installation and adjustment.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra clip stud M10 x 42mm (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/92/NW-671592_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Stud_Clip_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,
15,P671576,"Aspen Pumps Xtra stud clip M8 x 1.3/8"" 35mm (Pack of 10)",Aspen Pumps,20.71,"Made of nylon, this Aspen Pumps Xtra 1 3/8"" stud clip, suitable for 8 or 10mm studding incorporates a unique ratchet design for fast, easy installation and adjustment.","Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra stud clip M8 x 1.3/8"" 35mm (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/76/NW-671575_671576_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Stud_Clip_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,
16,P671572,"Aspen Pumps Xtra stud clip M8 x 7/8"" 22mm (Pack of 10)",Aspen Pumps,16.28,"Made of nylon, this Aspen Pumps Xtra 7/8"" stud clip, suitable for 8 or 10mm studding incorporates a unique ratchet design for fast, easy installation and adjustment.","Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Aspen Pumps Xtra stud clip M8 x 7/8"" 22mm (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/72/NW-671571_671572_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aspen_Pumps_Stud_Clip_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,
17,P625697,Charles Austen Pumps MaxiBlue pump temperature sensor,Charles Austen Pumps,158.41,"Ideal for chilled food display cabinets or large air conditioning systems, this Charles Austen Pumps Bluediamond MaxiBlue temperature sensor is a two wire probe with a 14L/Hr flow rate. This sensor reacts when a system is producing water in air conditioning mode, turning the pump on to remove condensate water.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Charles Austen Pumps MaxiBlue pump temperature sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/97/NW-625697_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Charles_Austen_Pumps_A5-BDP_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/BD_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/CharlesAusten_MinMaxiMegaBlue_Instal.pdf,,,,,,,,,
18,P625927,Charles Austen Pumps MicroBlue pump and ducting (FSA pack),Charles Austen Pumps,152.44,"Utilising cutting-edge GYROK technology, the Charles Austen Pumps Bluediamond Microblue pump runs silently and offers the flexibility to be mounted in any orientation, inside or outside an air conditioning unit and operating both wet and dry continuously. This dual voltage pump incorporates thermistor level sensing technology, eliminating the risk of stuck float switches.",Parts and Spares/Cooling Parts/Condensate Pump Parts & Accessories/Condensate Pump Parts & Accessories.csv -> Charles Austen Pumps MicroBlue pump and ducting (FSA pack),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/27/NW-625927_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Charles_Austen_Pumps_BDP_Brochure.pdf,,,,,,,,,,,
