,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Connection Size,Connection Type,Range,Hazardous,Max Pressure,Minimum Operating Temperature,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Attachment 4,Depth (mm),Dimensions (L x W x D),Feature 1,Feature 2,Feature 3,Feature 4,Weight,Operating Temperature,Warranty,Feature 5,Feature 6,Feature 7,Attachment 5
0,PF11306,Pump House SOAKAWAY boiler condensate soak away kit,Pump House,23.75,"Suitable for the removal of condensate where a drain system isn’t available, this Pump House 22/32/40mm condensate boiler soakaway system kit is made of plastic and fitted with simple push-fit connections.",Parts and Spares/Heating Replacement Parts/Central Heating Parts & Accessories/Central Heating Parts & Accessories.csv -> Pump House SOAKAWAY boiler condensate soak away kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/06/NW-F11306_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PH_SOAK-1_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/PH_SOAK-1_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PH_SOAK-1_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,P893032,Altecnic Water Shock Arrestor,Altecnic,55.04,"Suitable for a single outlet such as a tap or a washing machine, this Altecnic shock arrestor can also be used for a small group of services, like a bathroom which is supplied via a manifold. It can be installed in any orientation for ease of siting and is used to minimise the noisy vibrations that occur due to water hammer, an issue that can also cause pipes to split or crack, particularly at their joints, resulting in catastrophic leaks. Maintenance-free, this shock arrestor is designed to be installed close to a tap or valve for maximum effectiveness.",Parts and Spares/Heating Replacement Parts/Central Heating Parts & Accessories/Central Heating Parts & Accessories.csv -> Altecnic Water Shock Arrestor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/32/NW-893032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Altecnic_Hammer_Arrester_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,P893102,Altecnic Robokit Extra 900008 8ltr,Altecnic,246.75,"Easy to install and built to last, the 8L Altecnic Robokit Extra sealed system kit does away with the need to fit feed and vent tanks into a central heating system for a space saving, cost effective solution to home heating. The flexibility of the Robokit makes siting simple, even in challenging homes where space is at a premium.",Parts and Spares/Heating Replacement Parts/Central Heating Parts & Accessories/Central Heating Parts & Accessories.csv -> Altecnic Robokit Extra 900008 8ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/05/893102_893105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Altecnic_RobokitXtrSeldSystemKt_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,P893104,Altecnic Robokit Extra 900018 18ltr,Altecnic,261.74,"Easy to install and built to last, the 18L Altecnic Robokit Extra sealed system kit does away with the need to fit feed and vent tanks into a central heating system for a space saving, cost effective solution to home heating. The flexibility of the Robokit makes siting simple, even in challenging homes where space is at a premium.",Parts and Spares/Heating Replacement Parts/Central Heating Parts & Accessories/Central Heating Parts & Accessories.csv -> Altecnic Robokit Extra 900018 18ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/05/893102_893105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Altecnic_RobokitXtrSeldSystemKt_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
4,P538290,"Altecnic Reflex PVACC1 flowjet valve 3/4""",Altecnic,35.6,"Ensuring continuous flow through a bladder, the Altecnic Reflex 3/4"" flowjet valve minimises the issue of stagnation, helping to maintain the quality of potable water.","Parts and Spares/Heating Replacement Parts/Central Heating Parts & Accessories/Central Heating Parts & Accessories.csv -> Altecnic Reflex PVACC1 flowjet valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/90/538290_wm.jpg,,,,3/4,Male X Female BSP,Reflex,N,10,0,70,PVACC1,Flowjet Valve,N,,,,,,,,,,,,,,
5,P597789,Center CB Flexcon veskit fittings Type-A 4-25ltr,Center CB,69.37,"A sealed system mounting and component kit, the Center CB Flexcon Type A veskit contains a range of components, from filling loop to safety relief valve and connection manifold for the straightforward installation of Center CB brand expansion vessels.",Parts and Spares/Heating Replacement Parts/Central Heating Parts & Accessories/Central Heating Parts & Accessories.csv -> Center CB Flexcon veskit fittings Type-A 4-25ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/89/597789_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_o/&m/Flexcon Top O&M.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P893031,Altecnic Robofil Automatic Filling Loop with Pressure Reducing Valve,Altecnic,155.42,"Fill sealed systems from the cold water mains with this easy to use Altecnic Robofil auto-fill loop, supplied complete with PRV. Fully compliant with water regulations, this part is a useful addition to your sealed system.",Parts and Spares/Heating Replacement Parts/Central Heating Parts & Accessories/Central Heating Parts & Accessories.csv -> Altecnic Robofil Automatic Filling Loop with Pressure Reducing Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/31/893031_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Altecnic_Plumbing_Heating_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Altecnic_Robofil_F-Loop_Installation.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_Plumbing_Heating_Brochure.pdf,,,,,,,,,,,,,
7,P893030,Altecnic Robokit Sealed System Kit,Altecnic,128.98,"Easy to install, this Altecnic Robokit sealed system kit does away with the requirement to feed and vent tanks, reduces ongoing maintenance and improves siting options. Containing all components required for a sealed system, from a filling loop to mounting bracket, this kit makes installation straightforward.",Parts and Spares/Heating Replacement Parts/Central Heating Parts & Accessories/Central Heating Parts & Accessories.csv -> Altecnic Robokit Sealed System Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/30/893030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Altecnic_Plumbing_Heating_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Altecnic_RobokitXtrSeldSystemKt_Tech.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_Plumbing_Heating_Brochure.pdf,,,,,,,,,,,,,
8,P422141,Altecnic Eres sealed system kit with vessel 12ltr,Altecnic,69.12,"This Altecnic Eres 12L sealed system kit is made up of a 12L expansion vessel, filling loop and a safety relief valve with gauge. Also included is a mounting bracket for ease of installation.",Parts and Spares/Heating Replacement Parts/Central Heating Parts & Accessories/Central Heating Parts & Accessories.csv -> Altecnic Eres sealed system kit with vessel 12ltr,,"Vessel, SRV, Gauge, Filling Loop, 4 Way Fitting ;Bracket",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/41/422141_wm.jpg,,,,,,Eres,N,,,,ER-12LTKIT,Sealed System Kit,N,,304,388 x 304 x 271 mm,Includes expansion vessel,With filling loop and safety relief valve with gauge,Supplied complete with mounting bracket,,,,,,,,
9,P894077,Altecnic RoboShock Compression Shock Arrestor 15mm - 0.16ltr,Altecnic,34.34,"Easy and quick to install, the Altecnic RoboShock shock arrester has a 15mm compression connection, meaning that no additional threaded fitting is required. Made of robust stainless steel, this shock arrester provides a safe solution for the damaging and noisy issue of water hammer.",Parts and Spares/Heating Replacement Parts/Central Heating Parts & Accessories/Central Heating Parts & Accessories.csv -> Altecnic RoboShock Compression Shock Arrestor 15mm - 0.16ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/77/894077_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Altecnic_RoboShock_Vessel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Altecnic_Plumbing_Heating_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_Plumbing_Heating_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
