,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Depth (mm),Feature 1,Part Gas Council number,For Use With,Model For Use With,Boiler Section,Boiler Range,Feature 2,Feature 3,Attachment 1
0,P761149,Valor spark generator,Valor,44.7,"This Valor 5122420 spark generator is suitable for a wide selection of appliances, including those in the Icon, Dream and Visage ranges. A spark generator and spark electrode are part of a boiler's pilot assembly, used when generating a spark to ignite the pilot burner. This assembly is operated by an electronic control, usually via the user control panel but sometimes, particularly with older boilers, the pilot must be ignited manually.",Parts and Spares/Heating Replacement Parts/Gas & Electric Fire Replacement Parts/Fire Spares/Fire Spares.csv -> Valor spark generator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/49/NW-761149_wm.jpg,N,x  x,"B,Black Beauty Fireslide Model 348,Heritage Model 954FS,Heritage Model 942FS,Brava Fireslide Mahogany Model 348,Gallery - Solaris Model 961,Brava Fireslide Teak Model 348,Gallery - Solaris Model 953,Brava Fireslide Oak Model 348,Gallery - Lunar Model 961",X-5122420,SPARK GENERATOR,N,,,,,,,,,,
1,P470446,Magiglo PIL0257 pilot assembly,Magiglo,52.3,A Magiglo PIL0257 pilot assembly.,Parts and Spares/Heating Replacement Parts/Gas & Electric Fire Replacement Parts/Fire Spares/Fire Spares.csv -> Magiglo PIL0257 pilot assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/46/NW-470446_wm.jpg,N,,,PIL0257,Pilot Assembly,N,85,120 x 120 x 85mm,,,,,,,,
2,P410246,Valor 3002988 pilot unit,Valor,53.25,"This Valor 3002988 pilot unit is suitable for a variety of appliances, including those in the Visage, Dream and Icon ranges.  The pilot is the flame used to ignite gas entering the main burner. Gas is released into the burner via the gas valve when an appliance is switched on and ignited to begin the heating process. The pilot flame and printed circuit board (PCB) work together to make sure ignition is safe and efficient.",Parts and Spares/Heating Replacement Parts/Gas & Electric Fire Replacement Parts/Fire Spares/Fire Spares.csv -> Valor 3002988 pilot unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/46/NW-410246_wm.jpg,N,,"Aspect Glass Model 958,Portland Mod,Soraya Model 747,Bolero Model 957,Soraya Model 746,Bolero Model 741,Elegant Fireslide Model 953,Arc Model 759,Bolero Model 941,Anthem Model 941,Alpha Fireslide Model 750FS,Anthem Model 746,Elegant Fireslide Model 750FS",X-3002988,Pilot Unit,N,100,"Compatible with: Visage 940, Visage 940, Icon 940, Dream 942, Dream 942, Dream 942, Obsession 940, Icon 940, Dream 940, Dream 940, Dream 940, Eternal 940, Eternal 940, 940 Engine, Decadent 940, Decadent 940, Heritage 942, Opulent 942, Opulent 942, Heritage 942, Obsession 953, Decadent 953, Decadent 953, Dream 953, Dream 953, Dream 953, Eternal 953, Eternal 953, Dream 961, Dream 961, Dream 961, Harmony 961, Harmony 961, Harmony 961, Majestic 939, Gallery 939, Gallery 939, SPanish Basket 939, SPanish Basket 939, New Vision 940, Trueflame 940, Barelo 940, Trueflame 940, Barelo 940, Trueflame 940, Trueflame 940, Trueflame 940, Trueflame 940, FCF 940, Adorn 940, 940 Engine, Bolero 941, Dream 941, Petrus 941, Bolero 941, Petrus 941, Blenheim 941, SonNet 941, Camden-Seattle 941, Victorian 941, Anthem 941, Minima 941, Prelude 941, Westminster 941, Anthem 941, Westminster 941, Dream 941, Dream 941, 951 Engine, FCF 953, Gallery 953, 953 Engine, Willoughby 954, Gallery 955, 955 Engine, Seattle 956, Homeflame 956, Blenhe",H02339,,,,,,,
3,P761211,Valor 5121755 micro switch,Valor,17.49,"This Valor 512755 microswitch can be used in a variety of units including those in the Icon, Obsession, Decadent and Visage ranges.",Parts and Spares/Heating Replacement Parts/Gas & Electric Fire Replacement Parts/Fire Spares/Fire Spares.csv -> Valor 5121755 micro switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/11/NW-761211_wm.jpg,N,,"Dream Homeflame Gold Model 963,Dream Fireslide Model 953,Dream Homeflame Chrome Model 963,Heritage Model 942FS,Elegant Fireslide Model 953,Dream Model 942FS,Dream Homeflame Black Model 961,Gallery - Lunar Model 961,Brooklyn Model 954FS,Decadent Model 940",X-5121755,Microswitch,N,170,"Compatible with: Visage 940, Visage 940, Icon 940, Dream 942, Dream 942, Dream 942, Obsession 940, Icon 940, Dream 940, Dream 940, Dream 940, Eternal 940, Eternal 940, 940 Engine, Decadent 940, Decadent 940, Heritage 942, Opulent 942, Opulent 942, Heritage 942, Obsession 953, Decadent 953, Decadent 953, Dream 953, Dream 953, Dream 953, Eternal 953, Eternal 953, Dream 961, Dream 961, Dream 961, Harmony 961, Harmony 961, Harmony 961, New Vision 940, Trueflame 940, Barelo 940, Trueflame 940, Barelo 940, Trueflame 940, Trueflame 940, Trueflame 940, Trueflame 940, FCF 940, 940 Engine, FCF 953, Gallery 953, 953 Engine, Willoughby 954, Masquerade 961, Masquerade 961, Excelsior 961, Excelsior 961, Trueflame 961, Trueflame 961, Trueflame 961, Bauhaus 961, Trueflame 961, Gallery 961, Petrus 961, Bauhaus 961, Bauhaus 961, Bauhaus 961, Petrus 961, FCF 961, Ebony 961, Bloomsbury 961, Classica 961, New Vision 961, 961 Engine, Farringdon 961, Dream 963, Dream 963, Dream 963, Petrus 963, Petrus 963, Bauhaus 963, Bauhaus 963,",,,,,,,,
4,P761140,Valor 5121753 interrupter block-thermocouple,Valor,18.1,"This Valor 5121753 interrupter block thermocouple is suitable for a variety of appliances, including those in the Heritage Model, Brooklyn and Decadent ranges.  Made of two metals, each producing a slight electrical charge when heated on one side, the thermocouple is involved in the opening and closing of an appliance's gas valve.",Parts and Spares/Heating Replacement Parts/Gas & Electric Fire Replacement Parts/Fire Spares/Fire Spares.csv -> Valor 5121753 interrupter block-thermocouple,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/40/NW-761140_wm.jpg,N,,"Heritage Model 954FS,Heritage Model 942FS,Luxor Model 954FS,Dream Model 942FS,Envy Model 954FS,Obsessio,Gallery - Lunar Model 961,Dream Homeflame Gold Model 961,Dream Homeflame Black Model 963,Brooklyn Model 954FS,Moonlight Model 954FS,Decadent Model 940",X-5121753,Interrupter Block-Thermocouple,N,170,"Compatible with: Visage 940, Visage 940, Icon 940, Dream 942, Dream 942, Dream 942, Obsession 940, Icon 940, Dream 940, Dream 940, Dream 940, Eternal 940, Eternal 940, 940 Engine, Decadent 940, Decadent 940, Heritage 942, Opulent 942, Opulent 942, Heritage 942, Obsession 953, Decadent 953, Decadent 953, Dream 953, Dream 953, Dream 953, Eternal 953, Eternal 953, Dream 961, Dream 961, Dream 961, Harmony 961, Harmony 961, Harmony 961, New Vision 940, Trueflame 940, Barelo 940, Trueflame 940, Barelo 940, Trueflame 940, Trueflame 940, Trueflame 940, Trueflame 940, FCF 940, 940 Engine, FCF 953, Gallery 953, 953 Engine, Willoughby 954, Masquerade 961, Masquerade 961, Excelsior 961, Excelsior 961, Trueflame 961, Trueflame 961, Trueflame 961, Bauhaus 961, Trueflame 961, Gallery 961, Petrus 961, Bauhaus 961, Bauhaus 961, Bauhaus 961, Petrus 961, FCF 961, Ebony 961, Bloomsbury 961, Classica 961, New Vision 961, 961 Engine, Farringdon 961, Dream 963, Dream 963, Dream 963, Petrus 963, Petrus 963, Bauhaus 963, Bauhaus 963,",,,,,,,,
5,P409961,Parts 061707 deaerator,Parts,17.64,"This automatic air vent is a spare part for use in the pump section of Vaillant VCWF, VKS, VUW, VU, VUI, VM, VMW, VMI, VCF, VC, VUWT4 and VSC appliances.  A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Heating Replacement Parts/Gas & Electric Fire Replacement Parts/Fire Spares/Fire Spares.csv -> Parts 061707 deaerator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/61/409961_wm.jpg,N,,,40663,Air Vent,N,,,263935,"180, 240, 240ESO24, 242ESO24, 280, INT 306, INT 356, 242, 243, 254, 246, 466, 656, 200/2-5 R1, 200/2-5 R3, 200-5, 240/2-3, 280/2-3 R1, 280/2-5, 280/2-5 R1, 280/2-5 R3, 280-5, 202 2-5, 202-5, 240 2-5, 240 2-5 R1, 240 2-5 R3, 240-5, 242 2-5, 242 2-5 R1, 24","180, 240, 240ESO24, 242ESO24, 280, INT 306, INT 356, 242, 243, 254, 246, 466, 656, 200/2-5 R1, 200/2-5 R3, 200-5, 240/2-3, 280/2-3 R1, 280/2-5, 280/2-5 R1, 280/2-5 R3, 280-5, 202 2-5, 202-5, 240 2-5, 240 2-5 R1, 240 2-5 R3, 240-5, 242 2-5, 242 2-5 R1, 24",Pump,"COMBIcompact VCW (conventional flue), ecoMAX VU (condensing), ecoMAX VUW (condensing), Pump, THERMOcompact VU (fan-assisted), TURBOmax VUW (fan-assisted), VC-VCW (conventional flue), aquaPLUS VUI (fan-assisted), COMBIcompact VCW (fan-assisted), ecoTEC VU",,,
6,P458070,Robinson Willey thermocouple,Robinson Willey,23.28,A Robinson Willey thermocouple.,Parts and Spares/Heating Replacement Parts/Gas & Electric Fire Replacement Parts/Fire Spares/Fire Spares.csv -> Robinson Willey thermocouple,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/70/NW-458070_wm.jpg,N,x  x,,X-SP822183,Thermocouple,N,,"The Robinson Willey fire suites provide a simple, one-box fire solution. Robinson Willey is part of the UK division of the Glen Dimplex Group, with a strong heritage dating back decade in manufacturing heating and domestic appliance products",,,,,,,,
7,P473092,Valor oxypilot,Valor,108.22,A Valor 540979 replacement oxypilot.,Parts and Spares/Heating Replacement Parts/Gas & Electric Fire Replacement Parts/Fire Spares/Fire Spares.csv -> Valor oxypilot,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/92/NW-473092_wm.jpg,N,x  x,"Exquisite Model 756,Coalflame Model Br 627,Azure Model 639,Co,Limousin Model Br 627,Superflame Turbochim Model Br 517R,BGC2 Model Br658,BGC1 Model Br657,Elegant Model 622,Bolero Model Br 626,Blenheim Powerflue Model 660,Adorn Model Br 622,Adorn Model 622",X-0540979,Oxypilot,N,,"Compatible with Anthem BR660, Ultimate BR517R and Ultimate BR517S",393945,,,,,"Compatible with Quantum BR644VA, British Gas BR657 and Cosyflame Hearthmaster",Compatible with Dream 641 and Intimate 639,
8,P424262,Valor 579099 pilot unit,Valor,108.22,"This Valor 579099 pilot unit is for use in Regency 4 Radiant 347, Brava 4 Radiant Teak 347, Charm 4 Radiant Mahogany 347, Charm 4 Radiant Teak 347, Esquire 4 Oxysafe Electronic 347, Firelite 4 Radiant 347, Churchill Oxysafe 340 and Black Beauty 4 Radiant 347 gas fires.  A pilot assembly normally includes a pilot bracket, injector, electrode and thermocouple. The pilot flame ignites gas entering the boiler's main burner via the gas valve when the system is switched on. The pilot flame operates alongside the printed circuit board (PCB) and the rest of the pilot assembly for safe and efficient ignition.",Parts and Spares/Heating Replacement Parts/Gas & Electric Fire Replacement Parts/Fire Spares/Fire Spares.csv -> Valor 579099 pilot unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/62/NW-424262_wm.jpg,N,,"Firelite 4 Radiant Model 347,Esquire 4 Oxysafe Electronic Model 347,Charm 4 Radiant Mahogany Model 347,Churchill Oxysafe Model 340,Regency 4 Radiant Model 347,Charm 4 Radiant Teak Model 347,Brava 4 Radiant Teak Model 347,Black Beauty 4 Radiant Model 347",X-0579099,Pilot Unit,N,170,"Suitable for Firelite 347 and Elec 347, Black Beauty 340 and Regency 337",E75671,,,,,"Suitable for Inspire 500 FS, 500 RC, 600 FS, 600 RC, 800 FS and 800 RC",,
9,P473456,Valor micro switch,Valor,16.61,"This Valor 540959 microswitch is suitable for use in a variety of appliances. The microswitch reacts to certain stimuli by performing a predetermined action, for example a microswitch in a hydraulic diverter valve will turn on in reaction to a connected tap being turned. The microswitch communicates the need for further hot water to the PCB (printed circuit board), which in turn initiates the hot water sequence. Various types of microswitch are available and should be chosen based on their intended location and the mechanism they are involved in.",Parts and Spares/Heating Replacement Parts/Gas & Electric Fire Replacement Parts/Fire Spares/Fire Spares.csv -> Valor micro switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/56/NW-473456_wm.jpg,N,x  x,"Coalflame Model Br 627,Superflame Fireslide Br,B,Heritage Model 741FS,BGC1 Model Br657,Superflame Fireslide Brva,Elegant Model 622,Decadent Model 740FS,Heritage Model 748FS,Limousin Model Br 627,Elegant Fireslide Model 750FS",X-0540959,Microswitch,N,,Compatible with Black Beauty 348. Brava 348 and Adorn 940 and 740,393940,,,,,"Compatible with British Gas BR657, Decadent 740, Dream 641, Icon 622 and Visage 740",,
