,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Diameter,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3
0,PC50190,"Nabis sink basket strainer waste 3 1/2"" Stainless Steel",Nabis,10.49,This Nabis sink basket strainer waste is made of stainless steel.,"Parts and Spares/Plumbing Parts and Spares/Kitchen Plumbing Parts/Kitchen Plumbing Parts.csv -> Nabis sink basket strainer waste 3 1/2"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/90/C50190_wm.jpg,White/Stainless Steel,113.52 mm,N,Stainless Steel,3.1/2,WSB02WS,Sink Basket Strainer Waste,N,"Includes sink basket strainer waste, aperture and flange",Stainless steel,"3 1/2"" size",White body,2 year warranty,,,
1,PC50270,"Wirquin long/solid sink waste 1 1/2"" Chrome Plated",Wirquin,11.03,A Wirquin long/solid sink waste with chrome finish.,"Parts and Spares/Plumbing Parts and Spares/Kitchen Plumbing Parts/Kitchen Plumbing Parts.csv -> Wirquin long/solid sink waste 1 1/2"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/70/NW-C50270_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Macdee_Brassware_Brochure.pdf,,
2,PC50268,"Wirquin long/slotted sink waste 1 1/2"" Chrome Plated",Wirquin,9.11,A Wirquin long/slotted sink waste with chrome finish.,"Parts and Spares/Plumbing Parts and Spares/Kitchen Plumbing Parts/Kitchen Plumbing Parts.csv -> Wirquin long/slotted sink waste 1 1/2"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/68/NW-C50268_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Macdee_Brassware_Brochure.pdf,,
3,PB09103,Nabis WUK02 spare cartridge (Pack of 2),Nabis,3.93,"Nabis valve is used with B08914/B08915/B08918/B08923/B08927 monobloc kitchen tap, B08926 swan neck kitchen tap and B08929 mono pull out kitchen tap. Bathroom is special, it is where going to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The Nabis bathroom collection offers a complete collection of bathroom products allowing to design that perfect space.",Parts and Spares/Plumbing Parts and Spares/Kitchen Plumbing Parts/Kitchen Plumbing Parts.csv -> Nabis WUK02 spare cartridge (Pack of 2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/03/NW-B09103_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09103_Line_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09103_Engineering_Drawing.pdf
4,PB09116,Nabis WUK23 spare aerator,Nabis,1.0,"Nabis flow straightener is used with B08926 swan neck kitchen tap, B08928 mono side control kitchen tap and B08915/B08923/B08925/B08927 monobloc kitchen tap. Bathroom is special, it is where going to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The Nabis bathroom collection offers a complete collection of bathroom products allowing to design that perfect space.",Parts and Spares/Plumbing Parts and Spares/Kitchen Plumbing Parts/Kitchen Plumbing Parts.csv -> Nabis WUK23 spare aerator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/16/NW-B09116_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09116_Line_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09116_Engineering_Drawing.pdf
5,PB09143,* NAB SPARE TAP CONNECTOR FOR B08922,Nabis,1.58,"Nabis braided connector is used with B08922 single lever pull out kitchen tap. Bathroom is special, it is where going to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The Nabis bathroom collection offers a complete collection of bathroom products allowing to design that perfect space.",Parts and Spares/Plumbing Parts and Spares/Kitchen Plumbing Parts/Kitchen Plumbing Parts.csv -> * NAB SPARE TAP CONNECTOR FOR B08922,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/43/NW-B09143_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09143_Engineering_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09143_Line_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf
6,PB09115,* NAB SPARE HANDLE WUK21,Nabis,6.27,"Nabis handle assembly is used with B08926 swan neck kitchen tap, B08927 monobloc kitchen tap and B08929 mono pull out kitchen tap. Bathroom is special, it is where going to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The Nabis bathroom collection offers a complete collection of bathroom products allowing to design that perfect space.",Parts and Spares/Plumbing Parts and Spares/Kitchen Plumbing Parts/Kitchen Plumbing Parts.csv -> * NAB SPARE HANDLE WUK21,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/15/NW-B09115_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09115_Line_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09115_Engineering_Drawing.pdf
7,PB09133,* NAB SPARE AERATOR WUK53,Nabis,1.17,"Nabis flow straightener is used with B08920/B08917 kitchen tap. Bathroom is special, it is where going to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The Nabis bathroom collection offers a complete collection of bathroom products allowing to design that perfect space.",Parts and Spares/Plumbing Parts and Spares/Kitchen Plumbing Parts/Kitchen Plumbing Parts.csv -> * NAB SPARE AERATOR WUK53,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/33/NW-B09133_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09133_Line_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09133_Engineering_Drawing.pdf
8,PB09129,* NAB SPARE AERATOR FOR B08921,Nabis,2.85,"Nabis flow straightener is used with B08921 traditional French style mono kitchen tap. Bathroom is special, it is where going to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The Nabis bathroom collection offers a complete collection of bathroom products allowing to design that perfect space.",Parts and Spares/Plumbing Parts and Spares/Kitchen Plumbing Parts/Kitchen Plumbing Parts.csv -> * NAB SPARE AERATOR FOR B08921,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/29/NW-B09129_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09129_Engineering_Drawing.pdf,
9,PB09117,* NAB SPARE AERATOR FOR B08924,Nabis,8.35,"Nabis flow straightener is used with B08924 lever pull out kitchen tap. Bathroom is special, it is where going to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The Nabis bathroom collection offers a complete collection of bathroom products allowing to design that perfect space.",Parts and Spares/Plumbing Parts and Spares/Kitchen Plumbing Parts/Kitchen Plumbing Parts.csv -> * NAB SPARE AERATOR FOR B08924,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/17/NW-B09117_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09117_Engineering_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_B09117_Line_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf
