,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3
0,P693428,Danfoss SGP SGP10N sight glass male 24 x 3mm,Danfoss,34.8,"Made of brass, this Danfoss SGP10N sight glass with 3/8"" flare connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/sub_categories/Sight Glasses/Sight Glasses.csv -> Danfoss SGP SGP10N sight glass male 24 x 3mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/28/NW-693428_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf
1,P693424,Danfoss SGP SGP10N sight glass male 25 x 4mm,Danfoss,32.1,"Made of brass, this Danfoss SGP10N sight glass with 3/8"" flare connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/sub_categories/Sight Glasses/Sight Glasses.csv -> Danfoss SGP SGP10N sight glass male 25 x 4mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/26/NW-693423_693426_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf
2,P693429,Danfoss SGP SGP12N sight glass male 24 x 3mm,Danfoss,37.5,"Made of brass, this Danfoss SGP12N sight glass with 1/2"" flare connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/sub_categories/Sight Glasses/Sight Glasses.csv -> Danfoss SGP SGP12N sight glass male 24 x 3mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/29/NW-693429_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf
3,P693423,Danfoss SGP SGP6N sight glass male 25 x 4mm,Danfoss,29.1,"Made of brass, this Danfoss SGP6N sight glass with 1/4"" flare connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/sub_categories/Sight Glasses/Sight Glasses.csv -> Danfoss SGP SGP6N sight glass male 25 x 4mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/26/NW-693423_693426_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf
4,P693432,Danfoss SGP SGP10SN sight glass male 25 x 4mm,Danfoss,34.8,"Made of brass, this Danfoss SGP10SN sight glass with 3/8"" solder connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/sub_categories/Sight Glasses/Sight Glasses.csv -> Danfoss SGP SGP10SN sight glass male 25 x 4mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/32/NW-693432_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf
5,P693431,Danfoss SGP SGP6SN sight glass male 25 x 4mm,Danfoss,33.9,"Made of brass, this Danfoss SGP6SN sight glass with 1/4"" solder connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/sub_categories/Sight Glasses/Sight Glasses.csv -> Danfoss SGP SGP6SN sight glass male 25 x 4mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/31/NW-693431_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf
6,P693427,Danfoss SGP SGP6N sight glass male 24 x 3mm,Danfoss,33.9,"Made of brass, this Danfoss SGP6N sight glass with 1/4"" flare connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/sub_categories/Sight Glasses/Sight Glasses.csv -> Danfoss SGP SGP6N sight glass male 24 x 3mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/27/NW-693427_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf
7,P693425,Danfoss SGP SGP12N sight glass male 25 x 4mm,Danfoss,34.8,"Made of brass, this Danfoss SGP12N sight glass with 1/2"" flare connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/sub_categories/Sight Glasses/Sight Glasses.csv -> Danfoss SGP SGP12N sight glass male 25 x 4mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/26/NW-693423_693426_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf
8,P693434,"Danfoss SGP SGP16SN sight glass male 5/8""",Danfoss,48.71,"Made of brass, this Danfoss SGP16SN sight glass with 5/8"" solder connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/sub_categories/Sight Glasses/Sight Glasses.csv -> Danfoss SGP SGP16SN sight glass male 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/34/NW-693434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf
9,P693433,Danfoss SGP SGP12SN sight glass male 28 mm,Danfoss,37.5,"Made of brass, this Danfoss SGP12SN sight glass with 1/2"" solder connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/sub_categories/Sight Glasses/Sight Glasses.csv -> Danfoss SGP SGP12SN sight glass male 28 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/33/NW-693433_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf
