,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Attachment 2,Colour,Range,Warranty,Output,Range For Use With,Feature 1,Attachment 3,Attachment 4,Feature 2,Pack Quantity,Feature 3,Feature 4,For Use With
0,P111717,Baxi 824 combi 2 with free flue pack,Baxi,949.99,TBC,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 824 combi 2 with free flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/94/333494_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,
1,P111718,Baxi 830 combi 2 with free flue pack,Baxi,1049.99,TBC,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 830 combi 2 with free flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/94/333494_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,
2,P111719,Baxi 836 combi 2 with free flue pack,Baxi,1174.99,TBC,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 836 combi 2 with free flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/94/333494_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,
3,P788942,Baxi expansion vessel,Baxi,68.99,"A Baxi replacement part, this expansion vessel is compatible with Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, Main Eco, Main Eco Elite, Main Eco Elite ErP, Apollo, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium and Titanium ErP boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/42/788942_wm.jpg,N,"24 HE, 24 HE A, 24 HE LPG, 28 HE, 28 HE A, 28 HE LPG, 33 HE, Duo-tec 24 Combi ErP, Duo-tec 28 Combi ErP, Duo-tec 28 LPG Combi ErP, Duo-tec 33 Combi ErP, Duo-tec 40 Combi ErP, 15 HE A System, 15 HE System, 18 HE A System, 18 HE A System LPG, 18 HE System,",Pump,"Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, Main Eco, Main Eco Elite, Main Eco Elite ErP, Apollo, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium, Titanium ErP",H28989,"Megaflo System ErP 28,24 HE,Megaflo,Megaflo System ErP 18,28 HE A System,18 HE A System,32 HE A System,Duo-tec 24 Combi ErP,24HE A,Megaflo 18 System IE ErP,Duo-tec 28 LPG Combi ErP,18 HE System,24 HE System,33 HE,15 HE A System,Megaflo 15 System IE ErP",5114691,Expansion Vessel,N,,,,,,,,,,,,,,,
4,P427563,Baxi 20 plate heat exchanger kit,Baxi,90.71,"A Baxi heat exchanger intended for use with Baxi Platinum ErP, Gold ErP, Promax ErP and Titanium ErP boilers. The heat exchanger transfers heat from a boiler's burner to water within a heating system. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 20 plate heat exchanger kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/63/427563_wm.jpg,N,"Platinum 24 Combi ErP, Platinum 28 Combi ErP, Platinum 33 Combi ErP, Platinum 40 Combi ErP, Gold Combi ErP 24, Gold Combi ErP 28, Gold Combi ErP 28 LPG, Gold Combi ErP 33, Promax Combi ErP 24, Promax Combi ErP 28, Promax Combi ErP 33, Titanium 24 Combi E",Heat Exchanger,"Platinum ErP, Gold ErP, Promax ErP, Titanium ErP",740674,"Promax Combi ErP 33,Gold,Platinum 24 Combi ErP,Gold Combi ErP 28,Gold Combi ErP 33,Gold Combi ErP 24,Platinum 40 Combi ErP,Platinum 33 Combi ErP,Titanium 40 Combi ErP,Titanium 33 Combi ErP,Titanium 24 Combi ErP,Platinum 28 Combi ErP,Titanium 28 Combi ErP",7223558,Heat Exchanger,N,,,,,,,,,,,,,,,
5,P795675,Baxi fan,Baxi,161.46,"This Baxi branded fan is for use in Baxi Bermuda HE, Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum +, Platinum ErP, Main Eco, Main Eco Elite, Main Eco Elite ErP, Apollo, Gold, Gold ErP, Promax, Promax ErP, Titanium and Titanium ErP boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly. As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/75/795675_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Duo-tec_Combi_ErP_Installation.pdf,,,,,,,,,,,,,,
6,P400298,Baxi motor including clip Black/White,Baxi,42.99,"A genuine Baxi spare part, this motor can be fitted in Baxi 600 Range, Baxi 800 Range, Duo-tec, Duo-tec 2, Duo-tec ErP, EcoBlue, EcoBlue ErP, Platinum +, Platinum ErP, Main Eco Compact, Main Eco Elite ErP, Assure Range, Gold, Gold ErP, Promax, Promax ErP, Promax Ultra ErP, Titanium and Titanium ErP boilers. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi motor including clip Black/White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/98/400298_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Duo-tec_Combi_ErP_Installation.pdf,,,,,,,,,,,,,,
7,P446999,Baxi 3 way valve cartridge,Baxi,54.26,"This Baxi valve cartridge is suitable for use in Duo-tec ErP, Promax ErP, Titanium ErP, Platinum ErP, Gold ErP and Platinum + appliances.  A directional water device in combi boilers, a diverter valve directs hot water into either a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 3 way valve cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/99/446999_wm.jpg,N,"Duo-tec 40 Combi ErP, Promax Combi ErP 28, Titanium 40 Combi ErP, Duo-tec 24 Combi ErP, Platinum 28 Combi ErP, Platinum 33 Combi ErP, Gold Combi ErP 24, Promax Combi ErP 24, Promax Combi ErP 33, Duo-tec 28 LPG Combi ErP, Platinum 24 Combi ErP, Titanium 2",Diverter Valve,"Duo-tec ErP, Promax ErP, Titanium ErP, Platinum ErP, Gold ErP, Platinum +",740746,"Titanium 24 Combi ErP,Duo-tec 28 LPG Combi ErP,Gold Combi ErP LPG 28,Duo-tec 33 Combi ErP,Platinum 24 Combi ErP,Gold Combi ErP 33,Duo-tec 24 Combi ErP,Gold Combi ErP 24,Platinum 33 Combi ErP,Platinum 40 Combi ErP,Platinum 28 Combi ErP,Promax Combi ErP 24",7656807,Valve Cartridge,N,,,,,,,,,,,,,,,
8,P439534,Baxi 5112380 printed circuit board,Baxi,177.68,"This printed circuit board is an official Baxi part designed for Main Combi/Combi HE, Main HE, Performa, Combi and System IE boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi 5112380 printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/34/439534_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_105_Installation.pdf,,,,,,,,,,,,,,
9,P795464,Baxi PCB combi/system,Baxi,228.44,"A genuine Baxi part, this printed circuit board is for Baxi 100, Duo-tec 2 and Megaflo 2 boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Baxi Boiler Parts/Baxi Boiler Parts.csv -> Baxi PCB combi/system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/64/795464_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Duo-tec_Combi_GA_Installation.pdf,,,,,,,,,,,,,,
