,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Pack Quantity,For Use With,Attachment 2,Attachment 3,Attachment 4,Range
0,P442109,Glow-worm printed circuit board replacement kit,Glow-worm,212.99,"This Glow-worm printed circuit board replacement kit is designed for use in British Gas, CXI, HXI and SXI boilers. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.   Manufacturer Part Number: 2000802731  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm printed circuit board replacement kit,,PCB & installation guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/09/442109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_SXI_18_30_Installation.pdf,,,,,,,,,,,,,,,,,
1,P443714,Glow-worm 0020020744 expansion vessel,Glow-worm,101.31,"A replacement Glow-worm expansion vessel for Eden, Micron, Ultracom, CXI, Flexicom and SXI boilers. A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.   Manufacturer Part Number: 0020020744  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020020744 expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/14/443714_wm.jpg,,N,"Sb, 50FF, 30CXi, 24CXI, 18SX, 30FF, 40FF, 18SXi, 30CXI, 38CXI, 35CX, 30FF, 18SXI, 30SXi, 38CXi, 30SX, 40FF, 30SXI, 24CX, 30CX, 30CX, 24CXi, Cb, 60FF, 24CX, 50FF, 60FF",Expansion Vessel,"Eden, Micron, Ultracom, CXI, Flexicom, SXI",H42742,"24CX,35CX,30SXI,50FF,60FF,40FF,30CX,38CXI,30FF,24CXI,Sb,18SXI,30CXI,30SX,18SX,Cb",0020020744,Expansion Vessel,N,,,,,,,,
2,P443703,Glow-worm sensor,Glow-worm,32.72,"A Glow-worm pressure switch sensor for the control panel in Betacom, Flexicom, Ultrapower, Easicom, Miscellaneous, Ultracom and Ultimate units. Pressure switches control internal water, gas and air pressure inside a boiler or closed system.   Manufacturer Part Number: 0020079644  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/03/443703_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_Ultimate_C_Installation.pdf,,,,,,,,,,,,,,,,,
3,P443755,Glow-worm flue duct front assembly,Glow-worm,49.06,"This Glow-worm flue duct part is a front assembly part suitable for use in Flexicom, British Gas and Ultimate units.  Product features •Suitable for use with Flexicom, British Gas and Ultimate appliances •Flue duct outlet lower moulding only  Manufacturer Part Number: 0020020718",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm flue duct front assembly,,Flue duct outlet lower moulding,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/55/443755_wm.jpg,,N,"24HX, 30CX, 35CX, 12HX, 18HX, 15HX, 18SX, BG330+, 24CX, 24H, 30HX, 30SX, 35HX",Flue,"Flexicom, British Gas, Ultimate",H42740,"18HX,24CX,35CX,15HX,24HX,30CX,35HX,12HX,24H,BG330,30SX,30HX,18SX",0020020718,Duct Front Assembly,N,"Suitable for use with Flexicom, British Gas and Ultimate appliances",Flue duct outlet lower moulding only,,,,,,
4,P442261,Glow-worm heat exchanger door seal,Glow-worm,28.28,"This Glow-worm door seal is a spare part for the heat exchanger of CXI, HXI, Ultimate, Ultracom, Ultracom2, Betacom, Easicom, Eden, Energy, Xtramax, SXI, Ultrapower and British Gas appliances. The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems. Seals are designed to prevent leaks of water or harmful gases as they move through the boiler.   Manufacturer Part Number: 801635  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm heat exchanger door seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/61/442261_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_Easicom_Installation.pdf,,,,,,,,,,,,,,,,,
5,P443730,Glow-worm valve,Glow-worm,172.66,"This Glow-worm diverter valve is an official spare for Ultracom, Ultrapower and Flexicom boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/30/443730_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_Ultracom_cxi_Installation.pdf,,,,,,,,,,,,,,,,,
6,P443717,Glow-worm main printed circuit board,Glow-worm,248.12,"This Glow-worm brand printed circuit board is compatible with Flexicom, Ultracom and Ultimate boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm main printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/17/443717_wm.jpg,,N,"12HX, 15HX, 18SX, 30HX, 35HX, 18HXi, 24CXi, 24HXi, 30CXi, 18HX, 35CX, 38CXi, 24CX, 18SXi, 24H, 12HXi, 15HXi, 30CX, 38HXi, 24HX, 30SX, 30CX, 30SXi, 24CX, 30HXi",Control Panel,"Flexicom, Ultracom, Ultimate",H42783,"18HX,24CX,35CX,30SXI,15HX,24HX,30CX,35HX,38CXI,12HX,24H,24CXI,24HXI,18SXI,30CXI,12HXI,30SX,30HXI,30HX,18SX,38HXI,15HXI,18HXI",0020023825,Printed Circuit Board,N,,,,,,,,
7,P410633,Glow-worm expansion vessel 10L,Glow-worm,156.55,"A genuine Glow-worm spare part, this expansion vessel is suitable for use in Betacom, Essential, Ultimate 3, Ultracom2, Home, Ultimate, Easicom, Energy, Sustain, Energy 7, MicraCom, Ultimate 2 and Energy 2 boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm expansion vessel 10L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/33/410633_wm.jpg,,N,"Betacom 2 24, Betacom 3 30C, Betacom 4 30C, 28c, Ultimate 3 25s, Ultimate 3 35c, 12 SXi, Betacom 4 24C, 24c, 25s, 35C, 30 CXi, Betacom 2 28, Easicom 3 28c, 12s, 15s, 25s, 24c P, 25c, 25c, 35 CXi, 18s, 25c, 24c, 30C, 35c, Ultimate 3 30c, Easicom 2 28, Eas",Expansion Vessel,"Betacom, Essential, Ultimate 3, Ultracom2, Home, Ultimate, Easicom, Energy, Sustain, Energy 7, MicraCom, Ultimate 2, Energy 2",H82934,"Betacom 2 24,35C,25 S,24C,30SXI,30C,Betacom 3 30C,Easicom 3 25s,Betacom 3 24C,Betacom 28A,Ultimate 3 30c,18 S,15s,18SXI,Betacom 4 30C,30CXI,Betacom 24A,Easicom 28,Easicom 2 24,Ea,Betacom 4 24C,Betacom 2 28,Easicom 24,Easicom 2 28",0020097328,Expansion Vessel,N,,,,,,,,
8,P467650,Saunier Duval safety valve,Saunier Duval,14.86,"A Saunier Duval safety relief valve for C-CI, Easicom, Energy 2, Energy 7, Essential, Home, SXI, Ultimate 3, Ultracom, Ultracom2, Themaclassic, Energy, Miscellaneous, SI, Sustain, Ultimate 2, Thema, Themaplus, Flexicom, Eden, Betacom, CXI, Ultrapower, Enviroplus, Isofast, Isotwin and Xtramax boilers. This Saunier Duval/Glow Worm boiler pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.   Manufacturer Part Number: 0020047005  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Saunier Duval safety valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/50/467650_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/SD_Duotwin_Condens_F30_Parts_List.pdf,,,,,,,,,,,,,,,,,
9,P442270,Glow-worm syphon,Glow-worm,41.24,"This Glow-worm condense siphon kit is suitable for use in HXI, Ultracom, SXI, British Gas, CXI and Eden boilers.  The condensate trap holds discharge that accumulates in the primary heating or cooling system caused by changes in pressure and temperature. A discharge pipe connected to the condensate trap sends held water out of the property. This pipe is ordinarily made of plastic that can withstand the low levels of acid present due to CO2 from the combustion process dissolving in the water.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm syphon,,Siphon and connection hose,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/70/442270_wm.jpg,,N,"15HXI, 38HXI, 12HXi, 30SXI, 18HXi, 24CXi, 30CX, 30HXi, BG330, 24HXI, 30HXI, 24HXi, 38CXI, 18SXI, 38HXi, 30CXI, 24CX, 30SXi, 38CXi, 24CXI, 12HXI, 15HXi, 18SXi, Cb, Sb, Vb, 18HXI, 30CXi",Hydraulics,"HXI, Ultracom, SXI, British Gas, CXI, Eden",H31160,"24CX,30SXI,30CX,38CXI,BG330,24CXI,Vb,24HXI,Sb,18SXI,30CXI,12HXI,30HXI,38HXI,15HXI,18HXI,Cb",0020013711,Condense Syphon Kit,N,,,,,,,,
