,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,By Model Number,Feature 1,Attachment 2,For Use With,Attachment 3,Feature 2,Feature 3,Range,Pack Quantity,Dimensions mm (H x W x D),Application
0,P468492,Ideal ignition electrode,Ideal,18.99,"An ignition electrode kit suitable for Ideal's Exclusive, Logic, Logic+, Procombi, Keston C, Keston Combi, Classic, Esprit, iCombi, Independent, Morco, Atlantic, I-mini, Instinct and Keston System boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal ignition electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/92/468492_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Logic+_Combi_24-30-35_Install.pdf,,,,,,,,,,,,,,,,,,,
1,P468476,Ideal fan kit,Ideal,140.99,"This fan kit is a genuine Ideal spare part for Classic, Esprit, I-mini, Independent, Logic, Procombi, Atlantic, Instinct, Logic+, Morco, Keston System, Exclusive, iCombi, Keston Combi and Keston C boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal fan kit,,Fan Kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/76/468476_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Logic+_Combi_24-30-35_Install.pdf,,,,,,,,,,,,,,,,,,,
2,P797090,Ideal gas valve kit 24V,Ideal,77.0,"An official Ideal part, this gas valve kit is suitable for Esprit, Independent, Instinct, Logic, Logic+, Exclusive, iCombi, Keston Combi, Atlantic, Classic, I-mini and Keston System boilers.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal gas valve kit 24V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/90/797090_wm.jpg,,N,"Eco 2 35, + Combi 35, 2 24, Code Combi ESP1 26, Code Combi ESP1 33, Max Heat H 30, System S 24, + Heat H 12, + System S 24, Exclusive 2 30, i2 24, i2 30, ESP1 24, Max Combi C 30, Max System S 24, System S 30, + C 24, + C 30, + System S 15, Combi C 35, Sy",Gas Assembly,"Esprit, Independent, Instinct, Logic, Logic+, Exclusive, iCombi, Keston Combi, Atlantic, Classic, I-mini, Keston System",n/a,179032,Gas Valve Kit,N,,,,,,,,,,,
3,P468547,Ideal diverter valve cartridge,Ideal,120.67,"This Ideal diverter valve cartridge is compatible with I-mini, Logic, Independent, Logic+, Keston C and Keston Combi boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal diverter valve cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/47/468547_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Logic+_Combi_24-30-35_Install.pdf,,,,,,,,,,,,,,,,,,,
4,P412934,Ideal expansion vessel kit,Ideal,113.25,"This Ideal expansion vessel kit is a spare part for use in Independent, Logic, Logic+, I-mini, Keston System and Keston Combi boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal expansion vessel kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/34/412934_wm.jpg,,N,"Combi 30, System 15, System S 15, 30, C 24, Code Combi ES 38, E 24, E 35, System 15, System S 15, + System 18, I-mini 30, 0, + Combi 24, System 18, Code Combi ESP1 38, ES 30, ESP 30, 35, System S 30, I-mini C 24, C30, System 24, ESP 24, Max Combi C 24, S",Expansion Vessel,"Independent, Logic, Logic+, I-mini, Keston System, Keston Combi",J22371,177540,Expansion Vessel Kit,N,"System 30 IE,C30,System S 24,35,C35,System S 18,Code Combi ESP1 38,ES 35,System 18,E 30,Code Combi ESP1 33,I-mini 30,Code Combi 26,System 24 IE,System 24,Code Combi 33,ESP 30,ESP 24,Code Combi ES 26,Code Combi 38,30,ES 30,+ System",,,,,,,,,,
5,P483391,Ideal combi sump and system,Ideal,60.26,"An Ideal sump and cover replacement kit for Atlantic, Classic, Esprit, Exclusive, I-mini, Independent, Logic, Logic+, Keston C, Keston Combi, Instinct, iCombi, Procombi, Morco and Keston System boilers.  This kit replaces parts that isolate the mildly acidic discharge that can build up in a primary system.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal combi sump and system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/91/483391_wm.jpg,,N,,Fan Combustion Chamber,"Atlantic, Classic, Esprit, Exclusive, I-mini, Independent, Logic, Logic+, Keston C, Keston Combi, Instinct, iCombi, Procombi, Morco, Keston System",H90077,175896,,N,,,,,,,,,,,
6,P468470,Ideal 175562 gas valve kit,Ideal,292.14,"An official Ideal part, this gas valve kit is suitable for Classic, Independent, Logic, Logic+, Exclusive, Instinct, Keston Combi, Procombi, Keston C, Esprit, I-mini, Keston System, Morco and iCombi boilers.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 175562 gas valve kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/70/468470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Logic+_Combi_24-30-35_Install.pdf,,,,,,,,,,,,,,,,,,,
7,P468494,Ideal ignitor unit,Ideal,32.49,"An Ideal ignitor unit for the spark generator section of Esprit, Independent, Instinct, Logic, Logic+, Procombi, Keston Combi, Keston Heat, Evomax, Exclusive, iCombi, Keston C, Classic, Evomod, Keston System, Morco and I-mini boilers. This part is supplied with 2x screws.  A spark generator and spark electrode are part of a boiler's pilot assembly, used when generating a spark to ignite the pilot burner. This assembly is operated by an electronic control, usually via the user control panel but sometimes, particularly with older boilers, the pilot must be ignited manually.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal ignitor unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/94/468494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Logic+_Combi_24-30-35_Install.pdf,,,,,,,,,,,,,,,,,,,
8,P468462,Ideal 175551 expansion vessel kit,Ideal,151.36,"This Ideal expansion vessel kit is a spare part for use in Logic, Logic+, I-mini, Independent and Keston C boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal 175551 expansion vessel kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/62/468462_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Logic+_Combi_24-30-35_Install.pdf,,,,,,,,,,,,,,,,,,,
9,P483425,Ideal prv kit,Ideal,60.17,"A genuine Ideal pressure relief valve kit for fitting in Atlantic, Exclusive, Independent, Instinct, Logic, Logic+, Morco, Vogue, iCombi, I-mini, Keston System, Classic, Esprit, Keston Combi and Procombi boilers.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Ideal Boiler Parts/Ideal Boiler Parts.csv -> Ideal prv kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/25/483425_wm.jpg,,N,"Atlantic 35, Exclusive 24, C35, Combi 35, 2 30, 24, C 35, Max System S 30, System 24, + System 15, + System 24, + System 30, GB 30, C26 Gen 2, Max Combi 26, Max Combi 32, Max System 32, Exclusive 2 24, i30, I-mini 30, 0, + Combi 24, + Combi 30, System 18",Gas Assembly,"Atlantic, Exclusive, Independent, Instinct, Logic, Logic+, Morco, Vogue, iCombi, I-mini, Keston System, Classic, Esprit, Keston Combi, Procombi",n/a,176610,Pressure Relief Valve Kit,N,"24,Code Combi ESP1 38,i30,I-mini 30,Code Combi ESP1 33,System 24,Code Combi 33,Exclusive 35,S,ESP 35,Code Combi 38,System S 30,30,ESP1 30,C30,C 24,35,System S 15,Code Combi ESP1 26,System 18,ES 35,i24,System 24 IE,Combi 24,ESP 24,ESP1 35,ES 30",,,,,,,,,,
