,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Range,Feature 1,Feature 2,Warranty,By Model Number,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Operating Temperature,Voltage (V),Phase,Frequency,Attachment 2,Attachment 3,Pack Quantity,Application,Output (W)
0,P796914,"Anglo Nordic Mectron oil line mectron 1/4""m elbow x 3/8""f straight x 900mm",Anglo Nordic,12.61,"This 900mm long Anglo Nordic Mectron oil hose with ozone protection is approved for use with biofuel blends up to B21. Tough and flexible, this hose has a 1/4"" male 90° elbow x 3/8"" female straight connection.","Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic Mectron oil line mectron 1/4""m elbow x 3/8""f straight x 900mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/14/796914_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,P464988,Anglo Nordic replacement biofuel filter element with seals,Anglo Nordic,5.55,An Anglo Nordic replacement biofuel filter element with seals.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic replacement biofuel filter element with seals,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/88/NW-464988_wm.jpg,,N,x  x,2408121,Filter Element,N,,,,,,,,,,,,,,,,,,,
2,P796913,"Anglo Nordic Mectron oil line new mectron 1/4""m elbow x 1/4""f straight x 900mm",Anglo Nordic,12.1,"This 900mm long Anglo Nordic Mectron oil hose with ozone protection is approved for use with biofuel blends up to B21. Tough and flexible, this hose has a 1/4"" male 90° elbow x 1/4"" female straight connection.","Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic Mectron oil line new mectron 1/4""m elbow x 1/4""f straight x 900mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/13/796913_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
3,P464987,Anglo Nordic 19489 biofuel filter complete 3/8'' Green,Anglo Nordic,17.91,"With a unique patented drip-free design, this Anglo Nordic 3/8"" biofuel oil filter is a high-performance alternative to Crosland-style heating oil filters. Containing a 10 micron particle filter, this in-line filter prevents contamination from reaching a boiler. The Anglo Nordic bowl filler features a smart internal structure to allow for loosening of the securing bolt with no oil flowing down the shaft, making it easy to empty the bowl and element into the oil collection pan without spillage.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic 19489 biofuel filter complete 3/8'' Green,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/87/NW-464987_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Anglo_Nordic_Oil_Filter_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,P796916,"Anglo Nordic oil line 1/4""m elbow x 3/8""f straight x 600mm",Anglo Nordic,12.71,"This 600mm long Anglo Nordic Mectron oil hose with ozone protection is approved for use with biofuel blends up to B21. Tough and flexible, this hose has a 1/4"" male 90° elbow x 3/8"" female straight connection.","Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic oil line 1/4""m elbow x 3/8""f straight x 600mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/16/796916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
5,P797316,Anglo Nordic Oil Engineers Test Equipment oil pressure and vacuum test kit,Anglo Nordic,115.47,"Offering precision use, this Anglo Nordic oil pressure and vacuum test kit makes set-up, testing and commissioning of oil burner pressure simple.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic Oil Engineers Test Equipment oil pressure and vacuum test kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/16/797316_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/797316_Anglo Nordic_Leaflet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
6,P464986,Anglo Nordic 18489 biofuel filter complete 1/4'' Green,Anglo Nordic,17.91,"With a unique patented drip-free design, this Anglo Nordic 1/4"" biofuel oil filter is a high-performance alternative to Crosland-style heating oil filters. Containing a 10 micron particle filter, this in-line filter prevents contamination from reaching a boiler. The Anglo Nordic bowl filler features a smart internal structure to allow for loosening of the securing bolt with no oil flowing down the shaft, making it easy to empty the bowl and element into the oil collection pan without spillage.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic 18489 biofuel filter complete 1/4'' Green,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/86/NW-464986_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Anglo_Nordic_Oil_Filter_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
7,P448533,Nu-Way Betaflex booster belt (B),Nu-Way,43.38,This Nuway Betaflex PU11 840 x 20mm booster belt B is compatible with the GB3160/GB3500 booster.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Nu-Way Betaflex booster belt (B),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/33/NW-448533_wm.jpg,,N,x  x,G28017X,Booster Belt,N,Betaflex,Reliable design,For GB3160 and GB3500 boosters,,,,,,,,,,,,,,,,
8,P797868,Riello 20030953 Pump Rdb Bio(To B10 Mix),Riello,114.45,"Used in oil-fired boilers, this Riello RDB biodiesel fuel pump is suitable for blends up to B10 mix. It is supplied with numerous safety features for peace of mind.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Riello 20030953 Pump Rdb Bio(To B10 Mix),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/68/797868_wm.jpg,,N,,87186893420,Fuel Pump,N,,Safety is based on a innovative system with oil cut-off valve normally open,So during pre-ventilation phase there’s no pressure in the hydraulic circuit,1 year,"Heatslave II 12/18 External,Heatslave II 18/25 External,Heatslave II 12/18,Heatslave II 25/32 External,Heatslave II 25/32,Heatslave II 18/25",This allow a great safety and to avoid the continuous ignition sparking during pre-ventilation so reducing electromagnetic interferences,,,,,,,,,,,,,
9,P456917,Anglo Nordic Apollo ultrasonic oil level tank gauge,Anglo Nordic,128.95,"The Anglo Nordic Apollo ultrasonic oil level tank gauge not only reads the oil level but sends it to an indoor receiver for easy record keeping. With a line of sight of up to 150M, this gauge incorporates a lithium battery for a probe working life of five years.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Oil Parts/Oil Parts.csv -> Anglo Nordic Apollo ultrasonic oil level tank gauge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/17/NW-456917_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
