,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Fuel Type,Range,Hazardous,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Depth (mm),Attachment 3,Feature 4,Part Gas Council number,Boiler Section,Pack Quantity,Weight,Attachment 4
0,P797355,Andrews heat exchanger,Andrews,2287.51,"This Andrews brand heat exchanger is designed for use in CWH and LCWH appliances. The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews heat exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/55/NW-797355_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
1,P797367,Andrews controller,Andrews,825.88,"This Andrews control panel is suitable for use on a range of Andrews CWH and LCWH units. The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/67/NW-797367_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
2,P798796,Andrews hot surface igniter,Andrews,185.31,"A genuine Andrews spare, this hot surface igniter is designed for use in the brand's CWH and LCWH units. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews hot surface igniter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/96/NW-798796_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
3,P797365,Andrews fan,Andrews,381.79,"A genuine Andrews part, this fan is suitable for CWH and LCWH range boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/65/NW-797365_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
4,P706549,Andrews complete primary pump,Andrews,243.91,"This Andrews complete primary pump is a genuine brand spare for CWH and LCWH models. The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews complete primary pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/49/NW-706549_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
5,P797366,Andrews gas valve,Andrews,330.67,"This Andrews gas valve for natural gas is suitable for the brand's CWH and LCWH appliances. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/66/NW-797366_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Andrews_Maxxflo_WaterHeaters_Install.pdf,,,,,,,,,,,,,,,,,,,
6,P797354,Andrews ionisation rod,Andrews,147.31,This Andrews ionisation rod is suitable for use in the brand's CWH and LCWH appliances.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews ionisation rod,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/54/NW-797354_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
7,P706538,Andrews master board enable,Andrews,816.28,"This Andrews master PCB is compatible with CWH and LCWH appliances. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews master board enable,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/38/NW-706538_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
8,P797144,Andrews spark ignition control,Andrews,391.36,"This Andrews spark ignition control is suitable for installation in RFF190 B or RFF280 B boilers. A spark generator and spark electrode are part of a boiler's pilot assembly, used when generating a spark to ignite the pilot burner. This assembly is operated by an electronic control, usually via the user control panel but sometimes, particularly with older boilers, the pilot must be ignited manually.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews spark ignition control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/44/NW-797144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_RFF_190-280_Installation.pdf,,,,,,,,,,,,,,,,,,,
9,P761165,Andrews pump,Andrews,500.0,"This Andrews replacement pump is a genuine part for the brand's CWH and LCWH units. The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Water Heater Parts and Accessories/Water Heater Parts and Accessories.csv -> Andrews pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/65/NW-761165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,
