,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Pack Quantity,Depth (mm),Warranty,Attachment 4
0,PA05105,Center H0112 tap reviver metal head 1/2 (1 pair),Center,7.99,"An easy update for old or broken taps, this pack of two Center CB 1/2"" basin tap revivers with metal heads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Center H0112 tap reviver metal head 1/2 (1 pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/05/A05105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/ad/A05105 TDS Center tap reviver metal head.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05105 - Data Sheet.pdf,,,,,,,,,,,,,,,,
1,PA05103,Center H5112 tap reviver lever head 1/2 (1 pair),Center,11.56,"An easy update for old or broken taps, this pack of two Center CB 1/2"" basin tap revivers with metal heads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Center H5112 tap reviver lever head 1/2 (1 pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/03/A05103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05103 - Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/ad/A05103 TDS Center tap reviver lever head.pdf,,,,,,,,,,,,,,,,
2,PD77154,"Bristan Spares hot and cold quarter turn taps with 1/2"" ceramic disc valves 8 x 24mm (Pair)",Bristan,18.97,"A pair of Bristan replacement quarter turn, 1/2"" hot and cold tap valves.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Spares hot and cold quarter turn taps with 1/2"" ceramic disc valves 8 x 24mm (Pair)",,2x valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/54/NW-D77154_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,
3,PC92752,"Ideal Standard Trevi thermostatic tap cartridge 3/4""",Ideal Standard,160.59,"An Ideal Standard Trevi 3/4"" thermostatic cartridge.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Trevi thermostatic tap cartridge 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/52/NW-C92752_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,
4,PD77157,Bristan Spares copper tap tails M10 x 265mm (Pair),Bristan,13.91,A pair of Bristan M10 x 265mm copper tails for QST BAS C taps.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Spares copper tap tails M10 x 265mm (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/57/NW-D77157_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,
5,PC93248,"Ideal Standard Sensorflow 21 solenoid valve complete 1/2""",Ideal Standard,108.62,"A complete Ideal Standard Sensor flow 21 1/2"" solenoid valve.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Sensorflow 21 solenoid valve complete 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/48/NW-C93248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_ASH_Sensorflow_Install.pdf,,,,,,,,,,,,,,,,
6,PD32483,"Ideal Standard Armitage internal quarter turn tap ceramic disc 1/2""",Ideal Standard,54.3,"This Ideal Standard Armitage 1/2"" on/off quarter anti-clockwise turn ceramic disc flow cartridge is designed for taps and shower valves.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Armitage internal quarter turn tap ceramic disc 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/83/NW-D32483_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,
7,PC11864,Bristan Spares single sequence cartridge for mini valve,Bristan,119.7,A Bristan replacement cartridge for TFP3002 shower panel and kit.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Spares single sequence cartridge for mini valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/64/NW-C11864_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_SK971006_Spares_Drawing.pdf,,,,,,,,,,,,,,,,,
8,PD77180,Bristan Trinity copper tap tails M12 x 265mm (Pair),Bristan,13.91,A Bristan Trinity pair of copper tap tails for bidet mixers with pop-up waste taps.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Bristan Trinity copper tap tails M12 x 265mm (Pair),,2x copper tap tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/80/NW-D77180_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,
9,PC92713,Ideal Standard Avon self closing cartridge for 8012,Ideal Standard,136.93,"Made of brass, this Ideal Standard Avon self-closing cartridge is suitable for use with B8263AA, B8861AA and S7316AA Avon basin mixer taps.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Tap Spares & Parts/Tap Spares & Parts.csv -> Ideal Standard Avon self closing cartridge for 8012,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/13/NW-C92713_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/IStandard_Spares_Catalogue.pdf,,,,,,,,,,,,,,,,,
