,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Grade,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Angle,End Connection B size,Feature 9,Attachment 1,Attachment 2,Attachment 3,Warranty
0,PM50084,Victaulic QuickVic grade E high pressure joint 65mm,Victaulic,60.89,"Made of ductile iron, this Victaulic QuickVic Style 107N 76.1 x 76.1mm rigid coupling with grooved, lubricated connections creates a rigid pipe joint designed to restrict axial or angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic grade E high pressure joint 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/86/NW-M50084_M50086_wm.jpg,Orange,Grooved/Lubricant,2.1/2,QuickVic,N,CYLUSFMLPCBVdS,Equal,76.1mm,76.1mm,EPDM EHP,Ductile Iron,76.1 x 76.1mm,Grooved/Lubricant,Grooved/Lubricant,C107NM076ZZPEM0,Rigid Coupling,N,Installation-ready technology,Orange colour,"Sizes 2 - 12""",DN50 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, FM, LPCB and VdS approvals",,,,,,,
1,PM50622,Victaulic equal tee 50mm,Victaulic,117.61,"Made of steel, this Victaulic 60.3 x 60.3 x 60.3mm 90° equal tee with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic equal tee 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/27/NW-M50622_M50627_wm.jpg,,Grooved,2,,N,CYLUSFMLPCBVdS,Equal,60.3 mm,60.3 mm,,Steel,60.3 x 60.3 x 60.3 mm,Grooved,Grooved,F00200020ZZP000,tee,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,90,60.3 mm,,,,,
2,PM50438,VIC-GRV 139.7   *11 45 DEGREE ELBOW  125,Victaulic,149.3,"Made of ductile iron, this Victaulic 139.7 x 139.7mm 45° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV 139.7   *11 45 DEGREE ELBOW  125",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/39/NW-M50434_M50439_wm.jpg,Orange,Grooved End,5,GRV,N,CYLUSFMLPCBVdS,Equal,139.7 mm,139.7 mm,,Ductile Iron,139.7 x 139.7 mm,Grooved,Grooved,F0011M139ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,45,,,,,,
3,PM50627,Victaulic equal tee 150mm,Victaulic,366.2,"Made of steel, this Victaulic 165.1 x 165.1 x 165.1mm 90° equal tee with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic equal tee 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/27/NW-M50622_M50627_wm.jpg,Orange,Grooved,6,GRV,N,CYLUSFMLPCBVdS,Equal,165.1 mm,165.1 mm,,Steel,165.1 x 165.1 x 165.1 mm,Grooved,Grooved,F0020M165ZZP000,tee,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,90,165.1 mm,,,,,
4,PM50376,Victaulic 90deg elbow 65mm,Victaulic,73.4,"Made of steel, this Victaulic 76.1 x 76.1mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 90deg elbow 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/NW-M50375_M50380_wm.jpg,Orange,Grooved End,2.1/2,GRV,N,LPCBVdS,Equal,76.1mm,76.1mm,,Steel,76.1 x 76.1mm,Grooved,Grooved,F0010M076ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
5,PM51025,VIC-GRV  76.1X60.3 CONCENTRIC REDUCER,Victaulic,62.56,"This Victaulic 76.1 x 60.3mm concentric reduced is made of ductile iron with grooved connections. This fitting connects pipes, providing a change in direction and adapts sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  76.1X60.3 CONCENTRIC REDUCER",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/26/NW-M51025_M51026_wm.jpg,Red/Orange,Grooved,2.1/2 x 2,GRV,N,CYLUSFMLPCBVdS,Unequal,76.1mm,60.3 mm,,Ductile Iron,76.1 x 60.3 mm,Grooved,Grooved,F0050M07602R000,Concentric Reducer,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","LPCB, CYLUS, VdS and FM approvals",,,,,,,,,,,
6,PM50553,VIC-GRV  88.9 *11 45 DEG ELBOW GALV   80,Victaulic,92.6,"Made of stainless steel, this Victaulic 88.9 x 88.9mm 45° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  88.9 *11 45 DEG ELBOW GALV   80",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/54/NW-M50553_M50554_wm.jpg,,Grooved End,,,N,LPCBVdS,Equal,88.9mm,88.9mm,,Stainless Steel,88.9 x 88.9 mm,Grooved,Grooved,F00110030ZZG000,Elbow,N,Supplied with Victaulic OGS grooves,Galvanised finish,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,45,,,,,,
7,PM50436,VIC-GRV  88.9   *11 45 DEGREE ELBOW   80,Victaulic,70.91,"Made of ductile iron, this Victaulic 88.9 x 88.9mm 45° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> VIC-GRV  88.9   *11 45 DEGREE ELBOW   80",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/39/NW-M50434_M50439_wm.jpg,Orange,Grooved End,3,GRV,N,CYLUSFMLPCBVdS,Equal,88.9mm,88.9mm,,Ductile Iron,88.9 x 88.9 mm,Grooved,Grooved,F00110030ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends","CYLUS, FM LPCB and VdS approvals",,,,,45,,,,,,
8,PM50375,Victaulic 90deg elbow 50mm,Victaulic,58.39,"Made of steel, this Victaulic 60.3 x 60.3mm 90° elbow with grooved connections is used to connect pipes, providing a change in direction and adaptation of sizes or components.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic 90deg elbow 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/NW-M50375_M50380_wm.jpg,,Grooved End,2,GRV,N,LPCBVdS,Equal,60.3 mm,60.3 mm,,Steel,60.3 x 60.3 mm,Grooved,Grooved,F00100020ZZP000,Elbow,N,Supplied with Victaulic OGS grooves,Orange colour,"Suitable for Victaulic couplings, valves, accessories and pipes with OGS groove profile ends",LPCB and VdS approvals,,,,,90,,,,,,
9,PM51381,Victaulic QuickVic EHPS metric coupling with gasket (Style 107N) 139mm Orange,Victaulic,120.1,"Made of ductile iron, this Victaulic QuickVic Style 107N 139.7 x 139.7mm rigid coupling with grooved, lubricated connections creates a rigid pipe joint designed to restrict axial or angular movement.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Grooved Fittings/Carbon Steel Grooved Fittings.csv -> Victaulic QuickVic EHPS metric coupling with gasket (Style 107N) 139mm Orange",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/81/NW-M51381_wm.jpg,Orange,Grooved/Lubricant,,QuickVic,N,CYLUSFMLPCBVdS,Equal,139.7 mm,139.7 mm,,Ductile Iron,139.7 x 139.7 mm,Grooved/Lubricant,Grooved/Lubricant,C107NM139ZZPEM0,Rigid Coupling,N,Installation-ready technology,Orange colour,"Sizes 2 - 12""",DN50 - DN300,Pressures up to 750 PSI,5171 kPa,52 bar,"CYLUS, FM, LPCB and VdS approvals",,,,,,,
