,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Range,Hazardous,Min Outlet Pressure,Max Outlet Pressure,Connection Gender,Material,Seal Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Attachment 1,Weight,Size,Attachment 2,Material Type,Attachment 3,Attachment 4,Attachment 5
0,PK73629,Honeywell Home D04FM D04FM-ZGC 15 pressure reducing valve,Honeywell Home,36.5,"Protecting household appliances and pipework against excessive pressure, the D04FM pressure reducing valve (PRV) has a compact design that promises to maintain a constant water pressure even where supply pressure is much higher. Reducing noise and saving on waste, this PRV is supplied with 1/2"" female x female compression connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home D04FM D04FM-ZGC 15 pressure reducing valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/29/NW-K73629_wm.jpg,1/2,Compression,D04FM,N,1.5,6,Female x Female,"Brass, Dezincification Resistant",EPDM,WRASEN1567,D04FM-1/2ZGC,Pressure Reducing Valve,N,Spring-loaded balanced seat for constant outlet pressure even where inlet pressure fluctuates,Lightweight design,Compact construction,Available with pressure gauge,16 bar inlet pressure,1.5 - 6 bar outlet pressure,Maximum operating temperature 40°C,Reducing pressure reduces consumption,27L per day can be saved by reducing pressure from 6 to 4 bar,Meets EN 1567,WRAS approved,,,,,,,,,,,,,,,,,
1,PK73476,Honeywell Home resi ba295s-1/2agb rpz bsp 1/2,Honeywell Home,294.04,"The BA295S reduced pressure zone (RPZ) backflow preventer valve is designed to protect drinking water from back pressure, backflow and back siphonage. Suitable for residential, industrial and commercial use, the BA295S is suitable for fluids up to and including Fluid Category 4 to EN 1717. This compact valve, supplied with 1/2"" BSP male connections, has all internal components located in easy reach with both check valve and discharge valve in a single replaceable cartridge for ease of maintenance. Optimised to prevent stagnation, this valve has a triple security system, with two check valves and a discharge valve separated into three individualised pressure zones.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home resi ba295s-1/2agb rpz bsp 1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/77/NW-K73476_K73477_wm.jpg,,,,N,,,,,,BS EN 1717BS EN 12729WRASDVGWNFKIWABELGAQUAVR,BA295S-1/2AGB,Backflow Preventer Valve,N,Made of DZR brass,Compact construction,Threaded connectors,Integrated inlet strainer,Inlet check valve and discharge valve in one cartridge,Cartridge insert and valve insert are completely replaceable,Optimised design prevents water stagnation in normal operation,Easy access to all internal components,Low pressure loss and high flow rate,Approved according to EN 12729,All materials are ACS approved,All materials are KTW approved,"Approved by TÜV LGA for low noise, Group 1 without limitation",Meets BS EN 1717,WRAS approved,DVGW approved,NF approved,KIWA approved,BELGAQUA approved,VR approved,,,,,,,,
2,PK73628,Honeywell Home D04FM resi pressure red valve d04fm-zc 22,Honeywell Home,37.49,"Protecting household appliances and pipework against excessive pressure, the D04FM pressure reducing valve (PRV) has a compact design that promises to maintain a constant water pressure even where supply pressure is much higher. Reducing noise and saving on waste, this PRV is supplied with 3/4"" female x female compression connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home D04FM resi pressure red valve d04fm-zc 22",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/28/NW-K73628_wm.jpg,3/4,Compression,D04FM,N,1.5,6,Female x Female,"Brass, Dezincification Resistant",EPDM,WRASEN1567,D04FM-3/4ZC,Pressure Reducing Valve,N,Spring-loaded balanced seat for constant outlet pressure even where inlet pressure fluctuates,Lightweight design,Compact construction,Available with pressure gauge,16 bar inlet pressure,1.5 - 6 bar outlet pressure,Maximum operating temperature 40°C,Reducing pressure reduces consumption,27L per day can be saved by reducing pressure from 6 to 4 bar,Meets EN 1567,WRAS approved,,,,,,,,,,,,,,,,,
3,P107687,"Reliance Valves TPR28 PTEM100050 pressure and temperature relief valve (MBSP) x 28mm 1"" 7bar",Reliance Valves,433.85,"Suitable for domestic or commercial use, the Reliance Water Controls TPR28 7 bar pressure and temperature relief valve is designed with 1"" male x female BSP connections. Providing high capacity protection from over-temperature and over-pressurisation, this brass valve keeps temperatures from passing 95°C.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves TPR28 PTEM100050 pressure and temperature relief valve (MBSP) x 28mm 1"" 7bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/87/NW-107687_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_TRP28-FVMX_Technical.pdf,,,,,,,
4,P531365,Intatec Pressure Reducing Valves 22mm Press Reducing Vlv Cw Gauge,Intatec,28.71,"This Inta pressure reducing valve (PRV) with static and dynamic pressure control and 22mm compressions connections reduces fluid pressure down to optimal system levels, preventing damage to those components located downstream. With its compact design this PRV is suitable for use in areas where space is limited.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Intatec Pressure Reducing Valves 22mm Press Reducing Vlv Cw Gauge",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/65/NW-531364_531365_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_PRV2233_Technical.pdf,,,,,,,
5,P531366,Intatec Pressure Reducing Valves pressure reducing valve comes with gauge 28mm,Intatec,117.84,"Keeping fluid pressure at an optimal level, this Intatec pressure reducing valve (PRV) with static and dynamic pressure control and 28mm compression connections prevents damage to downstream system components. Easy to service, this high temperature PRV is suitable for use in areas with reduced space while a dial up head allows for easy setting by hand with no need for special tools.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Intatec Pressure Reducing Valves pressure reducing valve comes with gauge 28mm",,28mm Pressure Reducing Valve. 0-6bar pressure gauge. Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/66/531366_wm.jpg,28 mm,Compression,Pressure Reducing Valves,N,0.5,6,Compression,Brass,,WRAS,PRV22332810,Commisioning Valve,N,AISI 304 stainless steel cartridge filter,Featuring our new ‘dial up’ head,Easy to service high temperature cartridge,"Available in 15 - 54mm and ½” - 2""",Conforms to BS EN 1567,Controls both static and dynamic pressure,Designed for both domestic & commercial use,,,,,,,,,,,,,,,600g,,,,,,
6,PK73477,Honeywell Home resi ba295s-3/4agb rpz bsp 3/4,Honeywell Home,335.03,"The BA295S reduced pressure zone (RPZ) backflow preventer valve is designed to protect drinking water from back pressure, backflow and back siphonage. Suitable for residential, industrial and commercial use, the BA295S is suitable for fluids up to and including Fluid Category 4 to EN 1717. This compact valve, supplied with 3/4"" BSP male connections, has all internal components located in easy reach with both check valve and discharge valve in a single replaceable cartridge for ease of maintenance. Optimised to prevent stagnation, this valve has a triple security system, with two check valves and a discharge valve separated into three individualised pressure zones.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home resi ba295s-3/4agb rpz bsp 3/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/77/NW-K73476_K73477_wm.jpg,,,,N,,,,,,BS EN 1717BS EN 12729WRASDVGWNFKIWABELGAQUAVR,BA295S-3/4AGB,Backflow Preventer Valve,N,Made of DZR brass,Compact construction,Threaded connectors,Integrated inlet strainer,Inlet check valve and discharge valve in one cartridge,Cartridge insert and valve insert are completely replaceable,Optimised design prevents water stagnation in normal operation,Easy access to all internal components,Low pressure loss and high flow rate,Approved according to EN 12729,All materials are ACS approved,All materials are KTW approved,"Approved by TÜV LGA for low noise, Group 1 without limitation",Meets BS EN 1717,WRAS approved,DVGW approved,NF approved,KIWA approved,BELGAQUA approved,VR approved,,,,,,,,
7,P171480,Reliance Valves 102 Series PREL102005 1/2in X 1/2in FBSP 6 Bar Pressure Relief Valve,Reliance Valves,28.59,"Helping to protect an unvented system from overpressure, this Reliance Valves 102 Series 6 bar potable water pressure relief valve is supplied with 1/2"" male x female BSP connections. Pre-set and locked to 6 bar pressure, this valve lifts off its seat to discharge water from the valve to the waste if this is exceeded. The first safety device found in an unvented system, the 102 Series is designed with a simple single-piece cartridge.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves 102 Series PREL102005 1/2in X 1/2in FBSP 6 Bar Pressure Relief Valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/80/171480_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_102_Potable_Water_PRV_Technical.pdf,,,,,,,
8,P171863,"Reliance Valves 315i dial-up pressure reducing valve 1""",Reliance Valves,126.06,"This Reliance Water Controls 315I commercial pressure reducing valve (PRV), includes a unique indicator for easy identification of the set pressure with no need for a pressure gauge. Rated to 25 bar inlet pressure and with an adjustable outlet pressure of 1 - 6 bar, this PRV includes a lockable adjustment knob and 1"" male x male BSP connections. Providing easy, flexible installation thanks to a single piece cartridge containing all functional components, an integral serviceable strainer and a rotatable sleeve with set pressure indicator, the 315I includes two downstream test points with brass plugs.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Reliance Valves 315i dial-up pressure reducing valve 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/65/NW-171862_171865_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_315i_Commercial_Technical.pdf,,,,,,,
9,PK73276,Honeywell Home DF06 resi pressure red valve d06f-b  32,Honeywell Home,181.66,"The DF06 spring-loaded pressure reducing valve (PRV) with 32mm male x male threaded connections operates via a force equalizing system, the force of a diaphragm operating against the force of an adjustment spring. Where outlet pressure (diaphragm force) falls because when water is drawn, the force of the spring opens the valve increasing outlet pressure until forces are equal. Suitable for use in household settings as well as for industrial or commercial applications, the DF06 protects installations against excessive pressure from the supply, avoiding damage and reducing water waste while minimising flow noise.","Pipe, Valves and Fittings/Metal Pipe Valves/Pressure Reducing Valves/Pressure Reducing Valves.csv -> Honeywell Home DF06 resi pressure red valve d06f-b  32",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/78/NW-K73275_K73278_wm.jpg,32mm,Threaded,DF06,N,1.5,6,Male x Male,Brass,,WRASDVGWBSEN 1567UBAACSEN 806-2,D06F-11/4B,Pressure Reducing Valve,N,"Inlet pressure balancing, fluctuating inlet pressure does not affect outlet pressure","Approved by LGA for low noise, Group 1 without limitations",Brass construction,Valve insert of high quality synthetic material,Valve insert can be fully exchanged,Outlet pressure is set by turning adjustment knob,Set pressure directly indicated on set point scale,Adjustment spring is not in contact with drinking water,Integral fine filter,Also available without fittings,Minimum outlet pressure 1.5 bar,Maximum outlet pressure 6 bar,Conforms to BS EN1567,All materials conform to UBA,All materials are ACS approved,WRAS approved,DVGW approved,Meets EN 806-2,,,,,32,,,,,
