,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Connection Type,Diameter,Pack Quantity,Range,Weight,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Length (M),Grade,Outer Diameter,Type,Feature 9,Feature 10,Feature 11,Material Type,Warranty
0,PM15701,Geberit Mapress water pipe 15mm Stainless Steel x 6m,Geberit,8.86,"Made of stainless steel, this Geberit Mapress 15mm pipe, supplied in 6M lengths, is part of highly effective supply system suitable for a range of uses. Offering a high molybdenum content, this 1mm thick pipe is highly resistant to corrosion and extremely durable.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress water pipe 15mm Stainless Steel x 6m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/06/NW-M15700_M15706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Geberit_Piping_Sys_Catalogue_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PM15706,Geberit Mapress water pipe 54mm Stainless Steel (6 metre),Geberit,40.18,"Made of stainless steel, this Geberit Mapress 54mm pipe, supplied in 6M lengths, is part of highly effective supply system suitable for a range of uses. Offering a high molybdenum content, this 1.5mm thick pipe is highly resistant to corrosion and extremely durable.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress water pipe 54mm Stainless Steel (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/06/NW-M15700_M15706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Geberit_Piping_Sys_Catalogue_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PM48129,Geberit m of mps ss therm 49111 pipe 108mmx6m,Geberit,53.55,"This Geberit Mapress Therm 49111 108mm pipe, supplied in a 6M length is part of the brand's cost-efficient, corrosion-resistant Mapress Therm pipe system, designed to meet the needs of closed heating and cooling circuits where moisture is inevitably present. This low-alloy stainless steel system protects against condensation and external moisture, making it ideal for cooling systems, floor heating systems where wet, cement-based materials take a long time to dry, and industrial applications, particularly where compressed air and inert gases are in use.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit m of mps ss therm 49111 pipe 108mmx6m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/29/M48129_wm.jpg,,Steel/Metallic,N,EN 10312:2002 + A1:2005,Plain End,CrNi steel 1.4301 (EN 10088),108mmØ,2,Plain End,Plain End,49611,N,Reliable protection against external corrosion,Suitable for closed cooling or refrigeration circuits,"Durable, cost-effective low-alloy stainless steel",Ideal for industrial applications,Compatible with inert gases and negative pressure systems,"Suitable for technical building systems, heating pipes and radiators","Suitable for heaters, solar, district heating and compressed air",Meets EN 10312:2002 + A1:2005,,,,,,,,,,,,,,,,,,,,
3,PM48127,Geberit m of mps ss therm 49109 pipe 76.1mmx6m,Geberit,38.91,"This Geberit Mapress Therm 49109 76.1mm pipe, supplied in a 6M length is part of the brand's cost-efficient, corrosion-resistant Mapress Therm pipe system, designed to meet the needs of closed heating and cooling circuits where moisture is inevitably present. This low-alloy stainless steel system protects against condensation and external moisture, making it ideal for cooling systems, floor heating systems where wet, cement-based materials take a long time to dry, and industrial applications, particularly where compressed air and inert gases are in use.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit m of mps ss therm 49109 pipe 76.1mmx6m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/27/M48127_wm.jpg,,Steel/Metallic,N,EN 10312:2002 + A1:2005,Plain End,CrNi steel 1.4301 (EN 10088),76.1 mm,1.5,Plain End,Plain End,49609,N,Reliable protection against external corrosion,Suitable for closed cooling or refrigeration circuits,"Durable, cost-effective low-alloy stainless steel",Ideal for industrial applications,Compatible with inert gases and negative pressure systems,"Suitable for technical building systems, heating pipes and radiators","Suitable for heaters, solar, district heating and compressed air",Meets EN 10312:2002 + A1:2005,,,,,,,,,,,,,,,,,,,,
4,PM48122,Geberit m of mps ss therm 49104 sys pipe 22mmx6m,Geberit,7.8,"This Geberit Mapress Therm 49104 22mm pipe, supplied in a 6M length is part of the brand's cost-efficient, corrosion-resistant Mapress Therm pipe system, designed to meet the needs of closed heating and cooling circuits where moisture is inevitably present. This low-alloy stainless steel system protects against condensation and external moisture, making it ideal for cooling systems, floor heating systems where wet, cement-based materials take a long time to dry, and industrial applications, particularly where compressed air and inert gases are in use.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit m of mps ss therm 49104 sys pipe 22mmx6m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/22/M48122_wm.jpg,,Steel/Metallic,N,EN 10312:2002 + A1:2005,Plain End,CrTi steel 1.4520 (EN 10088),22 mm,1.2,Plain End,Plain End,49104,N,Reliable protection against external corrosion,Suitable for closed cooling or refrigeration circuits,"Durable, cost-effective low-alloy stainless steel",Ideal for industrial applications,Compatible with inert gases and negative pressure systems,"Suitable for technical building systems, heating pipes and radiators","Suitable for heaters, solar, district heating and compressed air",Meets EN 10312:2002 + A1:2005,,,,,,,,,,,,,,,,,,,,
5,PM16101,Geberit Mapress heating pipe 88.9mm x 6mtr Stainless Steel (Per Metre),Geberit,51.77,"Supplied in a 6M length, this Geberit Mapress 88.9mm heating pipe is made of 1.5mm thick stainless steel with a high molybdenum content.  Highly corrosion-resistant, this reliable press-fit pipe can be used to carry heating water, cooling water with or without antifreeze agent and remote network heating water up to a temperature of 120°C.  It is also suitable for the transport of chemicals and technical liquids.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit Mapress heating pipe 88.9mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M16101_Primary_Image_wm.jpg,,Stainless Steel,N,EN 10312:2002 + A1:2005,female,CrNi steel 1.4301 (EN 10088),88.9 mm,1.5,Press fit,Press fit,39610,N,For heating water,For cooling water without antifreeze agent,For cooling water with antifreeze agent,For remote network heating water  120 °C,For chemicals and technical liquids,,,,Press Fit,88.9,Per Metre,Mapress,28.93309,,,,,,,,,,,,,,,
6,P529767,Pegler VSH XPress system tube 35mm x 6mtr Stainless Steel (Per Metre),Pegler,44.28,"This Pegler Yorkshire VSH Xpress 444 35mm heat shrink tube is made of 1.5mm thick 630 grade stainless steel with a metallic finish. Suitable for use with XPress and Tectite systems, this tube is supplied in a 6M length.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress system tube 35mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/69/NW-529765_529769_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_SS630_444_Sprinkler_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,,,
7,P529763,Pegler VSH XPress system tube 42mm x 6mtr Stainless Steel (Per Metre),Pegler,76.12,"This Pegler Yorkshire VSH Xpress 42mm heating tube is made of 1.5mm thick 316 stainless steel. Suitable for use with XPress and Tectite systems, this tube is supplied in 6M lengths.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Pegler VSH XPress system tube 42mm x 6mtr Stainless Steel (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/64/NW-529760_529764_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_Press-Fit_System_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/PY_Xpress_316SS_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/if/ct/Pegler_LPCB-VSH_Fittings_BV_Certifct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_DVGW_Certificate.pdf,,,,,,,,,
8,PL13316,Omegaflex TracPipe coil 35mm (75 metre),Omegaflex,27.36,"An alternative to rigid pipes, Omegaflex TracPipe 35mm gas pipe is made of stainless steel with high resistance to damage and crushing, ideal for on-site work and in industrial or commercial settings. Supplied in 75M lengths and covered in polyethylene, TracPipe incorporates flame spread and smoke density inhibitors for a two hour fire rating and suitability for fire-protected areas.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Omegaflex TracPipe coil 35mm (75 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/16/NW-L13314_L13316_wm.jpg,,Yellow,N,,,Stainless SteelPolyethylene (PE),35 mm,0.3,,,FGP-SS4-35-250,N,Used predominantly from meter to appliance,"Suitable for domestic, industrial, and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bends by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering required",Lightweight and easy to transport,Manufactured to withstand normal shrinkage and movement,,32,75 metre,TracPipe,,,,,,,,75,304L,11/4,Pipe Coil,Maximum operating pressure up to 500mbar,2 hour fire rating in continuous length (no joints),"Suitable for use in fire protected areas including protected shafts, escape corridors and lobbies",,
9,PM48125,Geberit m of mps ss therm 49107 sys pipe 42mmx6m,Geberit,18.41,"This Geberit Mapress Therm 49107 42mm pipe, supplied in a 6M length is part of the brand's cost-efficient, corrosion-resistant Mapress Therm pipe system, designed to meet the needs of closed heating and cooling circuits where moisture is inevitably present. This low-alloy stainless steel system protects against condensation and external moisture, making it ideal for cooling systems, floor heating systems where wet, cement-based materials take a long time to dry, and industrial applications, particularly where compressed air and inert gases are in use.","Pipe, Valves and Fittings/Metal Pipe/Stainless Steel Pipe/Stainless Steel Pipe.csv -> Geberit m of mps ss therm 49107 sys pipe 42mmx6m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/25/M48125_wm.jpg,,Steel/Metallic,N,EN 10312:2002 + A1:2005,Plain End,CrTi steel 1.4520 (EN 10088),42mmØ,1.5,Plain End,Plain End,49107,N,Reliable protection against external corrosion,Suitable for closed cooling or refrigeration circuits,"Durable, cost-effective low-alloy stainless steel",Ideal for industrial applications,Compatible with inert gases and negative pressure systems,"Suitable for technical building systems, heating pipes and radiators","Suitable for heaters, solar, district heating and compressed air",Meets EN 10312:2002 + A1:2005,,,,,,,,,,,,,,,,,,,,
