,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Range,Thickness,Weight,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Dimensions (L x W x D),Power Supply,Feature 6,Feature 7,Feature 8
0,P127701,Center CB insulation tape 15mtr x 50mm x 3mm Black,Center CB,19.98,"Supplied in a 15M length, this Center CB 50mm black elastomeric pipe insulation tape is made of closed cell insulation material with inbuilt Microban antimicrobial protection. The tape's pressure-sensitive adhesive coating is based on modified acylate with a mesh structure and is covered with a polyethylene film. Designed to insulate and control condensation, reducing energy losses and protecting against frost on pipes, air ducts, vessels and their fittings, this tape is suitable for use on hot and cold water services, chilled water lines, heating systems, air conditioning ductwork and refrigerated pipework.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Center CB insulation tape 15mtr x 50mm x 3mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/01/NW-127701_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_Nitrile_Tape_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
1,P637147,Lawton Tube MUN male cast backplate M10 Brass,Lawton Tube,0.58,"Made of brass, this Lawton Tube MUN 10mm male back plate is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Lawton Tube MUN male cast backplate M10 Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/47/637147_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
2,P688148,Armaflex Armafinish 99 Armafinish insulation paint 2.5ltr Black,Armaflex,79.29,"Armaflex ArmaFinish 99 UV protective black paint is designed for use on AF/Armaflex Class O and NH/Armaflex insulation materials, providing hardwearing protection for outdoor installations. Reliably maintaining its elasticity, this paint is resistant to cracks, weathering and aging. This non-drip paint can also be employed for marking purposes indoors.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Armaflex Armafinish 99 Armafinish insulation paint 2.5ltr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/48/NW-688148_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Armacell_ArmaflexApplication_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Armaflex_Armafinish99_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Armaflex_ArmaFinish99_Adhesive_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Armaflex_Armafinish99_635710_MSDS.pdf,,,,,,,,,,,,,,,,,,,,
3,P637145,Lawton Tube MUN female cast backplate M10 Brass,Lawton Tube,0.73,"Made of brass, this Lawton Tube MUN 10mm female back plate is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Lawton Tube MUN female cast backplate M10 Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/46/NW-637145_637146_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
4,P688139,Armaflex Adhesive 520 520 Adhesive standard adhesive 250mm,Armaflex,12.52,"This Armaflex 520 beige adhesive is specially formulated for installation of all Armaflex insulation materials, with the exception of HT/Armaflex. A contact adhesive based on polychloroprene, Armaflex 520 is free of aromatic solvent.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Armaflex Adhesive 520 520 Adhesive standard adhesive 250mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/39/NW-688139_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Armacell_ArmaflexApplication_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Armaflex_Adhesive520_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Armaflex_520_636618_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Armaflex_Adhesive520_SDS_H&S.pdf,,,,,,,,,,,,,,,,,,,,
5,PT83833,M Greenaway And Son SZ zinc plated studding 3mtr (m10),M Greenaway And Son,15.06,This M Greenaway And Son SZ M10 x 3M studding is made of steel with a BZP finish.,"Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> M Greenaway And Son SZ zinc plated studding 3mtr (m10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/35/NW-T83831_T83835_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/MGreenawaySons_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MGreenawaySons_T83833_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/iz/es/MGreenawaySons_Fixing_Range_Sizes.pdf,,,,,,,,,,,,,,,,,,,,,
6,P617137,"Javac expander head 1.5/8""",Javac,112.78,"This Javac 1 5/8"" expander head includes six blade heads for consistent precision. It is designed for edge expanders or swagers.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Javac expander head 1.5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/37/NW-617136_617137_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Tube_Expander_Set_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_UK_2021.pdf,,,,,,,,,,,,,,,,,,,,,,
7,P192871,Armaflex tape 15m x 50mm,Armaflex,108.83,"Supplied in a 15M length, this Armaflex 3mm thick EPDM insulation tape is for use with HT/Armaflex.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Armaflex tape 15m x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/71/NW-192871_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Armacell_Armaflex_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Armacell_ArmaflexApplication_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Armaflex_HT_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
8,PM98961,M Greenaway And Son MG galvanised metric backing plate (m10),M Greenaway And Son,2.61,"Made of blackheart malleable iron, this M Greenaway And Son galvanised metric backplate has been designed to support BS EN 10255 steel pipework, formerly BS 1387, and is produced in accordance with the prior BS 1494 specification in relation to dimensions and material.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> M Greenaway And Son MG galvanised metric backing plate (m10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/62/NW-M98961_M98962_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/MGreenawaySons_Malleable_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/ze/MGreenawaySons_Malleable_Range_Size.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MGreenawaySons_MG1004M_MS1004M_Tech.pdf,,,,,,,,,,,,,,,,,,,,,
9,P688144,Armaflex AF-TAPE-MC insulation tape 15mtr (12),Armaflex,46.3,"Supplied in a 15M length, this Armaflex 3mm thick elastomeric foam insulation tape is for use with AF/Armaflex class O.","Pipe, Valves and Fittings/Pipe Support System Accessories/Pipe Support System Accessories.csv -> Armaflex AF-TAPE-MC insulation tape 15mtr (12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/44/NW-688144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Armacell_ArmaflexApplication_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Armacell_Armaflex_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Armaflex_Class0_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
