,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 2,End Connection B size,Feature 5,Feature 6,Angle,Connection Type 2,Gender,Feature 7,Weight
0,PP91200,Uponor Uni-X compression adaptor 20 x 22mm Brass,Uponor,5.55,This Uponor Uni-C 20 x 22mm adapter is made of brass and incorporates compression fittings. It is suitable for the connection of MLC pipes to compression fitting bodies.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor Uni-X compression adaptor 20 x 22mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/01/NW-P91200_P91201_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
1,PR24356,Uponor RTM MLCP copper adaptor 16 x 15mm,Uponor,9.16,This Uponor RTM 16 x 15mm adapter is made of brass and is supplied with copper pipe and press-fit connections.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor RTM MLCP copper adaptor 16 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/56/NW-R24356_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,PP14804,"Uponor S-Press Plus 1070502 male thread adapter 16 - 1/2""",Uponor,5.06,"This Uponor S-Press Plus 16mm x 1/2"" adapter is made of tin-plated DR brass with threaded connections. Suitable for use in hot and cold systems, this fitting is also suitable for installation in heating systems.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070502 male thread adapter 16 - 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/07/NW-P14804_P14807_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,PP38341,Uponor S-Press Plus stop end 25 mm,Uponor,5.29,"Made of dezincification resistant brass, this Uponor S-Press Plus 25mm stop end has a stainless steel press sleeve colour-coded for easy size recognition.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus stop end 25 mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/21/1070621_wm.jpg,,S-Press Plus,N,WRAS,Unequal,25 mm,N/A,DZR Brass,25 mm,Press fit,1070623,Stop End,N,Unique press indicator,Fast 3 step press without bevel installation,QR code for immediate digital access,Suitable for hot and cold and heating systems,,,,,,,,,
4,PP38340,Uponor S-Press Plus stop end 20 mm,Uponor,4.49,"Made of dezincification resistant brass, this Uponor S-Press Plus 20mm stop end has a stainless steel press sleeve colour-coded for easy size recognition.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus stop end 20 mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/40/NW-P38340_wm.jpg,,S-Press Plus,N,WRAS,Unequal,20 mm,N/A,DZR Brass,20 mm,Press fit,1070622,Stop End,N,Unique press indicator,Fast 3 step press without bevel installation,QR code for immediate digital access,Suitable for hot and cold and heating systems,,,,,,,,,
5,PP38339,Uponor S-Press Plus stop end 16mm,Uponor,4.06,"This Uponor S-Press Plus 16mm stop end is made of brass and includes press-fit connection with press indicator. Offering speedy, bevel-free installation, this fitting is supplied with a QR code for instant digital connection.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus stop end 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/39/NW-P38339_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_S-Press_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
6,PP91190,Uponor Uni-X compression adaptor 16 x 15mm Chrome,Uponor,3.27,This Uponor Uni-C 16 x 15mm adapter is made of brass and incorporates compression fittings. It is suitable for the connection of MLC pipes to compression fitting bodies.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor Uni-X compression adaptor 16 x 15mm Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/90/NW-P91190_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
7,PP91311,Uponor MLC MLCP 3-size bevelling tool 16/20/25mm,Uponor,22.18,"Made of plastic, this Uponor MLC bevelling tool is designed for the bevelling of Uni Pipe PLUS and MLC pipes.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor MLC MLCP 3-size bevelling tool 16/20/25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/11/NW-P91311_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_MLCP_Brochure.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,
8,PP38336,Uponor S-Press Plus 1070618 adapter 25-22CU,Uponor,7.86,"This Uponor S-Press Plus 25 x 22mm copper adapter includes a unique press indicator. Provided with soldered copper pipe, the copper side of the fitting is for press connections and suitable compression fittings only.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070618 adapter 25-22CU",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/38/NW-P38334_P38338_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
9,PP38335,Uponor S-Press Plus 1070617 adapter 20-22CU,Uponor,6.6,"This Uponor S-Press Plus 20 x 22mm copper adapter includes a unique press indicator. Provided with soldered copper pipe, the copper side of the fitting is for press connections and suitable compression fittings only.","Pipe, Valves and Fittings/Plastic Pipe Fittings/MLCP Pipe Fittings/MLCP Pipe Fittings.csv -> Uponor S-Press Plus 1070617 adapter 20-22CU",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/38/NW-P38334_P38338_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
