,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Connection Type,Diameter,Material Type,Range,Warranty,Hazardous,Approvals,Equal / Unequal,Angle,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Weight,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Colour,End Connection B size,Connection Size,Pack Quantity,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 5,Gender,Wall Thickness (mm),Operating Temperature Range (C),Standards,Depth (mm),Attachment 6,Attachment 7,Body Material,Handle Type,Seal Material,Feature 14,Drainage Product Type,Minimum Operating Temperature,Resistance Features,Maximum Operating Temperature,Paintable,Application,Length (M),Pressure,Length (mm),Height (mm),Width (mm),Attachment 8,Attachment 9,Attachment 10,Attachment 11
0,P519333,Wavin Hep2O HD10 equal tee 15mm,Wavin,2.9,This Wavin Hep2O HD10 15 x 15 x 15mm 90° tee is made from polybutylene (PB) and includes push-fit connections. This fitting is suitable for use in hot and cold flexible push-fit plumbing systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Plastic Pipe Fittings.csv -> Wavin Hep2O HD10 equal tee 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/33/NW-519333_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Hep2O_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P517531,JG Speedfit PEM0315W elbow 15mm,JG Speedfit,1.7,"This John Guest Speedfit 15 x 15mm 90° elbow is a plastic push-fit fitting designed to connect plastic and copper pipe. Easy to work with in confined spaces, this fitting removes the need for hot works on site, reducing installation time by around 40% compared to traditional fixing methods.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Plastic Pipe Fittings.csv -> JG Speedfit PEM0315W elbow 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/31/NW-517530_517531_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/JG_Speedfit_PEI_PEM_Range_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Push-Fit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P515702,JG Speedfit PSE4615W stop end 15mm,JG Speedfit,2.67,"Suitable for use in hot or cold water, this John Guest Speedfit 15mm plastic end cap can also be used in central heating systems. It has a push-fit demountable connection for ease of use.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Plastic Pipe Fittings.csv -> JG Speedfit PSE4615W stop end 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/03/NW-515702_515703_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Push-Fit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/JG_Speedfit_PSE_PSEI_Range_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P517546,JG Speedfit PEM0215W equal tee 15mm,JG Speedfit,2.42,"This John Guest Speedfit 15 x 15 x 15mm push-fit plastic 90° equal tee fitting is designed for the connection of plastic and copper pipe. To connect, simply push the fitting fully onto the pipe and twist the plastic nut clockwise to lock in place. Where demounting is required the nut is unlocked and the collet pushed towards the body of the fitting before pulling the pipe to release. This fitting is easy to work with in confined places and removes the need for hot works on site, reducing installation time by about 40% compared to traditional fixing methods.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Plastic Pipe Fittings.csv -> JG Speedfit PEM0215W equal tee 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/46/NW-517545_517546_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Push-Fit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/JG_Speedfit_PEI_PEM_Range_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P517521,JG Speedfit PEM0415W straight connector 15mm,JG Speedfit,1.65,"This John Guest Speedfit 15 x 15mm connector is designed for the connection of plastic and copper pipe. To connect, simply push the bent tap fitting fully onto the pipe and twist the plastic nut clockwise to lock in place. Where demounting is required the nut is unlocked and the collet pushed towards the body of the fitting before pulling the pipe to release. This fitting is easy to work with in confined places and removes the need for hot works on site, reducing installation time by about 40% compared to traditional fixing methods.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Plastic Pipe Fittings.csv -> JG Speedfit PEM0415W straight connector 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/21/NW-517520_517521_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/JG_Speedfit_PEI_PEM_Range_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Push-Fit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P517721,JG Speedfit Superseal STS15 pipe insert 15mm,JG Speedfit,0.51,this John Guest Speedfit Superseal 15 x 15mm pipe insert is used when connecting a Speedfit pipe to a Speedfit fitting. Two additional O-rings are supplied for enhanced sealing.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Plastic Pipe Fittings.csv -> JG Speedfit Superseal STS15 pipe insert 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/21/517721_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ds/JG Speedfit Superseal Pipe Insert DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Push-Fit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P517611,JG Speedfit PEM062215W reducer 22 x 15mm,JG Speedfit,2.32,"This John Guest Speedfit 22 x 15mm reducer is a push-fit plastic fitting designed for the connection of plastic and copper pipe. To connect, simply push the fitting fully onto the pipe and twist the plastic nut clockwise to lock in place. Where demounting is required the nut is unlocked and the collet pushed towards the body of the fitting before pulling the pipe to release. This fitting is easy to work with in confined places and removes the need for hot works on site, reducing installation time by about 40% compared to traditional fixing methods.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Plastic Pipe Fittings.csv -> JG Speedfit PEM062215W reducer 22 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/13/NW-517610_517613_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/JG_Speedfit_PEI_PEM_Range_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Push-Fit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P515703,JG Speedfit PSE4622W stop end 22mm,JG Speedfit,3.38,"Suitable for use in hot or cold water, this John Guest Speedfit 22mm plastic end cap can also be used in central heating systems. It has a push-fit demountable connection for ease of use.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Plastic Pipe Fittings.csv -> JG Speedfit PSE4622W stop end 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/03/NW-515702_515703_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Push-Fit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/JG_Speedfit_PSE_PSEI_Range_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P517523,JG Speedfit PEM0422W straight connector 22mm,JG Speedfit,2.62,"This John Guest Speedfit 22 x 22mm connector is designed for the connection of plastic and copper pipe. To connect, simply push the bent tap fitting fully onto the pipe and twist the plastic nut clockwise to lock in place. Where demounting is required the nut is unlocked and the collet pushed towards the body of the fitting before pulling the pipe to release. This fitting is easy to work with in confined places and removes the need for hot works on site, reducing installation time by about 40% compared to traditional fixing methods.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Plastic Pipe Fittings.csv -> JG Speedfit PEM0422W straight connector 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/23/NW-517523_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Push-Fit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/JG_Speedfit_PEI_PEM_Range_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P515707,"JG Speedfit tap connector 15mm x 1/2""",JG Speedfit,4.06,"This John Guest Speedfit 15mm x 1/2"" straight tap connector is a push-fit plastic fitting designed for the connection of plastic and copper pipe. To connect, simply push the fitting fully onto the pipe and twist the plastic nut clockwise to lock in place. Where demounting is required the nut is unlocked and the collet pushed towards the body of the fitting before pulling the pipe to release. This fitting is easy to work with in confined places and removes the need for hot works on site, reducing installation time by about 40% compared to traditional fixing methods.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Plastic Pipe Fittings.csv -> JG Speedfit tap connector 15mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/09/NW-515707_517709_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/JG_Speedfit_PEI_PEM_Range_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Push-Fit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
