,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Material,Supplier Product Code,WEEE Compliant,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Weight,Equal / Unequal,Angle,End Connection A size,End Connection B size,End Connection C size,Size,Connection Type 1,Connection Type 2,Type,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Diameter,Approvals,Gender
0,P119845,Linthwaite fluesnug 100 mm White,Linthwaite,13.89,"Creating a professional finish in moments, the patented Linthwaite 100mm FlueSnug is used in place of a weather collar and removes the need to seal around a 100mm boiler flue where it exits through a wall. Suitable for use internally or externally, this polypropylene and TPE finishing piece in white creates an airtight seal, helping installers to comply with the latest requirements for Part L of Building Regulations. Endorsed by leading boiler manufacturers, FlueSnug is designed to fit a 152mm core-drilled hole.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> Linthwaite fluesnug 100 mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/62/598362_wm.jpg,White,N,Polypropylene and TPE,PS100WH,N,,,,,,,,,,,,,,,,,,,,,,,,,
1,P119844,Linthwaite fluesnug 100 mm Black,Linthwaite,13.89,"Creating a professional finish in moments, the patented Linthwaite 100mm FlueSnug is used in place of a weather collar and removes the need to seal around a 100mm boiler flue where it exits through a wall. Suitable for use internally or externally, this polypropylene and TPE finishing piece in black creates an airtight seal, helping installers to comply with the latest requirements for Part L of Building Regulations. Endorsed by leading boiler manufacturers, FlueSnug is designed to fit a 152mm core-drilled hole.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> Linthwaite fluesnug 100 mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/61/598361_wm.jpg,Black,N,Polypropylene and TPE,PS100BK,N,,,,,,,,,,,,,,,,,,,,,,,,,
2,P119841,Linthwaite pipesnug 40 mm White,Linthwaite,2.65,"Removing the need to make good after passing a pipe through a wall, the Linthwaite 40mm PipeSnug is a patented product designed to create a professional finish in seconds. Made of polypropylene and TPE with a white finish, PipeSnug can be used internally or externally and makes a gap completely airtight, helping installers to comply with the latest requirements for Part L of Building Regulations. Supplied in a pack of two, this PipeSnug is suitable for any standard 40mm (1 1/2"") solvent-weld waste pipe fitting and 52mm core-drilled hole.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> Linthwaite pipesnug 40 mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/58/598358_wm.jpg,White,N,Polypropylene and TPE,PS40WH2PKSF,N,,,,,,,,,,,,,,,,,,,,,,,,,
3,PP16452,VULC L193 45D ENF DBL SOCKET BEND     76,Durapipe,62.29,This Durapipe Vulcathene L193 76 x 76mm 45° double socket slow bend is made of virgin-grade polypropylene and includes an Enfusion socket at each end.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L193 45D ENF DBL SOCKET BEND     76",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/53/NW-P16450_P16453_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
4,PP16493,VULC L2042 92.5D END SWEEP TEE    102X51,Durapipe,113.62,"Covering all reducing branch requirements, the Durapipe Vulcathene L2042 102 x 51 x 102mm 92.5° reducing sweep tee is made of virgin-grade polypropylene with an Enfusion socket on each branch.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L2042 92.5D END SWEEP TEE    102X51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/93/NW-P16492_P16493_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
5,PP16483,VULC L204 92.5D END SWEEP TEE        102,Durapipe,130.66,"An equal three branch fitting, the Durapipe Vulcathene L204 102 x 102 x 102mm 92.5° sweep tee is made of virgin-grade polypropylene with an Enfusion socket on each branch.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L204 92.5D END SWEEP TEE        102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/83/NW-P16480_P16483_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
6,PP16481,VULC L202 92.5D END SWEEP TEE         51,Durapipe,57.37,"An equal three branch fitting, the Durapipe Vulcathene L202 51 x 51 x 51mm 92.5° sweep tee is made of virgin-grade polypropylene with an Enfusion socket on each branch.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L202 92.5D END SWEEP TEE         51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/83/NW-P16480_P16483_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
7,PP16144,VULC W291 92.5D MECH L/NUT BEND       38,Durapipe,14.4,This Durapipe Vulcathene W291 38 x 38mm 92.5° loose nut sweep bend is made of virgin-grade polypropylene with a standard nut and olive connection at one end and a captive nut for connection to threaded units at the other end.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W291 92.5D MECH L/NUT BEND       38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/45/NW-P16144_P16145_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
8,PP16449,VULC L182 92.5D ENF D SCKT BEND       51,Durapipe,37.77,This Durapipe Vulcathene L182 51 x 51mm 92.5° double socket short sweep bend is made of virgin-grade polypropylene and includes an Enfusion socket at each end.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC L182 92.5D ENF D SCKT BEND       51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/49/NW-P16449_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
9,PP16172,VULC W203 92.5D MECH SWEEP TEE        76,Durapipe,64.93,"Designed to connect equally sized pipes, this Durapipe Vulcathene W203 76 x 76 x 76mm 92.5° sweep tee is made of virgin-grade polypropylene with standard nut and olive connections on each of the three branch ends.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Polypropylene Pipe Fittings/Polypropylene Pipe Fittings.csv -> VULC W203 92.5D MECH SWEEP TEE        76",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/73/NW-P16170_P16173_wm.jpg,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,
