,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Connection Type,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection B size,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 2,Attachment 3,Attachment 4,Attachment 5
0,PP12214,"Durapipe HTA CPVC male iron brass adaptor 25 x 32mm x 3/4""",Durapipe,12.95,"This Durapipe HTA 25/32mm x 3/4"" adapter nipple is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Adaptors/Adaptors.csv -> Durapipe HTA CPVC male iron brass adaptor 25 x 32mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/14/NW-P12213_P12214_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PM32494,"Geberit FlowFit 620.540.00.1 Female bend adaptor 90° 16mm x 1/2""",Geberit,12.25,"Part of a comprehensive system, this Geberit FlowFit 16mm x 1/2"" 90° female bend adapter is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technic","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Adaptors/Adaptors.csv -> Geberit FlowFit 620.540.00.1 Female bend adaptor 90° 16mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32494_Primary_Image_wm.jpg,,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21956,Unequal,16 mm,12,PPSU PolyphenylsulfoneLead-free silicon bronze (CuZn21Si3P),Fe90° 16mm x 1/2,620.540.00.1,Female Adaptor,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,
2,PM32429,"Geberit FlowFit 620.303.00.1 Male adaptor 32mm x 1""",Geberit,14.45,"Geberit FlowFit is the innovative supply system that facilitates the perfect installation process. Everything that makes work on the building site difficult and cumbersome has been deliberately avoided.  Plumbers played a key role in the development phase of FlowFit, enabling Geberit to reduce everything that makes working on building sites difficult and cumbersome.  Six features that make FlowFit easy to install: •Deburring and calibration of the pipes is not necessary; No more calibration when cutting to length •The windows in the fitting allow the correct insertion depth to be checked at a glance; no more uncertainty when inserting •The fitting is laterally pressed and rotatable. This allows for convenient and reliable pressing in even the tightest of spaces; No more contorsion when pressing •All standard pipe diameters are available to choose from. The installation of all diameters is carried out with just two different pressing jaws and without the need for constant tool changes; No gaps in the produ","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Adaptors/Adaptors.csv -> Geberit FlowFit 620.303.00.1 Male adaptor 32mm x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32429_Primary_Image_wm.jpg,,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21952,Unequal,32 mm,1,PPSU PolyphenylsulfoneLead-free silicon bronze (CuZn21Si3P),32mm x 1,620.303.00.1,Male Adaptor,N,For cold and hot potable water,For cooling and heating water without antifreeze agent,For cooling and heating water with antifreeze agent,For service water and process water,For treated water,For rainwater with a pH value of <gt/> 6.0,For seawater,For extinguishing water (wet),"For extinguishing water (wet/dry, dry)",For chemicals and technical liquids,For compressed air (oil purity class 0–3),For negative pressure,For inert gases (e.g. nitrogen),"For technical building systems, industry and shipbuilding",,,,
3,PM32461,"Geberit FlowFit 620.411.00.1 Female adaptor 20mm x 1/2""",Geberit,9.19,"Part of a comprehensive system, this Geberit FlowFit 20mm x 1/2"" female adapter is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical buildi","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Adaptors/Adaptors.csv -> Geberit FlowFit 620.411.00.1 Female adaptor 20mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32461_Primary_Image_wm.jpg,,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21955,Unequal,20 mm,12,PPSU PolyphenylsulfoneLead-free silicon bronze (CuZn21Si3P),Fe20mm x 1/2,620.411.00.1,Female Adaptor,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,
4,PM32458,"Geberit FlowFit 620.410.00.1 Female adaptor 16mm x 1/2""",Geberit,6.68,"Part of a comprehensive system, this Geberit FlowFit 16mm x 1/2"" female adapter is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical buildi","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Adaptors/Adaptors.csv -> Geberit FlowFit 620.410.00.1 Female adaptor 16mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32458_Primary_Image_wm.jpg,,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21979,Unequal,16 mm,12,PPSU PolyphenylsulfoneLead-free silicon bronze (CuZn21Si3P),16mm x 1/2,620.410.00.1,Female Adaptor,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,
5,PP96744,"TP RB0.MAR abs socket adaptor (bsp) 1.1/4""",TP,27.27,"This TP RB0.MAR 1 1/4 x 1 1/4"" socket adapter is made of high impact, highly elastic ABS and includes a stainless steel A2 reinforcing ring and plain/BSP threaded connection. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Adaptors/Adaptors.csv -> TP RB0.MAR abs socket adaptor (bsp) 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/46/NW-P96741_P96746_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PP04538,"Georg Fischer PROGEF PP parallel tapered adapter socket 32mm x 1""",Georg Fischer,10.77,"This Georg Fischer PROGEF 20mm x 1"" metric standard adapter socket is made of PP-H and includes a metric reinforced fusion socket and parallel female thread Rp. It is suitable for use in waste treatment, the chemical process industry, cooling water processing and in water treatment applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Adaptors/Adaptors.csv -> Georg Fischer PROGEF PP parallel tapered adapter socket 32mm x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/38/NW-P04538_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_PROGEF_Std_Adaptor_Socket_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_PROGEF_Standard_System_Spec_Flyer.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/GF_Marine_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_PROGEF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_PROGEF_Piping_System_Technical.pdf
7,PM32431,"Geberit FlowFit 620.304.00.1 Male adaptor 40mm x 1""",Geberit,21.72,"Geberit FlowFit is the innovative supply system that facilitates the perfect installation process. Everything that makes work on the building site difficult and cumbersome has been deliberately avoided.  Plumbers played a key role in the development phase of FlowFit, enabling Geberit to reduce everything that makes working on building sites difficult and cumbersome.  Six features that make FlowFit easy to install: •Deburring and calibration of the pipes is not necessary; No more calibration when cutting to length •The windows in the fitting allow the correct insertion depth to be checked at a glance; no more uncertainty when inserting •The fitting is laterally pressed and rotatable. This allows for convenient and reliable pressing in even the tightest of spaces; No more contorsion when pressing •All standard pipe diameters are available to choose from. The installation of all diameters is carried out with just two different pressing jaws and without the need for constant tool changes; No gaps in the produ","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Adaptors/Adaptors.csv -> Geberit FlowFit 620.304.00.1 Male adaptor 40mm x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32431_Primary_Image_wm.jpg,,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21953,Unequal,40 mm,1,PPSU PolyphenylsulfoneLead-free silicon bronze (CuZn21Si3P),40mm x 1,620.304.00.1,Male Adaptor,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,
8,PM32434,"Geberit FlowFit 620.305.00.1 Male adaptor 50mm x 1 1/2""",Geberit,47.85,"Part of a comprehensive system, this Geberit FlowFit 50mm x 1 1/2"" male adapter is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical buildi","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Adaptors/Adaptors.csv -> Geberit FlowFit 620.305.00.1 Male adaptor 50mm x 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32434_Primary_Image_wm.jpg,,Press Fit,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21954,Unequal,50 mm,1.1/2,PPSU PolyphenylsulfoneLead-free silicon bronze (CuZn21Si3P),50mm x 1.1/2,620.305.00.1,Male Adaptor,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,
9,PP96742,"TP RB0.MAR abs socket adaptor (bsp) 3/4""",TP,14.02,"This TP RB0.MAR 3/4 x 3/4"" socket adapter is made of high impact, highly elastic ABS and includes a stainless steel A2 reinforcing ring and plain/BSP threaded connection. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Adaptors/Adaptors.csv -> TP RB0.MAR abs socket adaptor (bsp) 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/46/NW-P96741_P96746_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
