,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Connection Size,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Operating Temperature Range (C),Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Gender,Connection Type 2,Feature 7,Feature 8,Feature 9,Connection Type,End Connection B size,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Feature 14,Colour,Weight,Standards,Attachment 8,Attachment 9,Attachment 10,Attachment 11
0,PP16573,VULC L164 ENF LINE COUPLER           102,Durapipe,57.03,"This Durapipe Vulcathene L164 102 x 102mm coupler is made of virgin-grade polypropylene. Designed to fit the Enfusion chemical waste drainage system, this coupler incorporates an internal stop, forming a smooth through-bore and ensuring that the correct pipe depth is inserted into the fitting.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> VULC L164 ENF LINE COUPLER           102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/73/NW-P16571_P16573_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PP96026,"TP RV0.GOL 90deg upvc elbow 2""",TP,12.62,"This TP 2 x 2"" 90° elbow is made of PVC-U specifically for water piping systems. This part is suitable for use in a range of applications including distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, aquariums and aquaculture, irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RV0.GOL 90deg upvc elbow 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/29/NW-P96021_P96029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PP12214,"Durapipe HTA CPVC male iron brass adaptor 25 x 32mm x 3/4""",Durapipe,12.95,"This Durapipe HTA 25/32mm x 3/4"" adapter nipple is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Durapipe HTA CPVC male iron brass adaptor 25 x 32mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/14/NW-P12213_P12214_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PP06373,Plasson 3407 stopcock 20mm,Plasson,37.79,"Promising a watertight seal, this Plasson 3407 20mm compression stop tap ensures water is completely turned off in case of a leak in the system. Designed for use in systems conveying water and other fluids in urban and inter-urban infrastructure, industrial, mining, landscape, and farming applications, this fitting is made of a high quality polyethylene (PP) and has been designed with in-line connections in mind. Robustly built, this tap has been designed and tested to withstand pressure systems of up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Plasson 3407 stopcock 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/75/NW-P06373_P06375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Plasson_7020_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_3407CC0_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Plasson_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF50802,"Georg Fischer Aquasystem male adaptor union 3/4"" x 25mm",Georg Fischer,79.08,"This Georg Fischer Aquasystem 3/4"" x 25mm male adapter union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer Aquasystem male adaptor union 3/4"" x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/00/F50800_wm.jpg,,,,3/4 x 25mm,3/4 x 25,Aquasystem,N,WRAS,Unequal,3/4 inch,25 mm,PP-R,0 to 90,3/4'' x 25mm,Socket Fusion,4302702530121,Adaptor,N,Fibreglass reinforced,Reduced expansion design,Corrosion-resistant,Suitable for temperatures of 0° to 90°C,Socket fusion connection,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,
5,PF50766,Georg Fischer Aquasystem union 90mm,Georg Fischer,224.69,"This Georg Fischer Aquasystem 90mm union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer Aquasystem union 90mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/59/F50759_wm.jpg,,,,90mm,90mm,Aquasystem,N,WRAS,Equal,90 mm,25 mm,PP-R Copolymer,0 to 90,90 mm,Press fit,4302909032521,Union,N,Lightweight design,Resistant to corrosion,Low expansion and low thermal conductivity,High strength build,Low maintenance,Abrasion resistant,female,Press fit,PP-R Copolymer construction,With press-fit connections,WRAS approved,,,,,,,,,,,,,,,,,,
6,PM32328,Geberit FlowFit 620.074.00.1 Flowfit Bend 90D PPSU 40mm,Geberit,21.49,"Part of a comprehensive system, this Geberit FlowFit 40mm 90° bend is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building systems, i","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.074.00.1 Flowfit Bend 90D PPSU 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32328_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21935,Equal,40 mm,,PPSU Polyphenylsulfone,,90/40mm,,620.074.00.1,Bend,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,40mmØ,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
7,PM32365,Geberit FlowFit 620.124.00.1 Reducing tee 40 x 32 x 40mm,Geberit,27.83,"Part of a comprehensive system, this Geberit FlowFit 40 x 32 x 40mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.124.00.1 Reducing tee 40 x 32 x 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32365_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21975,Unequal,40 mm,40 mm,PPSU Polyphenylsulfone,,40 x 32 x 40mm,,620.124.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,32 mm,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
8,PP04612,Georg Fischer PROGEF PP union epdm 25mm,Georg Fischer,20.93,"This Georg Fischer PROGEF 25 x 25mm metric standard union is made of PP-H and includes a fusion socket connection. It is suitable for use in waste treatment, the chemical process industry, cooling water processing and in water treatment applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer PROGEF PP union epdm 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/13/NW-P04611_P04613_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_PROGEF_Standard_System_Spec_Flyer.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/GF_Marine_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_PROGEF_Standard_Union_Metric_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_PROGEF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_PROGEF_Piping_System_Technical.pdf,,,,,,,,,,
9,PM32316,Geberit FlowFit 620.054.00.1 Reducer 40mm x 32mm,Geberit,15.85,"Part of a comprehensive system, this Geberit FlowFit 40 x 32mm reducer is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building system","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.054.00.1 Reducer 40mm x 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32316_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21934,Unequal,40 mm,,PPSU Polyphenylsulfone,,40mm x 32mm,,620.054.00.1,Reducer,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,32 mm,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
