,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Connection Size,Connection Type,Diameter,Weight,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Angle,Range,Colour,Gender,Wall Thickness (mm),Connection Type 2,Length (M),Pack Quantity,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
0,PP96026,"TP RV0.GOL 90deg upvc elbow 2""",TP,12.62,"This TP 2 x 2"" 90° elbow is made of PVC-U specifically for water piping systems. This part is suitable for use in a range of applications including distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, aquariums and aquaculture, irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.GOL 90deg upvc elbow 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/29/NW-P96021_P96029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PP55148,"Durapipe Astore upvc union 1""",Durapipe,6.79,"This Durapipe Astore BO4 1 x 1"" union is made of PVC and includes a BSP threaded end connection. Suitable for pressurised irrigation systems, drinking water, chemical installations and water treatment systems, Astore PVC-U is a solvent-welded, fully matched pipework system available in imperial and metric sizes. Lightweight PVC-U makes installation simple, saving on time, effort and cost of fitting compared to traditional pipework materials.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe Astore upvc union 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/51/NW-P55148_P55151_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PP55011,"Durapipe Astore upvc socket 2""",Durapipe,3.46,"This Durapipe Astore MA4 2"" x 63mm socket is made of highly resistant PVC. Suitable for pressurised irrigation systems, drinking water, chemical installations and water treatment systems, Astore PVC-U is a solvent-welded, fully matched pipework system available in imperial and metric sizes. Lightweight PVC-U makes installation simple, saving on time, effort and cost of fitting compared to traditional pipework materials.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe Astore upvc socket 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/11/NW-P55011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PP55008,"Durapipe upvc socket 1""",Durapipe,1.17,"Suitable for pressurised irrigation, this Durapipe PVC 1"" socket can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe upvc socket 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC socket image_wm.jpg,,1 in,Solvent weld,1,0.16296,N,WRAS,Equal,1,1,Unplasticized Polyvinyl Chloride (PVC-U),1,Solvent Weld,RMA40320,Pipe Socket,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
4,PP55058,"Durapipe 45degree upvc elbow 1""",Durapipe,2.93,"Suitable for pressurised irrigation, this Durapipe PVC 1"" 45° elbow can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe 45degree upvc elbow 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC 45d Elbow image_wm.jpg,,1 in,Solvent weld,1,0.27231,N,WRAS,Equal,1,1,Unplasticized Polyvinyl Chloride (PVC-U),1,Solvent Weld,RGY40320,Elbow,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,45,,,,,,,,,,,,
5,PP55348,"Durapipe AVF UPVC adaptor FI PL/MI BSP 1""",Durapipe,2.71,"Suitable for pressurised irrigation, this Durapipe PVC 1"" Fl PL/Ml BSP adapter can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe AVF UPVC adaptor FI PL/MI BSP 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pv/c)/Adaptor female plain-male threaded (pvc)_wm.jpg,,,,,0.13491,N,WRAS,Equal,1,1,Unplasticized Polyvinyl Chloride (PVC-U),1,Solvent Weld,RAM60320,Pipe Adaptor,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,AVF UPVC,,,,,,,,,,,
6,PP55028,"Durapipe Astore 90deg upvc elbow 1""",Durapipe,1.96,"This Durapipe Astore GO4 1 x 1"" 90° elbow is made of PVC and includes a BS solvent weld x BSP threaded end connection. Suitable for pressurised irrigation systems, drinking water, chemical installations and water treatment systems, Astore PVC-U is a solvent-welded, fully matched pipework system available in imperial and metric sizes. Lightweight PVC-U makes installation simple, saving on time, effort and cost of fitting compared to traditional pipework materials.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe Astore 90deg upvc elbow 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/29/NW-P55028_P55029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PP55937,M OF AVF OPTIMA UPVC PIPE CLASS E  6M  1,Durapipe,3.23,"This Durapipe AVF 1"" PVC-u pipe is supplied in a 6M length. It is part of a highly durable, lightweight range of PVC-u and ABS imperial size piping.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> M OF AVF OPTIMA UPVC PIPE CLASS E  6M  1",,x1,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/pi/pe/pipe_wm.jpg,,,,,1.39842,N,WRAS,,,,PVC-U,1 Inch,Plain,RMRE0320,,N,Lightweight design,PVC-u construction,Iron grey finish,With plain ends,WRAS approved,,,Optima,Iron Grey,male,2.5,Plain,,,,,,,
8,PP55200,"Durapipe upvc reducing bush 1.1/2 x 1""",Durapipe,1.87,"Suitable for pressurised irrigation, this Durapipe PVC 1 1/2 x 1"" reducing bush can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> Durapipe upvc reducing bush 1.1/2 x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore PVC redbush image_wm.jpg,,1-1/2 in x 1in,Solvent weld,1.1/2 x 1,0.11423,N,WRAS,Equal,1-1/2,1,Unplasticized Polyvinyl Chloride (PVC-U),1 1/2,Solvent Weld,RRC4050D,Reducing Bush,N,Lightweight uPVC construction,Excellent chemical resistance,Solvent weld connections,No hot works permit required,WRAS approved,50 year design life,,,,,,,,,,,,,
9,PP96216,"TP RV0.MAR adaptor socket BSP BS 2""",TP,15.33,"This TP 2 x 2"" plain/threaded socket is made of PVC-U with plain/threaded female connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/U-PVC Pipe Fittings/U-PVC Pipe Fittings.csv -> TP RV0.MAR adaptor socket BSP BS 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/16/NW-P96211_P96216_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
