,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Diameter,Range,Weight,Hazardous,Body Material,Handle Type,Seal Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment Type,Handle Colour,Material,Number of Ports,Seat Material,Standards,Attachment 3,Attachment 4,Attachment 5,Attachment 6
0,PP47808,Durapipe VXE ABS/EPDM ball valve 20mm,Durapipe,60.7,"Suitable for chilled and cold water applications, this Durapipe SuperFLO ABS 20mm ball valve with EPDM seals is part of a WRAS approved range for low temperature fluid transport. The SuperFLO range is ideal for multistorey buildings, care homes, student accommodation and other multi-occupancy dwellings, providing a wide operational temperature range as well as resistance to corrosion and limescale. These practical features ensure that SuperFLO systems maintain consistent flow rates throughout their lifetime of use.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Durapipe VXE ABS/EPDM ball valve 20mm",,1 Valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/ABS VXE image_wm.jpg,20mm,Solvent weld,20,VXE,0.48087,N,ABS,Lever,EPDM,H0XEA306,Ball Valve,N,Compatible with low temperature fluid media,Lightweight ABS construction,Easy installation,Ductile down to -40°C,Corrosion resistant,Resistant to impacts,Common Arrangements of Works Systems (CAWS) applicable to T50 and S753,WRAS approved,,,,,,,,,,,,
1,PP96916,"Georg Fischer 22L ABS EPDM safe double union ball valve 2""",Georg Fischer,480.02,"Suitable for use in industrial setings, this TP double union lever operated ball valve includes 2"" solvent weld connections and a locking end for easy adjustment of torque on the ball in the valve, depending on water pressure. The handle of this valve can be removed and used as a spanner to tighten the locking end. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Georg Fischer 22L ABS EPDM safe double union ball valve 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/16/NW-P96916_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,
2,PP97044,"Georg Fischer 22L upvc double union safeblock ball valve 1.1/4""",Georg Fischer,120.7,"This Georg Fischer TP Safeblock double union ball valve includes 1 1/4"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,,,,,,,
3,PP27092,"Durapipe AVF EPDM abs double union ball valve 2""",Durapipe,109.7,"This Durapipe ABS (acrylonitrile butadiene styrene) lever operated ball valve is ideal for use in pressurised irrigation systems, drinking water, chemical installations and for water treatment. It includes 2"" solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Durapipe AVF EPDM abs double union ball valve 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/92/NW-P27091_P27092_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Durapipe_AVF_Catalogue.pdf,,,,,,,,,,,
4,PP96915,"TP VSB.22L ABS/EPDM safe double union ball valve 1.1/2""",TP,377.59,"This TP VSB.22L 1 1/2 x 1 1/2"" ball valve is made of high impact, highly elastic ABS and includes double union/plain socket connections and EPDM seals. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> TP VSB.22L ABS/EPDM safe double union ball valve 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/15/NW-P96915_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,
5,PP94840,Uponor S-Press MLCP compression lever ball valve 20mm,Uponor,41.44,"Supplied in a pack of six, these Uponor S-Press 20 x 20mm ductile iron lever ball valves are delivered fully assembled and sealed with press adapters ready for use with MLC pipes. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Uponor S-Press MLCP compression lever ball valve 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/44/NW-P94839_P94844_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_S-Press_PLUS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,
6,PP97041,"Georg Fischer 22L upvc double union safeblock ball valve 1/2""",Georg Fischer,53.14,"This Georg Fischer TP Safeblock double union ball valve includes 1/2"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,,,,,,,
7,PP46522,DP VKD ABS/EPDM B/VALVE S/ENDS       3/4,Durapipe,128.84,"The Durapipe VKD DualBlock lever operated ABS ball valve is a fully unionized valve for use in tough industrial settings and epecially designed for chilled and cold water applications. Supplied with 3/4"" solvent weld connections, SuperFLO ABS is ideal for low temperature fluid transportation in a range of environments including care homes, student accommodation and in multi-storey buildings. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> DP VKD ABS/EPDM B/VALVE S/ENDS       3/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/22/NW-P46522_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Durapipe_Valves_Technical_2015.pdf,,,,,,,,,,,
8,PP45972,"Philmac 3G 95273 ball valve 25mm x 3/4""",Philmac,51.61,"This Philmac 3G 25mm ball valve incorporates slide-and-tighten technology, meaning no pipe preparation is required and pushing the pipe past the seal needs no force, making installation fast and easy.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Philmac 3G 95273 ball valve 25mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/73/NW-P45971_P45973_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Product_Guide.pdf,,,,,,,,,,,
9,PP27091,"Durapipe AVF epdm abs double union ball valve 1.1/2""",Durapipe,87.71,"This Durapipe ABS (acrylonitrile butadiene styrene) lever operated ball valve is ideal for use in pressurised irrigation systems, drinking water, chemical installations and for water treatment. It includes 1.1/2"" solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Plastic Pipe Valves.csv -> Durapipe AVF epdm abs double union ball valve 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/92/NW-P27091_P27092_wm.jpg,1 1/2,Solvent weld,1 1/2,AVF,0.48087,N,ABS (Acrylonitrile Butadiene Styrene),Lever,EPDM,S7240500,Ball Valve,N,Ductile at low temperatures,Fully matched valve offering,Various control options available,Various seal options available,25 year design life,,,,,,,,,,,,,,,
