,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
0,PP96916,"Georg Fischer 22L ABS EPDM safe double union ball valve 2""",Georg Fischer,480.02,"Suitable for use in industrial setings, this TP double union lever operated ball valve includes 2"" solvent weld connections and a locking end for easy adjustment of torque on the ball in the valve, depending on water pressure. The handle of this valve can be removed and used as a spanner to tighten the locking end. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Pressure Pipe Valves/Pressure Pipe Valves.csv -> Georg Fischer 22L ABS EPDM safe double union ball valve 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/16/NW-P96916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,
1,PP97044,"Georg Fischer 22L upvc double union safeblock ball valve 1.1/4""",Georg Fischer,120.7,"This Georg Fischer TP Safeblock double union ball valve includes 1 1/4"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Pressure Pipe Valves/Pressure Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,
2,PP97041,"Georg Fischer 22L upvc double union safeblock ball valve 1/2""",Georg Fischer,53.14,"This Georg Fischer TP Safeblock double union ball valve includes 1/2"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Pressure Pipe Valves/Pressure Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,
3,PP97042,"Georg Fischer 22L upvc double union safeblock ball valve 3/4""",Georg Fischer,60.37,"This Georg Fischer TP Safeblock double union ball valve includes 3/4"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Pressure Pipe Valves/Pressure Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,
4,PP45971,"Philmac 3G 95372 ball valve 25mm x 3/4""",Philmac,42.72,"This Philmac 3G 25mm ball valve incorporates slide-and-tighten technology, meaning no pipe preparation is required and pushing the pipe past the seal needs no force, making installation fast and easy.","Pipe, Valves and Fittings/Plastic Pipe Valves/Pressure Pipe Valves/Pressure Pipe Valves.csv -> Philmac 3G 95372 ball valve 25mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/73/NW-P45971_P45973_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Product_Guide.pdf,,,,,
5,PP97046,"Georg Fischer 22L upvc double union safeblock ball valve 2""",Georg Fischer,232.93,"This Georg Fischer TP Safeblock double union ball valve includes 2"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Pressure Pipe Valves/Pressure Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,
6,PP67509,Georg Fischer 546 PP-H ball valve with EPDM insert DN15 PN10 20mm,Georg Fischer,94.15,"Offering a true union and floating ball design, this Georg Fischer 546 20mm ball valve is fully moulded and full port with two-way blocking capability. The valve's stem is blow out-proof and fitted with a double O-ring seal with a pre-determined break point opposite the media side of the stem seals. The seat carrier of the 546 valve is adjustable and reverse threaded while the handle doubles as a seat carrier adjustment and removal tool. This valve incorporates buttress-type valve nut threads and seats with elastomeric backing O-rings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Pressure Pipe Valves/Pressure Pipe Valves.csv -> Georg Fischer 546 PP-H ball valve with EPDM insert DN15 PN10 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/09/NW-P67509_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/st/Georg_Fischer_546_Pro_BallValve_Inst.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_546_Ball_Valve_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/GF_546_Ball_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Georg_Fischer_6383_Ball_Valve_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Georg_Fischer_546_Pro_BallValve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_546_Ball_Valve_Brochure.pdf
7,PP97043,"Georg Fischer 22L upvc double union safeblock ball valve 1""",Georg Fischer,103.22,"This Georg Fischer TP Safeblock double union ball valve includes 1"" male x male solvent weld connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Pressure Pipe Valves/Pressure Pipe Valves.csv -> Georg Fischer 22L upvc double union safeblock ball valve 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/49/NW-P97041_P97049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_P97085_TP_Catalogue.pdf,,,,,
8,PP45972,"Philmac 3G 95273 ball valve 25mm x 3/4""",Philmac,51.61,"This Philmac 3G 25mm ball valve incorporates slide-and-tighten technology, meaning no pipe preparation is required and pushing the pipe past the seal needs no force, making installation fast and easy.","Pipe, Valves and Fittings/Plastic Pipe Valves/Pressure Pipe Valves/Pressure Pipe Valves.csv -> Philmac 3G 95273 ball valve 25mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/73/NW-P45971_P45973_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Product_Guide.pdf,,,,,
9,PP96913,"Georg Fischer 22L ABS EPDM safe double union ball valve 1""",Georg Fischer,227.89,"Suitable for use in industrial setings, this TP double union lever operated ball valve includes 1"" solvent weld connections and a locking end for easy adjustment of torque on the ball in the valve, depending on water pressure. The handle of this valve can be removed and used as a spanner to tighten the locking end. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Valves/Pressure Pipe Valves/Pressure Pipe Valves.csv -> Georg Fischer 22L ABS EPDM safe double union ball valve 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/13/NW-P96911_P96913_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,
