,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Hazardous,Body Material,Supplier Product Code,Type,WEEE Compliant
0,P255698,"Midland Brass hose union bib tap and double check valve 1/2""",Midland Brass,7.75,"Manufactured in brass with a metallic finish, this lever-operated Midland Brass bibcock and double check valve is fitted with a 1/2"" hose union x threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Bib Taps and Hose Unions/Bib Taps and Hose Unions.csv -> Midland Brass hose union bib tap and double check valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/98/NW-255698_wm.jpg,1/2 inch,Hose Union x Threaded,N,Brass,CMBFHUBDC-D,Bibcock and Double Check Valve,N
1,P255691,"Midland Brass hose union bib tap 1/2""",Midland Brass,7.49,"This Midland Brass bibcock has a 1/2"" threaded connection. It is made of brass with a metallic finish.","Pipe, Valves and Fittings/Plumbers Brassware/Bib Taps and Hose Unions/Bib Taps and Hose Unions.csv -> Midland Brass hose union bib tap 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/91/255691_wm.jpg,1/2 inch,Threaded,N,,TBFHUB-D,Bibcock,N
2,P255696,"Midland Brass hose union bib tap 1/2""",Midland Brass,7.75,"This Midland Brass bibcock has a 1/2"" hose union x threaded connection. Lever-operated, it is made of brass with a metallic finish.","Pipe, Valves and Fittings/Plumbers Brassware/Bib Taps and Hose Unions/Bib Taps and Hose Unions.csv -> Midland Brass hose union bib tap 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/96/NW-255696_wm.jpg,1/2 inch,Hose Union x Threaded,N,,CMBFHUB-D,Bibcock,N
3,P255692,"Midland Brass hose union bib tap and double check valve 1/2""",Midland Brass,7.75,"This Midland Brass bibcock and double check valve has a 1/2"" hose union x threaded connection. It is made of brass with a metallic finish.","Pipe, Valves and Fittings/Plumbers Brassware/Bib Taps and Hose Unions/Bib Taps and Hose Unions.csv -> Midland Brass hose union bib tap and double check valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/92/255692_wm.jpg,1/2 inch,Hose Union x Threaded,N,,TBFHUBDC-D,Bibcock and Double Check Valve,N
4,P255699,"Midland Brass hose union bib tap and double check valve 3/4""",Midland Brass,17.43,"This Midland Brass bibcock and double check valve has a 3/4"" hose union x threaded connection. Lever-operated, it is made of brass with a metallic finish.","Pipe, Valves and Fittings/Plumbers Brassware/Bib Taps and Hose Unions/Bib Taps and Hose Unions.csv -> Midland Brass hose union bib tap and double check valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/99/NW-255699_wm.jpg,3/4 inch,Hose Union x Threaded,N,Brass,CMBFHUBDC-E,Bibcock and Double Check Valve,N
5,P255695,"Midland Brass lever style hose union bib tap 1/2""",Midland Brass,6.25,"This Midland Brass bibcock has a 1/2"" hose union x threaded connection. Lever-operated, it is made of brass with a metallic finish.","Pipe, Valves and Fittings/Plumbers Brassware/Bib Taps and Hose Unions/Bib Taps and Hose Unions.csv -> Midland Brass lever style hose union bib tap 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/95/NW-255695_wm.jpg,1/2 inch,Hose Union x Threaded,N,,CBFHUBLB-D,Bibcock,N
6,P255694,"Midland Brass hose union nut and tail 1/2""",Midland Brass,1.08,"Made of brass, this Midland Brass nut and tail offers a 1/2"" hose union connection and metallic finish.","Pipe, Valves and Fittings/Plumbers Brassware/Bib Taps and Hose Unions/Bib Taps and Hose Unions.csv -> Midland Brass hose union nut and tail 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/94/NW-255694_wm.jpg,1/2 inch,Hose Union,N,,CBFHUNT-D,Nut and Tail,N
7,P255701,"Midland Brass wall plate hose union bib tap and double check valve 1/2""",Midland Brass,14.25,"This Midland Brass bibcock and double check valve has a 1/2"" hose union x threaded connection. Lever-operated, it is made of brass with a metallic finish.","Pipe, Valves and Fittings/Plumbers Brassware/Bib Taps and Hose Unions/Bib Taps and Hose Unions.csv -> Midland Brass wall plate hose union bib tap and double check valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/01/255701_wm.jpg,1/2 inch,Hose Union x Threaded,N,,CMBFHUBDCWP-D,Bibcock and Double Check Valve,N
8,P255697,"Midland Brass hose union bib tap 3/4""",Midland Brass,13.39,"This Midland Brass bibcock has a 3/4"" hose union x threaded connection. Lever-operated, it is made of brass with a metallic finish.","Pipe, Valves and Fittings/Plumbers Brassware/Bib Taps and Hose Unions/Bib Taps and Hose Unions.csv -> Midland Brass hose union bib tap 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/97/NW-255697_wm.jpg,3/4 inch,Hose Union x Threaded,N,,CMBFHUB-E,Bibcock,N
9,P255700,"Midland Brass wall plate hose union bib tap 1/2""",Midland Brass,11.28,"This Midland Brass bibcock has a 1/2"" hose union x threaded connection. Lever-operated, it is made of brass with a metallic finish.","Pipe, Valves and Fittings/Plumbers Brassware/Bib Taps and Hose Unions/Bib Taps and Hose Unions.csv -> Midland Brass wall plate hose union bib tap 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/00/NW-255700_wm.jpg,1/2 inch,Hose Union x Threaded,N,,CMBFHUBWP-D,Bibcock,N
