,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Diameter,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Connection Size,Connection Type,Material,Size,Feature 6,Length (M),Pack Quantity
0,PC51133,Salvus Bayonet straight gas hose 1.25mtr,Salvus,13.99,"This Salvus 1.25M length of gas hose is fitted with a 1/2"" straight bayonet fitting. Made of stainless steel, this gas approved hose has a high-quality polymeric coating.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Cooker Hoses/Gas Cooker Hoses.csv -> Salvus Bayonet straight gas hose 1.25mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/33/NW-C51132_C51133_wm.jpg,1/2 inch,Bayonet,N,BFGHENB2-125,Gas Hose,N,Universal fuel (natural gas and LPG),Black and yellow colour,Tested to 650°,BSI and CE approved (KM702966),1 year warranty,,,,,,,
1,PC50837,"Midland Brass angled bayonet socket 1/2""",Midland Brass,4.08,"Made of brass, this Midland Brass Salvus angled bayonet socket offers 1/2"" socket x threaded connections.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Cooker Hoses/Gas Cooker Hoses.csv -> Midland Brass angled bayonet socket 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/37/NW-C50837_wm.jpg,,,N,BFGHBSAHT-D,Bayonet Socket,N,Angled bayonet socket,Has passed the high temperature test set at EN 1775:2007,,,,1/2 in,Socket x Threaded,Brass,1/2 inch,,,
2,PC51144,Salvus Gas hoses gas hose with straight micropoint and angled socket 1M,Salvus,20.92,"Made of steel with a polymeric coating, this Salvas 1M length gas hose is fitted with a 1/2"" straight micropoint and angled socket. Gas approved, it is suitable for use with micropoint cooker sockets.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Cooker Hoses/Gas Cooker Hoses.csv -> Salvus Gas hoses gas hose with straight micropoint and angled socket 1M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/44/C51144_wm.jpg,,Gas hoses,N,BFGHENSMAS-100,,N,"Universal fuel, suitable for natural gas and LPG",Tested to 650°C,Self-sealing angled bayonet socket,Accepts micropoint hose,Manufactured to BS EN 15069,,,,,BSI and CE Approved (KM702966),,
3,PC51132,Salvus Bayonet straight gas hose 1mtr,Salvus,18.83,"This Salvus 1M length of gas hose is fitted with a 1/2"" straight bayonet fitting. Made of stainless steel, this gas approved hose has a high-quality polymeric coating.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Cooker Hoses/Gas Cooker Hoses.csv -> Salvus Bayonet straight gas hose 1mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/33/NW-C51132_C51133_wm.jpg,1/2 inch,Bayonet,N,BFGHENB2-100,Gas Hose,N,Universal fuel (natural gas and LPG),Black and yellow colour,Tested to 650°,BSI and CE approved (KM702966),1 year warranty,,,,,,,
4,PC50786,"Tesla angled female iron gas wall plate 1/2"" x 15mm (10)",Tesla,5.21,"A Tesla 1/2"" x 15mm angled female iron gas wall connector with threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Cooker Hoses/Gas Cooker Hoses.csv -> Tesla angled female iron gas wall plate 1/2"" x 15mm (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/86/NW-C50786_wm.jpg,35mm,,N,REWCA,Wall Connector,N,Angled female iron gas wall connector,Hardwearing materials,Reliable,Manufactured to European standards,,,Threaded,Brass,1/2 inch x 15 mm,,0.04,10
5,PC50785,"Tesla straight female iron gas wall plate 1/2"" x 15mm (25)",Tesla,3.95,"A Tesla 1/2"" x 15mm straight female iron gas wall connector with threaded connections.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Cooker Hoses/Gas Cooker Hoses.csv -> Tesla straight female iron gas wall plate 1/2"" x 15mm (25)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/85/NW-C50785_wm.jpg,35mm,,N,REWCS,Wall Connector,N,Straight female iron gas wall connector,Sturdy construction,100% inspected,Top quality materials,,,Threaded,Brass,1/2 inch x 15 mm,,0.034,25
6,PC50838,"Midland Brass straight bayonet socket 1/2""",Midland Brass,4.9,"Made of brass, this Midland Brass Salvus bayonet socket offers 1/2"" push-fit x threaded connections.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Cooker Hoses/Gas Cooker Hoses.csv -> Midland Brass straight bayonet socket 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/38/NW-C50838_wm.jpg,,,N,DMBFGHBSSHT-D,Bayonet Socket,N,Straight bayonet socket,BSI approved product manufactured to BS EN15064,Has passed the high temperature test set at EN 1775:2007,,,1/2 in,Push Fit x Threaded,Brass,1/2 inch,,,
7,PC50839,"Midland Brass straight micropoint socket 1/2""",Midland Brass,3.92,"Made of brass, this Midland Brass Salvus straight bayonet socket offers 1/2"" push-fit x threaded connections.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Cooker Hoses/Gas Cooker Hoses.csv -> Midland Brass straight micropoint socket 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/39/NW-C50839_wm.jpg,,,N,BFGHMSHT-D,Bayonet Socket,N,Straight micropoint socket,,,,,1/2 in,Push Fit x Threaded,Brass,1/2 inch,,,
8,PC51145,Salvus Gas hoses gas hose with straight micropoint and angled socket 1.25M,Salvus,22.79,"Made of steel with a polymeric coating, this Salvas 1.25M length gas hose is fitted with a 1/2"" straight micropoint and angled socket. Gas approved, it is suitable for use with micropoint cooker sockets.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Cooker Hoses/Gas Cooker Hoses.csv -> Salvus Gas hoses gas hose with straight micropoint and angled socket 1.25M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/45/C51145_wm.jpg,,Gas hoses,N,BFGHENSMAS-125,,N,"Universal fuel, suitable for natural gas and LPG",Tested to 650°C,Self-sealing angled bayonet socket,Accepts micropoint hose,Manufactured to BS EN 15069,,,,,BSI and CE Approved (KM702966),,
9,PC50801,"Midland Brass HobMate connector hose (BSPT) 1mtr x 1/2""",Midland Brass,28.13,"Designed for use with natural gas only, this Midland Brass HobMate 1M connector hose has a 1/2"" BSPT fitting, meaning there's no need for soldered joints and hot works when installing. This flexible hose can be easily cut to length by the installer, making fitting a gas hob simple.","Pipe, Valves and Fittings/Plumbers Brassware/Gas Cooker Hoses/Gas Cooker Hoses.csv -> Midland Brass HobMate connector hose (BSPT) 1mtr x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/01/NW-C50801_wm.jpg,1/2 inch,HobMate,N,BFGHHMM,Connector Hose,N,Reduces gas hob installation time by up to 45 minutes,Yellow colour,Patented product,100% tested,Manufactured to EN 15266 by ISO 9001 registered company,,,,,BSI Kitemarked for quality assurance,,
