,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Operating Temperature,Hazardous,Grade,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Range,Feature 8,Finish,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Material Type,Material,Size,Warranty,Operator Type,Weight
0,PC51991,Midland Brass hot and cold angled washing machine tap 15mm,Midland Brass,6.49,"Suitable for hot or cold water, this Midland Brass 15mm x 3/4"" BSP angled washing tap is supplied with both red and blue levers. Manufactured using CW617N brass, this tap has compression x threaded connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Midland Brass hot and cold angled washing machine tap 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/91/NW-C51991_wm.jpg,15 mm x 3/4 inch,Compression x Threaded,85,N,CW617N,MBFWMVA-15W,Tap,N,Metallic finish,CW617N brass material,Maximum working pressure 100 bar,Maximum working temperature 85°C,Manufactured to BS6675,WRAS approved,12 month warranty,,,,,,,,,,,,,,
1,P236588,Center Brass Compression Olives 22mm Pack of 5,Center,1.58,These Center 22mm brass compression olives are suitable for use in drinking water supplies.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Center Brass Compression Olives 22mm Pack of 5",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/88/236588_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/92/236571 236577 236579 236588-89 236592.pdf,,,,,,,,,,,,,
2,PC51980,Midbrass HP hot and cold straight washing machine valve 15mm x 3/4in,Midbrass,1.52,"Made of brass, this Midland Brass quarter-turn hot and cold straight washing machine tap has a 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Midbrass HP hot and cold straight washing machine valve 15mm x 3/4in",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/80/NW-C51980_wm.jpg,15mm,Threaded,85,N,CW617N,MBFWMV-15EW,Tap,N,Metallic finish,Positive stop,Maximum working pressure 100 bar,Maximum working temperature 85°C,CW617N brass material,WRAS approved,Manufactured to BS6675,,HP,12 month warranty,,,,,,,,,,,
3,PC51841,Midland Brass washing machine hose 2.5mtr Blue,Midland Brass,6.49,This Midland Brass 2.5M long blue washing machine hose includes a threaded connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Midland Brass washing machine hose 2.5mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/41/NW-C51841_wm.jpg,,Threaded,,N,CW617N,BFWMHB-2.5M,Hose,N,CW617N brass material,Maximum working pressure 100 bar,Maximum working temperature 85°C,WRAS approved,12 month warranty,,,,,,Matt,,,,,,,,,,
4,PC51992,Midland Brass tee type washing machine tap hot and cold 15mm,Midland Brass,7.25,"Made of brass, this hot and cold tee-type washing machine tap is supplied with 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Midland Brass tee type washing machine tap hot and cold 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/92/NW-C51992_wm.jpg,15mm,Threaded,,N,CW617N,MBFWMVT-15W,Tap,N,Metallic finish,Hardwearing build,Reliable design,12 month warranty,,,,,,,,,,,,,,,,,
5,P236587,"Center 1/2"" fibre washer 10pk",Center,1.44,"These Center 1/2"" fibre washers in red are suitable for use in hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Center 1/2"" fibre washer 10pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/87/236587_wm.jpg,,,,N,,PPWSTC-D/10W,,N,Pack of 10,Fibre construction,Red colour,For end feed tap connections,,,,,,,,,,,,,,,,,
6,P236591,Center Copper Compression Olives 15mm Pack of 10,Center,1.21,These Center 15mm copper compression olives are suitable for use in drinking water supplies.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Center Copper Compression Olives 15mm Pack of 10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/91/236591_wm.jpg,,,,N,,PPOC-15/10W,,N,Pack of 10,Copper construction,Compression connection,,,,,,,,,,,,,,,,,,
7,P236592,"Center 3/4"" brass olive 5pk",Center,1.65,"These Center 3/4"" brass compression olives are suitable for use in drinking water supplies.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Center 3/4"" brass olive 5pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/92/236592_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/79/236579.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/89/236588-89.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/71/236571.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/92/236592.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/77/236577.pdf,,,,,,
8,P173008,"Masefield float - max 37c 10 x 9/16"" Copper (10)",Masefield,71.1,"Made of copper, this Masefield 10"" soldered ball float is designed for cold water use only. It is supplied with a BSW stud connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Masefield float - max 37c 10 x 9/16"" Copper (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/09/NW-173007_173009_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Masefield_Ball_Valve_Technical.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/Masefield_Beta_Valve_Brochure_2022.pdf,,,,,,,,,
9,P236589,Center 15mm brass olive 10pk,Center,2.55,These Center 15mm brass compression olives are suitable for use in drinking water supplies.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Sundries/Plumbing Sundries.csv -> Center 15mm brass olive 10pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/89/236589_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/92/236571 236577 236579 236588-89 236592.pdf,,,,,,,,,,,,,
